ID,site number,site location,cluster name,site acronym,date,month,sample type,MIB (ng/L) ASU,Geosmin  (ng/L) ASU,Beta-cyclocitral (ng/L),IPMP Recovery (%),MIB (ng/L) Phoenix,Geosmin  (ng/L) Phoenix,comments
5111,R19,Val Vista WTP treated water,srp,val vista-treated,1/17/2006,1/17/2006,,2.2,4.1,0,,,,
5112,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/17/2006,1/17/2006,,2.2,4.6,3.9,,,,
5113,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/17/2006,1/17/2006,,2.4,3.7,3,,,,
5114,R25,verde river at beeline highway,verde,verde @ beeline,1/17/2006,1/17/2006,,2.2,3.5,0,,,,
5115,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/17/2006,1/17/2006,,2.6,3.4,0,,,,
5116,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,1/17/2006,1/17/2006,,2.1,3.9,0,,,,
5117,UH In,Union Hills Inlet,cap,Union Hills Inlet,1/17/2006,1/17/2006,,0,2.5,2.3,,,,
5118,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,1/17/2006,1/17/2006,,0,2.2,0,,,,
5119,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,1/17/2006,1/17/2006,,2.6,5.2,0,,,,
5120,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,1/17/2006,1/17/2006,,3,4.4,4.2,,,,
5121,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,1/17/2006,1/17/2006,,2.6,2.3,0,,,,
5122,HTC,Head of the Tempe Canal,tempe,head of tempe canal,1/17/2006,1/17/2006,,2.5,3.5,0,,,,
5123,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/17/2006,1/17/2006,,,,,,,,
5124,SPT Out,Tempe's South Plant treated water,tempe,STP Out,1/17/2006,1/17/2006,,,,,,,,
5125,Green In,Greenway WTP Inlet,srp,Green In,1/17/2006,1/17/2006,,,,,,,,
5126,Green Out,Greenway WTP Outlet,srp,Green Out,1/17/2006,1/17/2006,,,,,,,,
5127,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/17/2006,1/17/2006,,2.2,2.2,0,,,,
5128,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/17/2006,1/17/2006,,2.7,0,0,,,,
5129,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/17/2006,1/17/2006,,0,3.9,0,,,,
5130,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/17/2006,1/17/2006,,2,4.2,0,,,,
5131,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/17/2006,1/17/2006,,4.3,3.7,0,,,,
5132,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,1/17/2006,1/17/2006,,4.5,3.2,0,,,,
5133,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/17/2006,1/17/2006,,4.5,0,0,,,,
5134,R20,Verde River at Tangle,verde,verde abv horseshoe,1/17/2006,1/17/2006,,4.2,3.5,0,,,,
5135,Havasu 1,Havasu lake Sample,,Havasu 1,1/17/2006,1/17/2006,,0,2.7,0,,,,
5136,Havasu 2,Havasu lake Sample,,Havasu 2,1/17/2006,1/17/2006,,,,,,,,
5137,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,1/17/2006,1/17/2006,,,,,,,,
5138,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/17/2006,1/17/2006,,,,,,,,
5139,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/17/2006,1/17/2006,,,,,,,,
5140,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,1/17/2006,1/17/2006,,,,,,,,
5141,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/17/2006,1/17/2006,,,,,,,,
5142,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/17/2006,1/17/2006,,,,,,,,
5143,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/17/2006,1/17/2006,,,,,,,,
5144,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,1/17/2006,1/17/2006,,,,,,,,
5145,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,1/17/2006,1/17/2006,,,,,,,,
5146,R3,Waddell Canal,cap,waddell canal,2/13/2006,2/13/2006,,0,2.5,0,,,,
5147,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/13/2006,2/13/2006,,2.7,3.5,0,,,,
5148,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/13/2006,2/13/2006,,,,,,,,
5149,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/13/2006,2/13/2006,,3,3.1,0,,,,
5150,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/13/2006,2/13/2006,,2.8,2.8,0,,,,
5151,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/13/2006,2/13/2006,,3,2.9,0,,,,
5152,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/13/2006,2/13/2006,,2.4,3.2,0,,,,
5153,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/13/2006,2/13/2006,,2.5,2.9,0,,,,
5154,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/13/2006,2/13/2006,,3,3.7,0,,,,
5155,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/13/2006,2/13/2006,,0,3.4,0,,,,
5156,R19,Val Vista WTP treated water,srp,val vista-treated,2/13/2006,2/13/2006,,0,3.4,0,,,,
5157,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/13/2006,2/13/2006,,0,3.3,0,,,,
5158,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/13/2006,2/13/2006,,2.1,3.7,0,,,,
5159,R25,verde river at beeline highway,verde,verde @ beeline,2/13/2006,2/13/2006,,2.6,3,0,,,,
5160,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/13/2006,2/13/2006,,0,3.4,0,,,,
5161,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2/13/2006,2/13/2006,,0,3.4,0,,,,
5162,UH In,Union Hills Inlet,cap,Union Hills Inlet,2/13/2006,2/13/2006,,0,2.3,0,,,,
5163,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2/13/2006,2/13/2006,,0,2.9,0,,,,
5296,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/14/2006,5/14/2006,,0,2.7,0,,,,
5297,UH In,Union Hills Inlet,cap,Union Hills Inlet,5/14/2006,5/14/2006,,0,0,0,,,,
5298,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,5/14/2006,5/14/2006,,0,0,0,,,,
5299,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/14/2006,5/14/2006,,0,2.3,0,,,,
5300,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/14/2006,5/14/2006,,0,0,0,,,,
5301,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,5/14/2006,5/14/2006,,0,0,0,,,,
5302,HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/14/2006,5/14/2006,,0,0,0,,,,
5303,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,5/14/2006,5/14/2006,,0,2.9,0,,,,
5304,SPT Out,Tempe's South Plant treated water,tempe,STP Out,5/14/2006,5/14/2006,,0,0,0,,,,
5305,Green In,Greenway WTP Inlet,srp,Green In,5/14/2006,5/14/2006,,0,0,0,,,,
5306,Green Out,Greenway WTP Outlet,srp,Green Out,5/14/2006,5/14/2006,,0,0,0,,,,
5307,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/14/2006,5/14/2006,,0,0,0,,,,
5308,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/14/2006,5/14/2006,,0,0,0,,,,
5309,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/14/2006,5/14/2006,,9.4,0,0,,,,
5310,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/14/2006,5/14/2006,,0,0,0,,,,
5311,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/14/2006,5/14/2006,,0,23.7,0,,,,
5312,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,5/14/2006,5/14/2006,,0,23.7,0,,,,
5313,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/14/2006,5/14/2006,,0,4.3,0,,,,
5314,R20,Verde River at Tangle,verde,verde abv horseshoe,5/14/2006,5/14/2006,,0,2.2,0,,,,
5315,Havasu 1,Havasu lake Sample,,Havasu 1,5/14/2006,5/14/2006,,0,0,0,,,,
5316,Havasu 2,Havasu lake Sample,,Havasu 2,5/14/2006,5/14/2006,,,,,,,,
5317,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,5/14/2006,5/14/2006,,,,,,,,
5318,R1,CAP canal above Waddell Canal,cap,cap-siphon,5/14/2006,5/14/2006,,,,,,,,
5319,R4,Cap Canal at 7th St.,cap,cap @ 7th st,5/14/2006,5/14/2006,,,,,,,,
5320,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,5/14/2006,5/14/2006,,,,,,,,
5321,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,5/14/2006,5/14/2006,,,,,,,,
5322,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,5/14/2006,5/14/2006,,,,,,,,
5323,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,5/14/2006,5/14/2006,,,,,,,,
5324,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,5/14/2006,5/14/2006,,,,,,,,
5325,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,5/14/2006,5/14/2006,,,,,,,,
5326,R3,Waddell Canal,cap,waddell canal,6/12/2006,6/12/2006,,0,5.8,4,,,,
5327,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/12/2006,6/12/2006,,0,4.2,5.1,,,,
5328,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/12/2006,6/12/2006,,0,8.9,5.6,,,,
5329,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/12/2006,6/12/2006,,0,7.1,5.4,,,,
5330,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/12/2006,6/12/2006,,0,3.3,4.3,,,,
5331,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/12/2006,6/12/2006,,0,2.2,0,,,,
5332,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/12/2006,6/12/2006,,0,0,0,,,,
5333,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/12/2006,6/12/2006,,0,2.4,0,,,,
5334,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/12/2006,6/12/2006,,0,0,0,,,,
5335,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/12/2006,6/12/2006,,0,3.4,4.3,,,,
5336,R19,Val Vista WTP treated water,srp,val vista-treated,6/12/2006,6/12/2006,,0,0,0,,,,
5337,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/12/2006,6/12/2006,,0,0,0,,,,
5338,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/12/2006,6/12/2006,,0,4,3.6,,,,
5339,R25,verde river at beeline highway,verde,verde @ beeline,6/12/2006,6/12/2006,,13.8,4.7,11.3,,,,
5340,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/12/2006,6/12/2006,,0,3.9,8.2,,,,
5341,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/12/2006,6/12/2006,,0,3.2,0,,,,
5342,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/12/2006,6/12/2006,,0,7.1,2.8,,,,
5343,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/12/2006,6/12/2006,,0,8.2,0,,,,
5344,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/12/2006,6/12/2006,,0,3.1,4.4,,,,
5345,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/12/2006,6/12/2006,,0,0,0,,,,
5346,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/12/2006,6/12/2006,,0,3.3,4.3,,,,
5347,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/12/2006,6/12/2006,,2.2,4.1,4.4,,,,
5348,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/12/2006,6/12/2006,,0,0,0,,,,
5349,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/12/2006,6/12/2006,,0,0,0,,,,
5350,Green In,Greenway WTP Inlet,srp,Green In,6/12/2006,6/12/2006,,0,2.9,0,,,,
5351,Green Out,Greenway WTP Outlet,srp,Green Out,6/12/2006,6/12/2006,,0,0,2.6,,,,
5352,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/12/2006,6/12/2006,,0,0,0,,,,
5353,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/12/2006,6/12/2006,,2.6,0,0,,,,
5354,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/12/2006,6/12/2006,,9.8,0,0,,,,
5355,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/12/2006,6/12/2006,,0,0,0,,,,
5356,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/12/2006,6/12/2006,,0,82.5,3.6,,,,
5357,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,6/12/2006,6/12/2006,,0,96.4,3.4,,,,
5358,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/12/2006,6/12/2006,,0,5.3,0,,,,
5359,R20,Verde River at Tangle,verde,verde abv horseshoe,6/12/2006,6/12/2006,,4.9,2.9,3.1,,,,
5360,Havasu 1,Havasu lake Sample,,Havasu 1,6/12/2006,6/12/2006,,0,2.5,0,,,,
5361,Havasu 2,Havasu lake Sample,,Havasu 2,6/12/2006,6/12/2006,,,,,,,,
5362,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,6/12/2006,6/12/2006,,,,,,,,
5363,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/12/2006,6/12/2006,,,,,,,,
5364,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/12/2006,6/12/2006,,,,,,,,
5365,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/12/2006,6/12/2006,,,,,,,,
5366,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/12/2006,6/12/2006,,,,,,,,
5367,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/12/2006,6/12/2006,,,,,,,,
5368,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/12/2006,6/12/2006,,,,,,,,
5369,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,6/12/2006,6/12/2006,,,,,,,,
5370,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,6/12/2006,6/12/2006,,,,,,,,
5371,R3,Waddell Canal,cap,waddell canal,7/11/2006,7/11/2006,,2.4,0,12.4,,,,
5372,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/11/2006,7/11/2006,,2.5,18.4,6.5,,,,
5373,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/11/2006,7/11/2006,,0,3.9,7.7,,,,
5374,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/11/2006,7/11/2006,,0,4.4,6.3,,,,
5375,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/11/2006,7/11/2006,,3.5,14.3,10.6,,,,
4846,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/13/2005,9/13/2005,,11.3,3.1,2.2,,,,
4847,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/13/2005,9/13/2005,,3.1,3.7,4.1,,,,
4848,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/13/2005,9/13/2005,,3.4,4,0,,,,
4849,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/13/2005,9/13/2005,,11.7,3.4,3,,,,
4850,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/13/2005,9/13/2005,,4.4,0,0,,,,
4851,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/13/2005,9/13/2005,,9.7,0,5,,,,
4852,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/13/2005,9/13/2005,,11.4,2,3.2,,,,
4853,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/13/2005,9/13/2005,,7,0,0,,,,
4854,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/13/2005,9/13/2005,,11.4,0,3.7,,,,
4855,Green In,Greenway WTP Inlet,srp,Green In,9/13/2005,9/13/2005,,12,5.4,3,,,,
4856,Green Out,Greenway WTP Outlet,srp,Green Out,9/13/2005,9/13/2005,,0,0,0,,,,
4857,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/13/2005,9/13/2005,,5.5,0,2.3,,,,
4858,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/13/2005,9/13/2005,,0,0,0,,,,
4859,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/13/2005,9/13/2005,,21.4,0,0,,,,
4860,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/13/2005,9/13/2005,,11.1,0,2.4,,,,
4861,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/13/2005,9/13/2005,,9.5,0,8.9,,,,
4862,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,9/13/2005,9/13/2005,,10.1,0,9.4,,,,
4863,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/13/2005,9/13/2005,,12.5,0,2.2,,,,
4864,R20,Verde River at Tangle,verde,verde abv horseshoe,9/13/2005,9/13/2005,,5.6,0,5.9,,,,
4865,Havasu 1,Havasu lake Sample,,Havasu 1,9/13/2005,9/13/2005,,4,0,0,,,,
4866,Havasu 2,Havasu lake Sample,,Havasu 2,9/13/2005,9/13/2005,,,,,,,,
4867,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,9/13/2005,9/13/2005,,,,,,,,
4868,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/13/2005,9/13/2005,,,,,,,,
4869,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/13/2005,9/13/2005,,,,,,,,
4870,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/13/2005,9/13/2005,,,,,,,,
4871,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/13/2005,9/13/2005,,,,,,,,
4872,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/13/2005,9/13/2005,,,,,,,,
4873,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/13/2005,9/13/2005,,,,,,,,
4874,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,9/13/2005,9/13/2005,,,,,,,,
4875,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,9/13/2005,9/13/2005,,,,,,,,
4876,R3,Waddell Canal,cap,waddell canal,9/27/2005,9/27/2005,,4.4,3.4,0,,,,
4877,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/27/2005,9/27/2005,,14.2,2.1,3.1,,,,
4878,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/27/2005,9/27/2005,,2.5,0,0,,,,
4879,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/27/2005,9/27/2005,,12.3,2.4,3.5,,,,
4880,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/27/2005,9/27/2005,,9.9,2.2,0,,,,
4881,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/27/2005,9/27/2005,,16.2,7.6,0,,,,
4882,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/27/2005,9/27/2005,,6.8,0,0,,,,
4883,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/27/2005,9/27/2005,,17.7,7.2,2,,,,
4884,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/27/2005,9/27/2005,,13.8,4.9,0,,,,
4885,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/27/2005,9/27/2005,,13.3,3.3,3,,,,
4886,R19,Val Vista WTP treated water,srp,val vista-treated,9/27/2005,9/27/2005,,10.5,3.3,0,,,,
4887,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/27/2005,9/27/2005,,16,7.2,0,,,,
4888,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/27/2005,9/27/2005,,15.8,5.9,2.5,,,,
4889,R25,verde river at beeline highway,verde,verde @ beeline,9/27/2005,9/27/2005,,14.9,2.6,2.7,,,,
4890,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/27/2005,9/27/2005,,13,4.9,2.8,,,,
4891,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/27/2005,9/27/2005,,15.7,5.4,0,,,,
4892,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/27/2005,9/27/2005,,2.3,0,0,,,,
4893,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/27/2005,9/27/2005,,0,0,0,,,,
4894,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/27/2005,9/27/2005,,15.3,4.9,2.2,,,,
4895,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/27/2005,9/27/2005,,11,0,2,,,,
4896,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/27/2005,9/27/2005,,12.8,2.5,3.2,,,,
4897,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/27/2005,9/27/2005,,15.9,3,0,,,,
4898,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/27/2005,9/27/2005,,7.6,0,0,,,,
4899,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/27/2005,9/27/2005,,7.8,0,0,,,,
4900,Green In,Greenway WTP Inlet,srp,Green In,9/27/2005,9/27/2005,,12.8,5.2,0,,,,
4901,Green Out,Greenway WTP Outlet,srp,Green Out,9/27/2005,9/27/2005,,0,0,0,,,,
4902,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/27/2005,9/27/2005,,,,,,,,
4903,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/27/2005,9/27/2005,,,,,,,,
4904,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/27/2005,9/27/2005,,,,,,,,
4905,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/27/2005,9/27/2005,,,,,,,,
4906,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/27/2005,9/27/2005,,,,,,,,
4907,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,9/27/2005,9/27/2005,,,,,,,,
4908,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/27/2005,9/27/2005,,,,,,,,
4909,R20,Verde River at Tangle,verde,verde abv horseshoe,9/27/2005,9/27/2005,,,,,,,,
4910,Havasu 1,Havasu lake Sample,,Havasu 1,9/27/2005,9/27/2005,,,,,,,,
4911,Havasu 2,Havasu lake Sample,,Havasu 2,9/27/2005,9/27/2005,,,,,,,,
4912,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,9/27/2005,9/27/2005,,,,,,,,
4913,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/27/2005,9/27/2005,,,,,,,,
4914,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/27/2005,9/27/2005,,,,,,,,
4915,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/27/2005,9/27/2005,,,,,,,,
4916,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/27/2005,9/27/2005,,,,,,,,
4917,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/27/2005,9/27/2005,,,,,,,,
4918,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/27/2005,9/27/2005,,,,,,,,
4919,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,9/27/2005,9/27/2005,,,,,,,,
4920,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,9/27/2005,9/27/2005,,,,,,,,
4921,R3,Waddell Canal,cap,waddell canal,10/11/2005,10/11/2005,,2,0,,,,,
4922,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/11/2005,10/11/2005,,8.1,0,,,,,
4923,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/11/2005,10/11/2005,,0,0,,,,,
4924,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/11/2005,10/11/2005,,7.5,0,,,,,
4925,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/11/2005,10/11/2005,,6.2,0,,,,,
4926,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/11/2005,10/11/2005,,13.7,9.5,,,,,
4927,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/11/2005,10/11/2005,,5.8,0,,,,,
4928,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/11/2005,10/11/2005,,10,6.1,,,,,
4929,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/11/2005,10/11/2005,,7.5,5.3,,,,,
4930,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/11/2005,10/11/2005,,7.9,2.5,,,,,
4931,R19,Val Vista WTP treated water,srp,val vista-treated,10/11/2005,10/11/2005,,6.7,2.6,,,,,
4932,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/11/2005,10/11/2005,,11.4,7.9,,,,,
4933,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/11/2005,10/11/2005,,12.9,6.4,,,,,
4934,R25,verde river at beeline highway,verde,verde @ beeline,10/11/2005,10/11/2005,,7.9,0,,,,,
4935,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/11/2005,10/11/2005,,9.5,4.5,,,,,
4936,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/11/2005,10/11/2005,,9.9,4.3,,,,,
4937,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/11/2005,10/11/2005,,0,0,,,,,
4938,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/11/2005,10/11/2005,,0,0,,,,,
4939,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/11/2005,10/11/2005,,8.5,5,,,,,
4940,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/11/2005,10/11/2005,,7.5,2.2,,,,,
4941,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/11/2005,10/11/2005,,7.3,0,,,,,
4942,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/11/2005,10/11/2005,,6.2,0,,,,,
4943,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/11/2005,10/11/2005,,4.6,0,,,,,
4944,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/11/2005,10/11/2005,,5.4,0,,,,,
4945,Green In,Greenway WTP Inlet,srp,Green In,10/11/2005,10/11/2005,,9.7,4.3,,,,,
4946,Green Out,Greenway WTP Outlet,srp,Green Out,10/11/2005,10/11/2005,,0,0,,,,,
4947,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/11/2005,10/11/2005,,9,0,,,,,
