ID,site number,site location,cluster name,site acronym,date,month,sample type,Tot N (mg/L (0<mdl)),Diss N (mg/L (0<mdl)),Tot P (ug/L (0<mdl)),Diss P (ug/L (0<mdl)),nitrate_nitrogen,ammonium_nitrogen,dissolved_organic_nitrogen,nutrient comments
4.4760000000000000e+03,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","09/12/06 00:00:00","09/12/06 00:00:00",,,,6.4700000000000003e+01,,,,,
4.4770000000000000e+03,"R1","CAP canal above Waddell Canal","cap","cap-siphon","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4780000000000000e+03,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4790000000000000e+03,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4800000000000000e+03,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4810000000000000e+03,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4820000000000000e+03,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4830000000000000e+03,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4840000000000000e+03,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","09/12/06 00:00:00","09/12/06 00:00:00",,,,,,,,,
4.4850000000000000e+03,"R3","Waddell Canal","cap","waddell canal","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.4860000000000000e+03,"UH In","Union Hills Inlet","cap","Union Hills Inlet","10/10/06 00:00:00","10/10/06 00:00:00",,,,1.3100000000000000e+01,,,,,
4.4870000000000000e+03,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.4880000000000000e+03,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/10/06 00:00:00","10/10/06 00:00:00",,,,1.1199999999999999e+01,,,,,
4.4890000000000000e+03,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","10/10/06 00:00:00","10/10/06 00:00:00",,,,5.7200000000000003e+01,,,,,
4.4900000000000000e+03,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","10/10/06 00:00:00","10/10/06 00:00:00",,,,9.0299999999999997e+01,,,,,
4.4910000000000000e+03,"R19","Val Vista WTP treated water","srp","val vista-treated","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
4.4920000000000000e+03,,"Val Vista West WTP treated water","srp","val vista WEST-treated","10/10/06 00:00:00","10/10/06 00:00:00",,,,,,,,,
