ID,site number,site location,cluster name,site acronym,date,month,sample type,conductance (uS/cm),chl A (ug/L),phaeophytin (ug/L),phaeophytin chl A (ug/L),chlorophyta (organisms/ml),cyanophyta (organisms/ml),bacillariophyta (organisms/ml),total (organisms/ml),algae comments
1,"R1","CAP canal above Waddell Canal","cap","cap-siphon","08/18/99 00:00:00","08/01/99 00:00:00",,800,0.3,0,0.7,0,8,135,147,
2,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","08/18/99 00:00:00","08/01/99 00:00:00",,890,0.3,0,0.7,0,0,76,76,
3,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","08/18/99 00:00:00","08/01/99 00:00:00",,850,0.6,0,1.3,18,0,0,18,
4,"R3","Waddell Canal","cap","waddell canal","08/18/99 00:00:00","08/01/99 00:00:00",,870,0.8,0,5.3,0,0,18,18,
5,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","08/18/99 00:00:00","08/01/99 00:00:00",,830,1.1,0.7,0.7,0,7,54,61,
6,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","08/16/99 00:00:00","08/01/99 00:00:00",,500,7.6,4.7,4.7,21,79,195,302,
7,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","08/16/99 00:00:00","08/01/99 00:00:00",,490,3.8,2,2.7,4,25,493,522,
8,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","08/16/99 00:00:00","08/01/99 00:00:00",,490,2.1,1.5,1.3,4,92,91,127,
9,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","08/16/99 00:00:00","08/01/99 00:00:00",,500,3.6,2.7,2,4,7,189,204,
10,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","08/17/99 00:00:00","08/01/99 00:00:00",,1200,1.7,1.7,0.7,0,25,19,44,
11,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","08/17/99 00:00:00","08/01/99 00:00:00",,1220,9,4.5,6.7,29,36,777,849,
12,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","08/17/99 00:00:00","08/01/99 00:00:00",,1210,5.1,7.1,1.3,29,87,297,420,
13,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","08/17/99 00:00:00","08/01/99 00:00:00",,1200,4.2,0,7.3,0,43,165,208,
14,"R11","CAP Canal at Cross-connect","cap","cap @ x con","08/17/99 00:00:00","08/01/99 00:00:00",,850,1.7,0.5,1.3,14,21,302,337,
15,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","08/17/99 00:00:00","08/01/99 00:00:00",,1120,5.4,0.9,4.7,7,58,402,464,
16,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","08/17/99 00:00:00","08/01/99 00:00:00",,1120,5.1,0.5,4.7,0,29,229,258,
17,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","08/18/99 00:00:00","08/01/99 00:00:00",,1130,0.6,0,0.7,0,86,0,86,
18,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","08/18/99 00:00:00","08/01/99 00:00:00",,,,,,,,,,
19,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","08/17/99 00:00:00","08/01/99 00:00:00",,1060,3.1,1.7,2,0,0,366,366,
