ID,Site Name,Site Location,Cluster,Site Acronym,Date,Units,Ag3280,Ag3382,Al3944,Al3961,As1890,As1937,Ba2335,Ba4554,Be2348,Be3130,Bi1902,Bi2230,Ca3158,Ca3179,Cd2144,Cd2265,Co2286,Co2388,Cr2677,Cr2835,Cu3247,Cu3273,Fe2395,Fe2599,K7664,K7698,Li6707,Mg2790,Mg2852,Mn2576,Mn2593,Mo2020,Mo2816,Na5889,Na5895,Ni2216,Ni2316,Pb2169,Pb2203,Sb2068,Sb2175,Se1960,Se2039,Sr4077,Sr4215,Ti3234,Ti3349,Ti3361,Tl1908,Tl2767,U_2635,U_3670,U_3859,V_3093,V_3102,Zn2025,Zn2138
38,"Hav","Lake Havasu",,"Havasu","2/25/2019","(mg/L)","-0.0013","0.0241","0.062","-0.0394","0.0036","0.0036","0.1013","0.0922","0.0001","0.0001","0.0094","0.0291","68.7","67.06","0.0002","0.0001","0.0001","-0.0007","0.0014","-0.0007","0.0015","0.0015","0.0332","0.0343","4.563","4.373","0.04","21.25","21.61","0.0052","0.0052","0.0043","0.0032","76.87","77.44","0.0019","0.0003","-0.008","0.0017","0.004","0.0036","0","-0.0025","0.9289","0.8608","0.0002","9.149","0.0001","0.0017","0.0684","0.0016","0.01","-0.0031","0.0358","0.0097","-0.0029","0.001"
39,"Can1A","Canyon Lake, upper","SRP","Canyon, eppi, upper","8/19/2019","(mg/L)","-0.0007","0.0203","0.0394","-0.0401","0.007","0.0074","0.0769","0.0678","0.0002","0.0001","0.0028","0.0312","43.78","42.61","0.0003","0.0002","0.0002","-0.0011","0.0008","-0.0006","0.0022","0.001","0.0052","0.0051","7.822","7.864","0.1622","14.32","14.63","0.022","0.0215","0.0017","0.001","279.1","232.4","0.0026","0","-0.0093","0.0038","0.0021","0.0029","-0.0005","-0.0042","0.4686","0.4332","0.0001","9.148","0","0.0009","0.0469","0.0007","0.0051","-0.002","0.0235","0.0113","0.0011","0.0035"
40,"Can1B","Canyon Lake, upper","SRP","Canyon, hypo, upper","8/19/2019","(mg/L)","-0.0006","0.0209","0.0574","-0.0251","0.0056","0.0061","0.0716","0.0629","0.0001","0.0001","0.0033","0.032","43.59","42.42","0.0002","0.0002","0.0002","-0.0007","0.0013","-0.0005","0.0029","0.0012","0.0084","0.009","7.808","7.787","0.1587","14.17","14.5","0.0595","0.0583","0.0018","-0.0007","276.5","232.8","0.0031","0.0003","-0.0098","0.0045","0.0025","0.0012","0.0005","-0.0059","0.466","0.4272","0","9.148","0","0.0008","0.033","-0.0004","0.0061","-0.0019","0.0236","0.0118","0.0035","0.0059"
41,"Can2A","Canyon Lake, lower","SRP","Canyon, eppi, lower","8/19/2019","(mg/L)","-0.0006","0.022","0.0348","-0.0444","0.0041","0.0063","0.0709","0.0619","0","0.0001","0.0023","0.0357","42.93","41.58","0.0002","0.0001","0.0002","-0.0005","0.0007","-0.0009","0.0022","0.0001","0.0037","0.0044","7.571","7.608","0.1597","13.88","14.23","0.0556","0.0544","0.0016","-0.0005","270.1","230.2","0.0027","-0.0001","-0.0104","0.0045","0.0026","0.0022","-0.0029","0.0001","0.4603","0.4184","0","9.148","-0.0001","0.0018","0.0365","0.0014","0.0064","-0.0021","0.0232","0.0121","-0.001","0.0016"
42,"Can2B","Canyon Lake, lower","SRP","Canyon, hypo, lower","8/19/2019","(mg/L)","-0.0006","0.022","0.0374","-0.0455","0.0041","0.0077","0.0712","0.0623","0","0.0001","0.0026","0.0375","43.01","41.54","0.0001","0.0001","0.0001","-0.0009","0.0012","-0.0002","0.0019","0.0002","0.0062","0.0063","7.746","7.736","0.1575","13.68","14.09","0.0682","0.0664","0.0015","-0.0012","269.4","230.7","0.0025","0.0004","-0.0086","0.0049","0.0023","0.0021","0.0003","-0.0047","0.4605","0.4161","0","9.148","-0.0001","0.0024","0.0366","-0.001","0.0066","-0.0024","0.0234","0.0141","-0.0002","0.0023"
43,"APA1A","Apache Lake, upper","SRP","Apache, eppi, upper","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"APA1B","Apache Lake, upper","SRP","Apache, hypo, upper","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"APA2A","Apache Lake, lower","SRP","Apache, eppi, lower","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"APA2B","Apache Lake, lower","SRP","Apache, hypo, lower","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Roos1A","Roosevelt Lake, upper","SRP","Roosevelt, eppi, upper","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Roos1B","Roosevelt Lake, upper","SRP","Roosevelt, hypo, upper","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Roos2A","Roosevelt Lake, lower","SRP","Roosevelt, eppi, lower","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Roos2B","Roosevelt Lake, lower","SRP","Roosevelt, hypo, lower","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"R3","Waddell Canal","cap","waddell canal","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"R25","verde river at beeline highway","verde","verde @ beeline","8/19/2019","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","8/19/2019","(mg/L)","0.0007","0.0064","0.0827","-0.1113","0.0045","0.0052","0.1026","0.1018","0.0002","0","0.014","0.0427","67.43","67.3","0.0002","0.0003","0.0001","0.0006","0.0007","-0.0004","0","0.0013","0.0106","0.0102","5.776","5.476","0.0449","23.86","24.24","0.0224","0.0225","0.0114","0.0043","79.87","82.31","0.0024","0.0007","-0.0045","0.003","0.0148","0.0132","0.0079","-0.0002","0.9768","0.9608","0.0004","9.156","0.0003","0.0023","0.2795","0.0024","0.0024","-0.0002","0.0543","0.0025","-0.0012","0.0017"
55,"Can1A","Canyon Lake, upper","SRP","Canyon, eppi, upper","11/26/2019","(mg/L)","0.0003","0.0049","0.1657","0.0364","0.0022","0.0037","0.0626","0.0589","0.0002","0","-0.0084","0.0503","43.97","43.53","0","0.0001","0.0002","0.0007","0.0008","-0.0006","0.0016","0.0014","0.0784","0.08","9.458","8.769","0.152","13.49","13.95","0.0189","0.0187","0.0011","-0.004","162.7","171.2","0.0032","0.0004","-0.0054","0.0051","0.0043","0.0026","0.0012","0.0031","0.4046","0.3982","0.0002","9.156","0.0002","-0.001","0.1753","0.0013","0.0014","-0.0022","0.0299","0.0038","0.0027","0.0042"
56,"Can1B","Canyon Lake, upper","SRP","Canyon, hypo, upper","11/26/2019","(mg/L)","0.0003","0.005","0.1661","0.0405","0.0017","0.0025","0.0631","0.0586","0.0001","0","-0.0061","0.055","43.87","43.18","0","0.0001","0.0002","0.0004","0.0007","-0.0005","0.0016","0.001","0.0776","0.0801","9.527","8.747","0.1509","13.29","14.02","0.0192","0.0192","0.0011","-0.0044","160.2","169.9","0.0035","0.0003","-0.0052","0.0049","0.0064","0.0033","0.0003","0.0049","0.4037","0.3968","0.0003","9.156","0.0002","0.001","0.169","0.0024","0","-0.0021","0.0301","0.0035","0.001","0.0026"
