ID,Site Name,Site Location,Cluster,Site Acronym,Date,Units,Ag3280,Ag3382,Al3944,Al3961,As1890,As1937,Ba2335,Ba4554,Be2348,Be3130,Bi1902,Bi2230,Ca3158,Ca3179,Cd2144,Cd2265,Co2286,Co2388,Cr2677,Cr2835,Cu3247,Cu3273,Fe2395,Fe2599,K7664,K7698,Li6707,Mg2790,Mg2852,Mn2576,Mn2593,Mo2020,Mo2816,Na5889,Na5895,Ni2216,Ni2316,Pb2169,Pb2203,Sb2068,Sb2175,Se1960,Se2039,Sr4077,Sr4215,Ti3234,Ti3349,Ti3361,Tl1908,Tl2767,U_2635,U_3670,U_3859,V_3093,V_3102,Zn2025,Zn2138
22,"Can1A","Canyon Lake, upper","SRP","Canyon, eppi, upper","5/7/2019","(mg/L)","0.0001","0.0179","0.0851","-0.1335","0.005","0.0033","0.0522","0.0479","0","0","0.002","0.0221","36.24","35.55","0.0001","0.0001","0","0.0001","0.0008","-0.0003","0.0035","0.0009","0.0199","0.0206","6.613","7.264","0.1124","11.4","12.16","0.0117","0.0122","0.0005","-0.0021","211","192.8","0.0031","0.0004","-0.0155","0.0026","-0.0033","-0.0043","0.0051","0.0049","0.3648","0.3039","0","0.0003","-0.0002","0.0031","0.0603","-0.0019","-0.0002","-0.0057","0.0183","0.0093","0.0043","0.0059"
23,"Can1B","Canyon Lake, upper","SRP","Canyon, hypo, upper","5/7/2019","(mg/L)","0.0004","0.0198","0.1044","-0.146","0.006","0.0015","0.0629","0.0576","0.0001","0","0.002","0.0233","41.1","40.26","0.0002","0.0002","0.0001","0.0002","0.0014","0.0004","0.0053","0.0036","0.057","0.0587","7.371","8.247","0.1199","12.31","13.02","0.0254","0.0264","0.0005","-0.0035","245.5","213.5","0.0044","0.0018","-0.0227","0.0015","-0.0021","-0.006","0.0053","0.0005","0.4033","0.3384","0.0001","0.0003","-0.0001","0.0027","0.074","0.0031","-0.0009","-0.0061","0.0195","0.0095","0.0216","0.0232"
24,"Can2A","Canyon Lake, lower","SRP","Canyon, eppi, lower","5/7/2019","(mg/L)","0.0004","0.0182","0.0812","-0.145","0.0051","0.001","0.0496","0.0452","0.0001","0","-0.0014","0.0253","36","35.24","0.0001","0.0001","-0.0001","0.0005","0.0003","0","0.0029","0.002","0.0217","0.0227","6.625","7.378","0.115","11.22","11.88","0.0087","0.0092","0.0004","-0.0029","201.7","189.1","0.0032","0.0008","-0.0202","0.0024","-0.0021","-0.0074","0.0071","0.0042","0.3606","0.2996","0","0.0003","-0.0001","0.0027","0.0682","0.0006","-0.0023","-0.0054","0.0184","0.0104","0.0023","0.0041"
25,"Can2B","Canyon Lake, lower","SRP","Canyon, hypo, lower","5/7/2019","(mg/L)","0.0006","0.0196","0.0868","-0.1611","0.0048","-0.0001","0.0586","0.0533","0.0001","0","0.0041","0.0265","40.7","39.51","0.0001","0.0002","0.0001","0.0003","0.0007","0.0004","0.0059","0.0041","0.0372","0.0381","7.188","8.026","0.1228","11.96","12.79","0.0162","0.017","0.0006","-0.0045","240.7","212.2","0.0036","0.0009","-0.0235","0.0019","-0.0037","-0.0064","0.0024","0.0046","0.4013","0.3346","0","0.0002","-0.0002","0.0039","0.0675","-0.0006","-0.0031","-0.0049","0.0192","0.0104","0.0053","0.0071"
26,"APA1A","Apache Lake, upper","SRP","Apache, eppi, upper","5/7/2019","(mg/L)","-0.0015","0.0212","0.0765","-0.1425","0.0056","0.0034","0.0632","0.0569","0.0002","0","-0.0025","0.019","39.22","37.75","0","0.0001","-0.0003","0.0005","0.0007","0.0001","0.0019","-0.0008","0.018","0.0186","8.571","9.338","0.1511","13.99","14.87","0.0074","0.008","0.0011","-0.0037","0","263.9","0.0026","0","-0.0187","0.0014","-0.0024","-0.0064","0.0023","0.0037","0.4501","0.3703","0","0.0003","-0.0002","0.0046","0.0764","-0.0046","-0.0027","0.0023","0.0223","0.0102","-0.0007","0.0014"
27,"APA1B","Apache Lake, upper","SRP","Apache, hypo, upper","5/7/2019","(mg/L)","-0.0016","0.0234","0.084","-0.1805","0.0048","0.0015","0.0732","0.0663","0.0002","0","0.0018","0.0217","47.31","45.38","0","0","-0.0004","-0.0002","0.0008","0","0.0023","0.0001","0.0243","0.0247","8.388","9.131","0.1479","13.78","14.62","0.0285","0.0301","0.0009","-0.0037","0","258.6","0.0029","-0.0005","-0.0183","0.0008","-0.0042","-0.0083","0.0042","0.0037","0.4704","0.3854","0","0.0003","-0.0001","0.0034","0.0843","-0.0027","-0.0053","0.0022","0.0218","0.01","0.0006","0.0027"
28,"APA2A","Apache Lake, lower","SRP","Apache, eppi, lower","5/7/2019","(mg/L)","-0.0017","0.0208","0.0764","-0.1561","0.0054","0.0048","0.064","0.0579","0.0001","0","-0.0005","0.0187","40.06","38.56","0","0","-0.0003","-0.0001","0.0009","0.0002","0.0031","0.0012","0.0168","0.0187","8.369","9.186","0.1477","13.65","14.64","0.0053","0.0059","0.001","-0.0031","0","259","0.0027","-0.0005","-0.0188","0.0012","-0.0045","-0.0087","0.0018","0.0045","0.4462","0.3692","0","0.0002","-0.0001","0.004","0.0621","-0.0041","-0.0052","0.0004","0.0222","0.0096","-0.0006","0.0015"
29,"APA2B","Apache Lake, lower","SRP","Apache, hypo, lower","5/7/2019","(mg/L)","-0.0023","0.0228","0.0939","-0.1593","0.0034","0.0037","0.072","0.0655","0.0001","0.0001","-0.0004","0.0198","45.99","44.23","0","0","-0.0004","-0.0001","0.0011","0.0002","0.0034","0.003","0.0812","0.0848","8.337","9.202","0.1461","13.52","14.49","0.008","0.0088","0.0008","-0.003","0","255.3","0.0032","0.0004","-0.0185","0.0018","-0.0034","-0.0072","0.0023","0.0046","0.4669","0.3816","0","0.0003","-0.0001","0.0027","0.0444","-0.005","-0.0057","-0.0016","0.0221","0.0102","0.0028","0.0049"
30,"Roos1A","Roosevelt Lake, upper","SRP","Roosevelt, eppi, upper","5/7/2019","(mg/L)","0.001","0.0183","0.1257","-0.0634","0.0027","0.0016","0.0356","0.0321","0","0","0.01","0.032","28.58","27.41","0.0001","0","-0.0002","0.0012","0.0003","0.0003","0.0053","0.0031","0.0669","0.0693","3.643","4.253","0.0576","6.821","7.399","0.0057","0.0062","0.004","0.0007","85.92","89.4","0.003","0.0004","-0.0174","0.0024","0.0086","0.0028","0.0032","0.0036","0.2249","0.193","0.0006","0.0008","0.0005","0.0033","0.0472","-0.0019","-0.003","-0.0047","0.014","0.0124","0.001","0.0022"
31,"Roos1B","Roosevelt Lake, upper","SRP","Roosevelt, hypo, upper","5/7/2019","(mg/L)","-0.0003","0.0204","0.1403","-0.1015","0.0032","0.0014","0.0669","0.0606","0.0002","0.0001","0.0037","0.0135","41.23","39.7","0.0001","0.0001","-0.0003","-0.0002","0.0009","0.0001","0.0035","0.0011","0.0939","0.0967","6.695","7.308","0.1116","11.32","12.34","0.014","0.0149","0.0018","-0.0014","217.3","197.7","0.0032","0.0006","-0.0211","0.0017","-0.0015","-0.0026","0.003","0.0039","0.38","0.3209","0.0002","0.0005","0.0001","0.0032","0.0727","-0.0045","-0.0028","-0.0016","0.0207","0.0195","0.0012","0.0032"
32,"Roos2A","Roosevelt Lake, lower","SRP","Roosevelt, eppi, lower","5/7/2019","(mg/L)","-0.0008","0.0191","0.1257","-0.0709","0.0034","-0.0006","0.0456","0.0418","0.0001","0","0.0029","0.0212","31.96","30.76","0","0","-0.0002","0","0.0009","0.0007","0.0094","0.0059","0.0524","0.0541","4.425","5.243","0.0666","8.205","8.716","0.0029","0.0032","0.0009","-0.0024","106.6","110.5","0.0028","0.0002","-0.0158","0.002","-0.0023","-0.0052","0.0054","0.0058","0.2626","0.2243","0.0003","0.0005","0.0001","0.0019","0.0452","-0.0014","-0.0036","-0.0022","0.016","0.0146","0.0021","0.0036"
71,"Can1A","Canyon Lake, upper","SRP","Canyon, eppi, upper","2/25/2020","(mg/L)","0.0029","0.0004","-0.0007","-0.0002","0.0018","0.0115","0.0103","0.0081","0.001","0.0008","0.0126","0.0084","4.191","4.314","0.0007","0.0009","-0.0011","0.0038","-0.0013","-0.0112","0.003","0.0123","0.0033","0.0032","1.052","2.516","0.0375","0.988","1.498","0.0039","0.0038","0.0038","0.0016",,"17.78","-0.0007","0.0007","-0.0183","0.0056","0.0015","-0.0176","0.0193","0.0195","0.0348","0.0372","0.0013","9.153","0.0014","0.0075","0.0861","0.0113","-0.0454","-0.0005","0.0013","-0.0302","-0.0041","-0.0035"
72,"Can1B","Canyon Lake, upper","SRP","Canyon, hypo, upper","2/25/2020","(mg/L)","0.0016","-0.0015","-0.0096","-0.0052","-0.0007","0.0112","0.0053","0.0046","0.0001","-0.0001","0.0094","-0.029","2.793","3.002","0.0005","0.0003","-0.0016","0.0032","-0.0024","-0.0136","0.0007","0.0121","-0.001","-0.0006","0.7546","1.71","0.0454","0.4463","1.049","0.002","0.0023","0.0007","-0.0036","12.53","12.48","-0.0006","0.0003","-0.0237","0.0093","-0.0015","-0.0191","0.0262","0.0207","0.0245","0.0266","0.0004","9.153","0.0004","0.0073","0.0749","0.0063","-0.0493","-0.0006","-0.0005","-0.0358","-0.0041","-0.0042"
73,"Can2A","Canyon Lake, lower","SRP","Canyon, eppi, lower","2/25/2020","(mg/L)","0.0013","-0.0026","-0.0099","-0.0068","-0.001","0.0096","0.0049","0.0031","0","-0.0002","0.0022","-0.0383","2.219","2.348","0.0004","0.0004","-0.0015","0.003","-0.0026","-0.0141","0.0006","0.0137","-0.0001","0.0004","0.646","1.351","0.0486","0.2496","0.8173","0.0014","0.0019","0.0003","-0.005","9.64","9.945","-0.0005","0.0001","-0.0245","0.0099","-0.001","-0.0194","0.0303","0.0209","0.0192","0.0217","0.0003","9.153","0.0004","0.0075","0.0663","0.0081","-0.05","0.0003","-0.0009","-0.0373","-0.0042","-0.0043"
74,"Can2B","Canyon Lake, lower","SRP","Canyon, hypo, lower","2/25/2020","(mg/L)","0.001","-0.0036","-0.0122","-0.0076","-0.002","0.0102","0.004","0.0018","0","-0.0002","0.0016","-0.0442","3.034","3.206","0.0004","0.0004","-0.0017","0.0032","-0.0029","-0.014","0.0003","0.0121","-0.0006","-0.0004","0.7877","1.415","0.0482","0.3643","1.096","0.0011","0.0014","-0.0007","-0.0051","13.36","13.59","-0.0007","-0.0003","-0.0243","0.0115","-0.0011","-0.0195","0.0326","0.01","0.027","0.0306","0.0002","9.153","0.0003","0.0076","0.0683","0.0052","-0.0498","-0.0014","-0.0015","-0.0381","-0.0041","-0.0044"
75,"APA1A","Apache Lake, upper","SRP","Apache, eppi, upper","2/25/2020","(mg/L)","0.0004","-0.0046","-0.0132","-0.0072","-0.0015","0.008","0.004","0.0019","0.0001","-0.0002","-0.0046","-0.0508","1.827","1.946","0.0004","0.0003","-0.0015","0.0041","-0.003","-0.0134","0.0005","0.01","-0.0008","0.0007","0.6362","1.517","0.0387","0.0472","0.6721","0.0012","0.0014","-0.0004","-0.0051","7.863","8.194","-0.0006","0.0001","-0.0232","0.0139","-0.0015","-0.0204","0.0345","0.0128","0.0171","0.0195","0.0002","9.153","0.0003","0.0068","0.082","0.0067","-0.0517","-0.0005","-0.001","-0.0383","-0.004","-0.0044"
76,"APA1B","Apache Lake, upper","SRP","Apache, hypo, upper","2/25/2020","(mg/L)","0.0015","-0.0058","-0.0147","-0.0073","-0.0029","0.007","0.003","0.0015","-0.0001","-0.0003","-0.0072","-0.0595","0.8698","0.9675","0.0004","0.0004","-0.0016","0.0048","-0.0032","-0.0128","0.0005","0.0076","-0.0003","0","0.4217","1.511","0.0363","-0.3251","0.3504","0.001","0.0012","-0.0014","-0.0072","3.798","4.284","-0.0008","-0.0002","-0.0237","0.0148","-0.0021","-0.0211","0.033","0.0046","0.01","0.0123","0.0002","9.153","0.0003","0.006","0.0768","0.0039","-0.0512","0.0004","-0.0005","-0.0386","-0.0039","-0.0043"
77,"APA2A","Apache Lake, lower","SRP","Apache, eppi, lower","2/25/2020","(mg/L)","0.0006","-0.0058","-0.0124","-0.007","-0.003","0.0075","0.003","0.0017","0","-0.0003","-0.0107","-0.0624","1.894","1.957","0.0004","0.0005","-0.0016","0.0056","-0.0036","-0.0134","0.0003","0.0059","0.0001","0.0005","0.497","1.754","0.0448","0.0323","0.6788","0.0012","0.0013","-0.0014","-0.0086","8.096","8.646","-0.0007","0.0001","-0.0228","0.0156","-0.0024","-0.0196","0.0313","0.0036","0.0187","0.021","0.0001","9.153","0.0003","0.0051","0.0707","0.0041","-0.0538","0.001","-0.0002","-0.0386","-0.0039","-0.0043"
78,"APA2B","Apache Lake, lower","SRP","Apache, hypo, lower","2/25/2020","(mg/L)","-0.0003","-0.0076","-0.0176","-0.009","-0.0028","0.0049","0.0018","-0.0006","0","-0.0003","-0.0122","-0.0847","0.8701","0.8613","0.0003","0.0005","-0.0017","0.0055","-0.0031","-0.0133","-0.0001","0.0042","-0.0012","0.0001","0.2132","1.803","0.0488","-0.37","0.3146","0.0002","0.0004","-0.0021","-0.0088","3.453","4.096","-0.0006","0.0002","-0.0264","0.0159","-0.0027","-0.0192","0.0315","0.0114","0.0095","0.0132","0","9.153","0.0003","0.0034","0.0414","0.002","-0.0525","0.0006","-0.001","-0.0404","-0.0038","-0.0043"
79,"Roos1A","Roosevelt Lake, upper","SRP","Roosevelt, eppi, upper","2/25/2020","(mg/L)","-0.0001","0.0037","0.0492","-0.0015","0.0002","-0.0029","0.0624","0.0412","-0.0002","0.0003","-0.0241","0.016","51.09","41.96","0.0002","0.0012","-0.002","0.0075","-0.0014","-0.0033","0.0018","-0.0074","0.0264","0.0412","3.942","6.642","0.1275","12.89","11.47","0.01","0.0094","0.0039","0.0014","152.4","119","0.0105","0.0011","-0.0298","0.031","0.0032","-0.0074","0.042","0.0288","0.3522","0.3351","0.0003","9.153","0.0006","-0.0034","0.2305","-0.0095","-0.0492","0.0017","0.0285","0.035","-0.007","-0.0017"
80,"Roos1B","Roosevelt Lake, upper","SRP","Roosevelt, hypo, upper","2/25/2020","(mg/L)","-0.0002","0.0042","0.1003","0.0285","-0.0013","-0.0012","0.0637","0.043","-0.0005","0.0002","-0.037","0.0119","57.37","46.92","0.0001","0.0012","-0.0019","0.0075","-0.0014","-0.0045","0.0025","-0.007","0.0835","0.1185","4.222","7.317","0.1192","13.31","11.77","0.0332","0.0304","0.0001","-0.0017","155.6","123.3","0.0079","0.0014","-0.0319","0.0291","-0.004","-0.0172","0.0407","0.0226","0.3728","0.3535","0.0002","9.153","0.0004","-0.0034","0.2387","-0.0107","-0.0471","0.0022","0.0298","0.0357","-0.0046","0.0007"
81,"Roos2A","Roosevelt Lake, lower","SRP","Roosevelt, eppi, lower","2/25/2020","(mg/L)","-0.0001","0.004","0.0414","-0.0129","0.0004","-0.003","0.0661","0.0433","-0.0004","0.0002","-0.0355","0.0107","51.66","42.43","0.0002","0.0012","-0.002","0.0078","-0.0016","-0.0046","0.0024","-0.0077","0.0082","0.0135","4.068","7.645","0.1223","13.18","11.62","0.0097","0.0094","-0.0001","-0.0032","149.8","119.8","0.0097","0.0013","-0.031","0.0325","-0.0068","-0.0173","0.0388","0.0228","0.3635","0.3435","-0.0001","9.153","0.0002","-0.0049","0.236","-0.008","-0.047","0.0031","0.0293","0.0353","-0.0079","-0.0025"
82,"Roos2B","Roosevelt Lake, lower","SRP","Roosevelt, hypo, lower","2/25/2020","(mg/L)","0.0006","0.0042","0.0389","-0.0144","-0.0015","-0.0037","0.0662","0.0435","-0.0004","0.0001","-0.0285","0.01","53","42.96","0.0002","0.0013","-0.002","0.0081","-0.0017","-0.0048","0.0029","-0.0066","0.0089","0.0136","3.902","7.859","0.1165","13.26","11.54","0.0087","0.0083","-0.0004","-0.0012","147.8","118.4","0.0076","0.0015","-0.0343","0.0284","-0.0058","-0.0171","0.0378","0.022","0.3651","0.3466","-0.0001","9.153","0.0001","-0.0059","0.2304","-0.0076","-0.0478","0.0036","0.0291","0.0321","-0.0076","-0.0022"
83,"R3","Waddell Canal","cap","waddell canal","2/25/2020","(mg/L)","0.001","0.0063","0.0916","0.0108","-0.0016","-0.007","0.113","0.0754","-0.0003","0","-0.0312","0.0171","85.36","68.77","0.0001","0.0012","-0.0018","0.0081","-0.0011","-0.0047","0.0092","-0.0023","0.0367","0.0512","3.296","7.554","0.0439","25.19","22.14","0.011","0.0102","0.0022","-0.0035","71.01","56.54","0.0053","0.0016","-0.0319","0.0279","-0.0044","-0.0177","0.0438","0.023","0.9179","0.8622","0","9.153","0.0002","-0.006","0.4817","-0.009","-0.0464","0.0045","0.0516","0.0324","-0.005","0.0061"
84,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2/25/2020","(mg/L)","0.0016","0.005","0.0462","-0.0167","0.0004","-0.0063","0.0669","0.045","-0.0003","0.0001","-0.0327","0.0156","63.19","50.81","0.0002","0.0012","-0.0019","0.0076","-0.0015","-0.0047","0.0058","-0.0067","0.0416","0.054","5.308","9.49","0.153","17.56","15.28","0.1738","0.1559","0","-0.0025","192.8","156.9","0.0064","0.0009","-0.0324","0.0304","-0.0064","-0.0184","0.0404","0.0199","0.4656","0.4397","-0.0001","9.153","0.0001","-0.0065","0.2864","-0.0081","-0.0481","0.0036","0.0359","0.0326","-0.0095","-0.0025"
85,"R25","verde river at beeline highway","verde","verde @ beeline","2/25/2020","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2/25/2020","(mg/L)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
