ID,Site Number,Month,Exc A, nm,Em A, nm,FI A, AU,Exc B, nm,Em B, nm,FI B, AU
1,"R5","10/01/01 00:00:00",2.1500000000000000e+02,4.2250000000000000e+02,3.0300000000000000e+02,3.2500000000000000e+02,4.1600000000000000e+02,1.3731999999999999e+02
2,"R6a","10/01/01 00:00:00",2.1500000000000000e+02,4.1050000000000000e+02,2.9686000000000001e+02,3.2500000000000000e+02,4.1300000000000000e+02,1.1609999999999999e+02
3,"R8","10/01/01 00:00:00",,,,,,
4,"R9a","10/01/01 00:00:00",,,,,,
5,"R14","10/01/01 00:00:00",2.1500000000000000e+02,4.0850000000000000e+02,2.9762000000000000e+02,3.2500000000000000e+02,4.1850000000000000e+02,1.3247999999999999e+02
6,"R15","10/01/01 00:00:00",2.1500000000000000e+02,4.0800000000000000e+02,1.7475000000000000e+02,3.2500000000000000e+02,4.1750000000000000e+02,7.7439999999999998e+01
7,"R16","10/01/01 00:00:00",,,,,,
8,"R17","10/01/01 00:00:00",,,,,,
9,"R18","10/01/01 00:00:00",,,,,,
10,"R19","10/01/01 00:00:00",,,,,,
11,"R5","11/01/01 00:00:00",2.1500000000000000e+02,4.1300000000000000e+02,1.4384999999999999e+02,3.2500000000000000e+02,4.1700000000000000e+02,6.0450000000000003e+01
12,"R6a","11/01/01 00:00:00",2.1500000000000000e+02,4.1000000000000000e+02,2.8860000000000002e+02,3.2500000000000000e+02,4.1050000000000000e+02,1.1444000000000000e+02
13,"R8","11/01/01 00:00:00",,,,,,
14,"R9a","11/01/01 00:00:00",,,,,,
15,"R14","11/01/01 00:00:00",2.3000000000000000e+02,4.1200000000000000e+02,2.1646000000000001e+02,3.2500000000000000e+02,4.1250000000000000e+02,9.6760000000000005e+01
16,"R15","11/01/01 00:00:00",2.1500000000000000e+02,4.1150000000000000e+02,1.2200000000000000e+02,3.2500000000000000e+02,4.1300000000000000e+02,4.7500000000000000e+01
17,"R16","11/01/01 00:00:00",2.3000000000000000e+02,4.1050000000000000e+02,2.0931000000000000e+02,3.2500000000000000e+02,4.1350000000000000e+02,9.6069999999999993e+01
18,"R17","11/01/01 00:00:00",,,,,,
19,"R18","11/01/01 00:00:00",2.1500000000000000e+02,4.1450000000000000e+02,2.5568000000000001e+02,3.2500000000000000e+02,4.1450000000000000e+02,1.0287000000000000e+02
20,"R19","11/01/01 00:00:00",2.1500000000000000e+02,4.1050000000000000e+02,1.6171000000000001e+02,3.2500000000000000e+02,4.1550000000000000e+02,6.2770000000000003e+01
11,"R5","12/01/01 00:00:00",2.1500000000000000e+02,4.1300000000000000e+02,1.4041999999999999e+02,3.2500000000000000e+02,4.1650000000000000e+02,5.7310000000000002e+01
12,"R6a","12/01/01 00:00:00",2.1500000000000000e+02,4.1300000000000000e+02,2.6275000000000000e+02,3.2500000000000000e+02,4.1250000000000000e+02,1.0695000000000000e+02
13,"R8","12/01/01 00:00:00",,,,,,
14,"R9a","12/01/01 00:00:00",,,,,,
15,"R14","12/01/01 00:00:00",2.1500000000000000e+02,4.0800000000000000e+02,1.9513000000000000e+02,3.2500000000000000e+02,4.0950000000000000e+02,8.2780000000000001e+01
16,"R15","12/01/01 00:00:00",2.1500000000000000e+02,4.1500000000000000e+02,1.3130000000000001e+02,3.2500000000000000e+02,4.1500000000000000e+02,4.6899999999999999e+01
17,"R16","12/01/01 00:00:00",,,,,,
18,"R17","12/01/01 00:00:00",,,,,,
19,"R18","12/01/01 00:00:00",2.1500000000000000e+02,4.1300000000000000e+02,2.0622999999999999e+02,3.2500000000000000e+02,4.1350000000000000e+02,8.1370000000000005e+01
20,"R19","12/01/01 00:00:00",2.3500000000000000e+02,4.1150000000000000e+02,8.6329999999999998e+01,3.2500000000000000e+02,4.1300000000000000e+02,3.6560000000000002e+01
11,"R5","01/01/02 00:00:00",2.1500000000000000e+02,4.1450000000000000e+02,1.2264000000000000e+02,3.2500000000000000e+02,4.1450000000000000e+02,4.8670000000000002e+01
12,"R6a","01/01/02 00:00:00",2.1500000000000000e+02,4.1100000000000000e+02,2.6194999999999999e+02,3.2500000000000000e+02,4.1050000000000000e+02,1.0570000000000000e+02
13,"R8","01/01/02 00:00:00",2.1500000000000000e+02,4.1650000000000000e+02,3.0000000000000000e+02,3.2500000000000000e+02,4.1700000000000000e+02,1.3800000000000000e+02
14,"R9a","01/01/02 00:00:00",2.1500000000000000e+02,4.1050000000000000e+02,3.2583999999999997e+02,3.2500000000000000e+02,4.1100000000000000e+02,1.4125999999999999e+02
15,"R14","01/01/02 00:00:00",2.1500000000000000e+02,4.0900000000000000e+02,3.7269999999999999e+02,3.2500000000000000e+02,4.1550000000000000e+02,1.6911000000000001e+02
16,"R15","01/01/02 00:00:00",,,,,,
17,"R16","01/01/02 00:00:00",,,,,,
18,"R17","01/01/02 00:00:00",,,,,,
19,"R18","01/01/02 00:00:00",2.1500000000000000e+02,4.1100000000000000e+02,2.6593000000000001e+02,3.2500000000000000e+02,4.1600000000000000e+02,1.1281000000000000e+02
20,"R19","01/01/02 00:00:00",2.1500000000000000e+02,4.1150000000000000e+02,2.5552000000000001e+02,3.2500000000000000e+02,4.1500000000000000e+02,1.0840000000000001e+02
11,"R5","02/01/02 00:00:00",2.1500000000000000e+02,4.1650000000000000e+02,1.0643000000000001e+02,3.2500000000000000e+02,4.1750000000000000e+02,4.3960000000000001e+01
12,"R6a","02/01/02 00:00:00",2.1500000000000000e+02,4.1300000000000000e+02,2.1274000000000001e+02,3.2500000000000000e+02,4.1300000000000000e+02,8.6950000000000003e+01
