ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,"Secchi Disk, m",samples collected,sample type,comments
699,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,10/18/2000,10/1/2000,15,24.3,4.45,7.25,,"NUT, DOCM, MIB/GEO, PHYT",,
700,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,10/18/2000,10/1/2000,20,24.4,3.96,7.08,,,,
701,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,10/18/2000,10/1/2000,25,24.6,3.51,6.91,,,,
702,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,10/18/2000,10/1/2000,30,24.8,3.49,6.8,,"NUT, DOCM, MIB/GEO, PHYT",,
703,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,10/18/2000,10/1/2000,35,,2.28,,,"NUT, DOCM, MIB/GEO, PHYT",,
704,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,10/18/2000,10/1/2000,40,,,,,"NUT, MIB/GEO",,
705,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,10/18/2000,10/1/2000,45,,,,,,,
706,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/18/2000,10/1/2000,0,21.9,6.92,8.11,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
707,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/18/2000,10/1/2000,0,21.8,8.8,8.62,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
708,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/18/2000,10/1/2000,0,20.7,7.3,8.41,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
709,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/18/2000,10/1/2000,0,21.3,8.33,8.48,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
710,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/19/2000,10/1/2000,0,22,7.22,8.51,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
711,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/19/2000,10/1/2000,0,,,,,,,
712,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/19/2000,10/1/2000,0,21.9,7.67,8.29,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
713,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/19/2000,10/1/2000,0,,,,,"DOCM, MIB/GEO",,
714,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/19/2000,10/1/2000,0,22,8.01,8.4,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
715,R19,Val Vista WTP treated water,srp,val vista-treated,10/19/2000,10/1/2000,0,,,,,"DOCM, MIB/GEO",,
716,R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,10/30/2000,10/1/2000,0,,,,,"NUT, DOCM, MIB/GEO, PHYT",,
717,R21,AZ Canal - Central Ave (N. of Northern),srp,az canal @ central ave.,10/19/2000,10/1/2000,0,22.3,7.62,8.58,,MIB/GEO,,
718,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/19/2000,10/1/2000,0,21.8,8.75,8.3,,MIB/GEO,,
719,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/14/2000,11/1/2000,0,15,,8.6,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
720,R2A,Lake Pleasant integrated sample,cap,pleasant-0m,11/14/2000,11/1/2000,0,16.4,7.98,8.14,1.25,,,
721,R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,11/14/2000,11/1/2000,5,16,7.19,8.05,,,,
722,R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,11/14/2000,11/1/2000,10,15.9,7.01,7.98,,"NUT, DOCM, MIB/GEO, PHYT",,
723,R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,11/14/2000,11/1/2000,15,15.6,7.43,7.93,,,,
724,R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,11/14/2000,11/1/2000,20,15.6,7.46,7.94,,"NUT, DOCM, MIB/GEO, PHYT",,
725,R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,11/14/2000,11/1/2000,25,15.6,7.41,7.73,,,,
726,R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,11/14/2000,11/1/2000,30,15.5,7.32,7.63,,"NUT, DOCM, MIB/GEO, PHYT",,
727,R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,11/14/2000,11/1/2000,35,15.5,7.06,,,,,
728,R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,11/14/2000,11/1/2000,40,15.5,7.07,,,"NUT, DOCM, MIB/GEO, PHYT",,
729,R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,11/14/2000,11/1/2000,45,,,,,,,
730,R3,Waddell Canal,cap,waddell canal,11/14/2000,11/1/2000,0,15.3,,8.6,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
731,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/16/2000,11/1/2000,0,15,10.12,8.59,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
732,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/14/2000,11/1/2000,0,11.3,,8.29,,"NUT, DOCM, MIB/GEO, PHYT, PERI",,
733,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,11/14/2000,11/1/2000,0,17.1,7.73,8.61,0.675,,,
734,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,11/14/2000,11/1/2000,5,17.1,6.53,8.26,,,,
735,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,11/14/2000,11/1/2000,10,17.1,5.89,8.03,,"NUT, DOCM, MIB/GEO, PHYT",,
817,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/16/2001,1/1/2001,0,11,,,,,,
818,R2A,Lake Pleasant integrated sample,cap,pleasant-0m,1/16/2001,1/1/2001,0,11.2,9.73,,,,,
819,R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,1/16/2001,1/1/2001,5,11.2,9.35,,,,,
820,R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,1/16/2001,1/1/2001,10,11.2,9.33,,,,,
821,R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,1/16/2001,1/1/2001,15,11.2,9.29,,,,,
822,R2-20,Lake Pleasant integrated sample,cap,pleasant-20m,1/16/2001,1/1/2001,20,11.2,9.06,,,,,
823,R2-25,Lake Pleasant integrated sample,cap,pleasant-25m,1/16/2001,1/1/2001,25,11.2,8.96,,,,,
824,R2-30,Lake Pleasant integrated sample,cap,pleasant-30m,1/16/2001,1/1/2001,30,11.2,8.9,,,,,
825,R2-35,Lake Pleasant integrated sample,cap,pleasant-35m,1/16/2001,1/1/2001,35,11.2,8.49,,,,,
826,R2-40,Lake Pleasant integrated sample,cap,pleasant-40m,1/16/2001,1/1/2001,40,11.2,7.73,,,,,
827,R2-45,Lake Pleasant integrated sample,cap,pleasant-45m,1/16/2001,1/1/2001,45,11.2,8.64,,,,,
828,R3,Waddell Canal,cap,waddell canal,1/16/2001,1/1/2001,0,11,,8.5,,,,
829,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/16/2001,1/1/2001,0,10.1,9.98,8.5,,,,
830,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/16/2001,1/1/2001,0,9.9,,8.9,,,,
831,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,1/16/2001,1/1/2001,0,10.3,9.3,,,,,
832,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,1/16/2001,1/1/2001,5,10.2,8.5,,,,,
833,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,1/16/2001,1/1/2001,10,10.2,8.56,,,,,
834,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,1/16/2001,1/1/2001,15,,8.25,,,,,
835,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,1/16/2001,1/1/2001,20,10.2,8.28,,,,,
7992,R19,Val Vista WTP treated water,srp,val vista-treated,3/12/2007,3/12/2007,,,,,,,,
7993,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/12/2007,3/12/2007,,16.8,,8,,,,
7994,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/12/2007,3/12/2007,,17.2,,8.7,,,,
7995,R25,verde river at beeline highway,verde,verde @ beeline,3/12/2007,3/12/2007,,23.3,,8.9,,,,
7996,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/12/2007,3/12/2007,,17.6,,8.6,,,,
7997,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,3/12/2007,3/12/2007,,15.5,,8.2,,,,
7998,UH In,Union Hills Inlet,cap,Union Hills Inlet,3/12/2007,3/12/2007,,15.8,,8.4,,,,
7999,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,3/12/2007,3/12/2007,,,,,,,,
8000,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,3/12/2007,3/12/2007,,,,,,,,
8001,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,3/12/2007,3/12/2007,,,,,,,,
8002,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,3/12/2007,3/12/2007,,16.5,,8.4,,,,
8003,HTC,Head of the Tempe Canal,tempe,head of tempe canal,3/12/2007,3/12/2007,,21,,8,,,,
8004,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/12/2007,3/12/2007,,,,,,,,
8005,SPT Out,Tempe's South Plant treated water,tempe,STP Out,3/12/2007,3/12/2007,,,,,,,,
8006,Green In,Greenway WTP Inlet,srp,Green In,3/12/2007,3/12/2007,,20.5,,8.5,,,,
8007,Green Out,Greenway WTP Outlet,srp,Green Out,3/12/2007,3/12/2007,,,,,,,,
8008,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,58.7,52.1,9.46,8.17,,,,
8009,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,56.6,52,9.54,8.18,,,,
8010,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,53.9,52,9.62,8.19,,,,
8011,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,51,52,9.73,8.2,,,,
8012,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,48.2,52.1,9.84,8.2,,,,
8013,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,45.1,52.2,9.99,8.22,,,,
8014,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,42.2,52.2,10.07,8.23,,,,
8015,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,39.1,52.2,10.04,8.23,,,,
8016,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,36.1,52.3,10.18,8.26,,,,
8017,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,33.1,52.5,10.37,8.27,,,,
8018,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,30.1,52.6,10.55,8.34,,,,
8019,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,27.1,52.6,10.65,8.56,,,,
8020,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,24.1,52.7,10.71,8.34,,,,
8021,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,21.4,52.8,10.82,8.34,,,,
8022,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,18.7,52.9,10.83,8.33,,,,
8023,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,15.8,53.1,10.91,8.34,,,,
8024,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,13.1,53.2,10.97,8.35,,,,
8025,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,10.2,53.4,11.08,8.36,,,,
8026,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,7.4,53.5,11.13,8.37,,,,
8027,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,4.6,53.7,11.15,8.37,,,,
8028,R2,Lake Pleasant integrated sample,cap,pleasant,3/12/2007,3/12/2007,2,54.1,11.2,8.38,,,,
8029,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,3/12/2007,3/12/2007,,14.4,11.6,,2.13,,,
8030,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,3/12/2007,3/12/2007,,13.9,12,,,,,
8031,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,3/12/2007,3/12/2007,,11.9,10.2,,,,,
8032,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,3/12/2007,3/12/2007,,11.3,9.5,,,,,
8033,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,3/12/2007,3/12/2007,,10.9,8.5,,,,,
8034,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,3/12/2007,3/12/2007,,10.4,7.1,,,,,
8035,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,3/12/2007,3/12/2007,,10.1,6.4,,,,,
8036,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,3/12/2007,3/12/2007,,9.9,5,,,,,
8037,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,3/12/2007,3/12/2007,,,,,,,,
8038,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,3/12/2007,3/12/2007,,,,,,,,
8039,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,3/12/2007,3/12/2007,,,,,,,,
8040,R9A,Saguaro Lake near inlet,salt,saguaro-0m,3/12/2007,3/12/2007,,14.5,12.9,,,,,
8041,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,3/12/2007,3/12/2007,,13.9,12.2,,,,,
8042,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,3/12/2007,3/12/2007,,12.7,9.1,,,,,
8043,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,3/12/2007,3/12/2007,,12.5,8.9,,,,,
8044,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,3/12/2007,3/12/2007,,12.4,8.3,,,,,
8045,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,3/12/2007,3/12/2007,,12.3,7.7,,,,,
8046,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,3/12/2007,3/12/2007,,12.1,4.1,,,,,
8047,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,3/12/2007,3/12/2007,,,,,,,,
8048,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,3/12/2007,3/12/2007,,,,,,,,
8049,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,3/12/2007,3/12/2007,,,,,,,,
8050,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,3/12/2007,3/12/2007,,,,,,,,
8051,R20,Verde River at Tangle,verde,verde abv horseshoe,3/12/2007,3/12/2007,,,,,,,,
8052,Havasu 1,Havasu lake Sample,,Havasu 1,3/12/2007,3/12/2007,,,,,,,,
8053,Havasu 2,Havasu lake Sample,,Havasu 2,3/12/2007,3/12/2007,,,,,,,,
8054,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,3/12/2007,3/12/2007,,,,,,,,
8055,R1,CAP canal above Waddell Canal,cap,cap-siphon,3/12/2007,3/12/2007,,,,,,,,
8056,R4,Cap Canal at 7th St.,cap,cap @ 7th st,3/12/2007,3/12/2007,,,,,,,,
8057,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,3/12/2007,3/12/2007,,,,,,,,
8058,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,3/12/2007,3/12/2007,,,,,,,,
8059,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/12/2007,3/12/2007,,,,,,,,
8060,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/12/2007,3/12/2007,,,,,,,,
8061,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,3/12/2007,3/12/2007,,,,,,,,
8062,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,3/12/2007,3/12/2007,,,,,,,,
8063,R3,Waddell Canal,cap,waddell canal,4/10/2007,4/10/2007,,,,,,,,
8064,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/10/2007,4/10/2007,,17.6,,8.8,,,,
8065,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/10/2007,4/10/2007,,20.4,,8.3,,,,
8066,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/10/2007,4/10/2007,,18.5,,8.4,,,,
8067,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/10/2007,4/10/2007,,19.5,,8.4,,,,
8068,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/10/2007,4/10/2007,,,,,,,,
8069,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/10/2007,4/10/2007,,,,,,,,
8070,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/10/2007,4/10/2007,,20.1,,7.9,,,,
8071,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/10/2007,4/10/2007,,,,,,,,
8072,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/10/2007,4/10/2007,,19.6,,8.5,,,,
8073,R19,Val Vista WTP treated water,srp,val vista-treated,4/10/2007,4/10/2007,,,,,,,,
8074,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/10/2007,4/10/2007,,19.5,,8,,,,
8075,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/10/2007,4/10/2007,,20.5,,8.7,,,,
8076,R25,verde river at beeline highway,verde,verde @ beeline,4/10/2007,4/10/2007,,25.3,,8.7,,,,
8077,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/10/2007,4/10/2007,,20.3,,8.7,,,,
8078,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/10/2007,4/10/2007,,18,,8.1,,,,
8079,UH In,Union Hills Inlet,cap,Union Hills Inlet,4/10/2007,4/10/2007,,20.2,,8.5,,,,
8080,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/10/2007,4/10/2007,,,,,,,,
8081,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,4/10/2007,4/10/2007,,,,,,,,
8082,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,4/10/2007,4/10/2007,,,,,,,,
8083,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,4/10/2007,4/10/2007,,18.2,,8.4,,,,
8084,HTC,Head of the Tempe Canal,tempe,head of tempe canal,4/10/2007,4/10/2007,,22.1,,8.1,,,,
8085,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/10/2007,4/10/2007,,,,,,,,
8086,SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/10/2007,4/10/2007,,,,,,,,
8087,Green In,Greenway WTP Inlet,srp,Green In,4/10/2007,4/10/2007,,23.2,,8.2,,,,
8088,Green Out,Greenway WTP Outlet,srp,Green Out,4/10/2007,4/10/2007,,,,,,,,
8089,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,59,17.6,8.86,8.13,,,,
8090,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,56.6,17.6,8.98,8.15,,,,
8091,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,53.8,17.6,9.08,8.16,,,,
8092,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,50.9,17.6,9.16,8.16,,,,
8093,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,47.3,17.6,9.26,8.14,,,,
8094,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,44.8,17.7,9.34,8.17,,,,
8095,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,41.9,17.7,9.46,8.18,,,,
8096,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,38.9,17.7,9.46,8.18,,,,
8097,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,35.9,17.7,9.47,8.18,,,,
8098,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,33,17.8,9.51,8.19,,,,
8099,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,30.1,17.8,9.61,8.2,,,,
8100,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,27,17.9,9.66,8.2,,,,
8101,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,23.8,18,9.82,8.22,,,,
8102,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,21.1,18.2,10.02,8.24,,,,
8103,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,18.1,18.4,9.95,8.24,,,,
8104,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,15.4,19.7,9.82,8.31,,,,
8105,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,15.3,19.7,10.16,8.33,,,,
8106,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,12.3,20.2,10.4,8.38,,,,
8107,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,9.3,20.2,10.48,8.39,,,,
8108,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,6.4,20.2,10.53,8.39,,,,
8109,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,3.5,20.3,10.55,8.4,,,,
8110,R2,Lake Pleasant integrated sample,cap,pleasant,4/10/2007,4/10/2007,1.4,20.3,10.56,8.4,,,,
8111,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,4/10/2007,4/10/2007,,19.1,10.5,,3.35,,,
8112,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,4/10/2007,4/10/2007,,18.1,10.1,,,,,
8113,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,4/10/2007,4/10/2007,,14.8,7,,,,,
8114,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,4/10/2007,4/10/2007,,12,6.2,,,,,
8115,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,4/10/2007,4/10/2007,,11.5,6.5,,,,,
8116,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,4/10/2007,4/10/2007,,11.1,5.5,,,,,
8117,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,4/10/2007,4/10/2007,,10.8,4.6,,,,,
8118,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,4/10/2007,4/10/2007,,10.6,2.8,,,,,
8119,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,4/10/2007,4/10/2007,,,,,,,,
8120,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,4/10/2007,4/10/2007,,,,,,,,
8121,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,4/10/2007,4/10/2007,,,,,,,,
8122,R9A,Saguaro Lake near inlet,salt,saguaro-0m,4/10/2007,4/10/2007,,18.7,12,,1.37,,,
8123,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,4/10/2007,4/10/2007,,18.3,11.9,,,,,
8124,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,4/10/2007,4/10/2007,,15.9,6.1,,,,,
8125,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,4/10/2007,4/10/2007,,15.1,4.3,,,,,
8126,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,4/10/2007,4/10/2007,,14.3,3.8,,,,,
8127,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,4/10/2007,4/10/2007,,13.7,3.8,,,,,
8128,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,4/10/2007,4/10/2007,,13.3,3.8,,,,,
8129,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,4/10/2007,4/10/2007,,,,,,,,
8130,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,4/10/2007,4/10/2007,,,,,,,,
8131,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,4/10/2007,4/10/2007,,,,,,,,
836,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,1/16/2001,1/1/2001,25,10.2,8.15,,,,,
837,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,1/16/2001,1/1/2001,30,10.2,8.17,,,,,
838,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,1/16/2001,1/1/2001,35,10.2,6.95,,,,,
839,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,1/16/2001,1/1/2001,40,,,,,,,
840,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,1/16/2001,1/1/2001,45,,,,,,,
841,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/16/2001,1/1/2001,0,10.2,,8.5,,,,
842,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/17/2001,1/1/2001,0,12.4,8.07,,,,,
843,R9A,Saguaro Lake near inlet,salt,saguaro-0m,1/17/2001,1/1/2001,0,13.4,7.96,,,,,
844,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,1/17/2001,1/1/2001,5,12.8,7.23,,,,,
845,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,1/17/2001,1/1/2001,10,12.7,6.9,,,,,
846,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,1/17/2001,1/1/2001,15,12.7,6.74,,,,,
847,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,1/17/2001,1/1/2001,20,12.6,7.02,,,,,
848,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,1/17/2001,1/1/2001,25,12.6,6.77,,,,,
849,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,1/17/2001,1/1/2001,30,12.6,6.72,,,,,
850,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,1/17/2001,1/1/2001,35,,,,,,,
851,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,1/17/2001,1/1/2001,40,,,,,,,
852,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,1/17/2001,1/1/2001,45,,,,,,,
853,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/17/2001,1/1/2001,0,12.8,9.64,,,,,
854,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/17/2001,1/1/2001,0,13.1,7.93,,,,,
855,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/17/2001,1/1/2001,0,16.3,9.38,,,,,
856,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/17/2001,1/1/2001,0,10,8.57,8.6,,,,
857,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1/18/2001,1/1/2001,0,,,,,,,
858,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1/18/2001,1/1/2001,0,,,,,,,
859,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/18/2001,1/1/2001,0,,,,,,,
860,R17,Deer Valley WTP treated water,srp,deer valley-treated,1/18/2001,1/1/2001,0,,,,,,,
861,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/18/2001,1/1/2001,0,,,,,,,
862,R19,Val Vista WTP treated water,srp,val vista-treated,1/18/2001,1/1/2001,0,,,,,,,
863,R20,Verde River at Tangle (USGS),verde,verde abv horseshoe,1/18/2001,1/1/2001,0,,,,,,,
