ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,"Secchi Disk, m",samples collected,sample type,comments
6687,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/15/2005,11/15/2005,,18.7,,8.4,,,,
6688,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/15/2005,11/15/2005,,,,,,,,
6689,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,11/15/2005,11/15/2005,,17.7,,8.3,,,,
6690,HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/15/2005,11/15/2005,,18.8,,8.7,,,,
6691,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/15/2005,11/15/2005,,,,,,,,
6692,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/15/2005,11/15/2005,,,,,,,,
6693,Green In,Greenway WTP Inlet,srp,Green In,11/15/2005,11/15/2005,,18.1,,8.5,,,,
6694,Green Out,Greenway WTP Outlet,srp,Green Out,11/15/2005,11/15/2005,,,,,,,,
6695,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,0.2,20.1,8.9,,,,,
6696,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,2.5,20.1,8.9,,,,,
6697,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,4.8,20,8.9,,,,,
6698,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,6.8,20,8.9,,,,,
6699,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,8.4,20,8.8,,,,,
6700,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,10.9,20,8.7,,,,,
6701,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,12.6,20,8.7,,,,,
6702,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11/15/2005,14.4,19.9,8.6,,,,,
