ID,site number,site location,cluster name,site acronym,date,month,sample type,MIB (ng/L) ASU,Geosmin  (ng/L) ASU,Beta-cyclocitral (ng/L),IPMP Recovery (%),MIB (ng/L) Phoenix,Geosmin  (ng/L) Phoenix,comments
5111,"R19","Val Vista WTP treated water","srp","val vista-treated","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,4.1,0,,,,
5112,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,4.6,3.9,,,,
5113,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","01/17/06 00:00:00","01/17/06 00:00:00",,2.4,3.7,3,,,,
5114,"R25","verde river at beeline highway","verde","verde @ beeline","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,3.5,0,,,,
5115,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","01/17/06 00:00:00","01/17/06 00:00:00",,2.6,3.4,0,,,,
5116,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","01/17/06 00:00:00","01/17/06 00:00:00",,2.1,3.9,0,,,,
5117,"UH In","Union Hills Inlet","cap","Union Hills Inlet","01/17/06 00:00:00","01/17/06 00:00:00",,0,2.5,2.3,,,,
5118,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","01/17/06 00:00:00","01/17/06 00:00:00",,0,2.2,0,,,,
5119,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","01/17/06 00:00:00","01/17/06 00:00:00",,2.6,5.2,0,,,,
5120,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","01/17/06 00:00:00","01/17/06 00:00:00",,3,4.4,4.2,,,,
5121,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","01/17/06 00:00:00","01/17/06 00:00:00",,2.6,2.3,0,,,,
5122,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","01/17/06 00:00:00","01/17/06 00:00:00",,2.5,3.5,0,,,,
5123,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5124,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5125,"Green In","Greenway WTP Inlet","srp","Green In","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5126,"Green Out","Greenway WTP Outlet","srp","Green Out","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5127,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/17/06 00:00:00","01/17/06 00:00:00",,2.2,2.2,0,,,,
5128,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/17/06 00:00:00","01/17/06 00:00:00",,2.7,0,0,,,,
5129,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/17/06 00:00:00","01/17/06 00:00:00",,0,3.9,0,,,,
5130,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/17/06 00:00:00","01/17/06 00:00:00",,2,4.2,0,,,,
5131,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/17/06 00:00:00","01/17/06 00:00:00",,4.3,3.7,0,,,,
5132,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","01/17/06 00:00:00","01/17/06 00:00:00",,4.5,3.2,0,,,,
5133,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/17/06 00:00:00","01/17/06 00:00:00",,4.5,0,0,,,,
5134,"R20","Verde River at Tangle","verde","verde abv horseshoe","01/17/06 00:00:00","01/17/06 00:00:00",,4.2,3.5,0,,,,
5135,"Havasu 1","Havasu lake Sample",,"Havasu 1","01/17/06 00:00:00","01/17/06 00:00:00",,0,2.7,0,,,,
5136,"Havasu 2","Havasu lake Sample",,"Havasu 2","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5137,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5138,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5139,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5140,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5141,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5142,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5143,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5144,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5145,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","01/17/06 00:00:00","01/17/06 00:00:00",,,,,,,,
5146,"R3","Waddell Canal","cap","waddell canal","02/13/06 00:00:00","02/13/06 00:00:00",,0,2.5,0,,,,
5147,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","02/13/06 00:00:00","02/13/06 00:00:00",,2.7,3.5,0,,,,
5148,"R11","CAP Canal at Cross-connect","cap","cap @ x con","02/13/06 00:00:00","02/13/06 00:00:00",,,,,,,,
5149,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","02/13/06 00:00:00","02/13/06 00:00:00",,3,3.1,0,,,,
5150,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","02/13/06 00:00:00","02/13/06 00:00:00",,2.8,2.8,0,,,,
5151,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","02/13/06 00:00:00","02/13/06 00:00:00",,3,2.9,0,,,,
5152,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","02/13/06 00:00:00","02/13/06 00:00:00",,2.4,3.2,0,,,,
5153,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","02/13/06 00:00:00","02/13/06 00:00:00",,2.5,2.9,0,,,,
5154,"R17","Deer Valley WTP treated water","srp","deer valley-treated","02/13/06 00:00:00","02/13/06 00:00:00",,3,3.7,0,,,,
5155,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5156,"R19","Val Vista WTP treated water","srp","val vista-treated","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5157,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.3,0,,,,
5158,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","02/13/06 00:00:00","02/13/06 00:00:00",,2.1,3.7,0,,,,
5159,"R25","verde river at beeline highway","verde","verde @ beeline","02/13/06 00:00:00","02/13/06 00:00:00",,2.6,3,0,,,,
5160,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5161,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","02/13/06 00:00:00","02/13/06 00:00:00",,0,3.4,0,,,,
5162,"UH In","Union Hills Inlet","cap","Union Hills Inlet","02/13/06 00:00:00","02/13/06 00:00:00",,0,2.3,0,,,,
5163,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","02/13/06 00:00:00","02/13/06 00:00:00",,0,2.9,0,,,,
5296,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.7,0,,,,
5297,"UH In","Union Hills Inlet","cap","Union Hills Inlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5298,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5299,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.3,0,,,,
5300,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5301,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5302,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5303,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.9,0,,,,
5304,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5305,"Green In","Greenway WTP Inlet","srp","Green In","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5306,"Green Out","Greenway WTP Outlet","srp","Green Out","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5307,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5308,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5309,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","05/14/06 00:00:00","05/14/06 00:00:00",,9.4,0,0,,,,
5310,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5311,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","05/14/06 00:00:00","05/14/06 00:00:00",,0,23.7,0,,,,
5312,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","05/14/06 00:00:00","05/14/06 00:00:00",,0,23.7,0,,,,
5313,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","05/14/06 00:00:00","05/14/06 00:00:00",,0,4.3,0,,,,
5314,"R20","Verde River at Tangle","verde","verde abv horseshoe","05/14/06 00:00:00","05/14/06 00:00:00",,0,2.2,0,,,,
5315,"Havasu 1","Havasu lake Sample",,"Havasu 1","05/14/06 00:00:00","05/14/06 00:00:00",,0,0,0,,,,
5316,"Havasu 2","Havasu lake Sample",,"Havasu 2","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5317,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5318,"R1","CAP canal above Waddell Canal","cap","cap-siphon","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5319,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5320,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5321,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5322,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5323,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5324,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5325,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","05/14/06 00:00:00","05/14/06 00:00:00",,,,,,,,
5326,"R3","Waddell Canal","cap","waddell canal","06/12/06 00:00:00","06/12/06 00:00:00",,0,5.8,4,,,,
5327,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","06/12/06 00:00:00","06/12/06 00:00:00",,0,4.2,5.1,,,,
5328,"R11","CAP Canal at Cross-connect","cap","cap @ x con","06/12/06 00:00:00","06/12/06 00:00:00",,0,8.9,5.6,,,,
5329,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","06/12/06 00:00:00","06/12/06 00:00:00",,0,7.1,5.4,,,,
5330,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","06/12/06 00:00:00","06/12/06 00:00:00",,0,3.3,4.3,,,,
5331,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","06/12/06 00:00:00","06/12/06 00:00:00",,0,2.2,0,,,,
5332,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5333,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","06/12/06 00:00:00","06/12/06 00:00:00",,0,2.4,0,,,,
5334,"R17","Deer Valley WTP treated water","srp","deer valley-treated","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5335,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","06/12/06 00:00:00","06/12/06 00:00:00",,0,3.4,4.3,,,,
5336,"R19","Val Vista WTP treated water","srp","val vista-treated","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5337,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5338,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","06/12/06 00:00:00","06/12/06 00:00:00",,0,4,3.6,,,,
5339,"R25","verde river at beeline highway","verde","verde @ beeline","06/12/06 00:00:00","06/12/06 00:00:00",,13.8,4.7,11.3,,,,
5340,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","06/12/06 00:00:00","06/12/06 00:00:00",,0,3.9,8.199999999999999,,,,
5341,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","06/12/06 00:00:00","06/12/06 00:00:00",,0,3.2,0,,,,
5342,"UH In","Union Hills Inlet","cap","Union Hills Inlet","06/12/06 00:00:00","06/12/06 00:00:00",,0,7.1,2.8,,,,
5343,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","06/12/06 00:00:00","06/12/06 00:00:00",,0,8.199999999999999,0,,,,
5344,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","06/12/06 00:00:00","06/12/06 00:00:00",,0,3.1,4.4,,,,
5345,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5346,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","06/12/06 00:00:00","06/12/06 00:00:00",,0,3.3,4.3,,,,
5347,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","06/12/06 00:00:00","06/12/06 00:00:00",,2.2,4.1,4.4,,,,
5348,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5349,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5350,"Green In","Greenway WTP Inlet","srp","Green In","06/12/06 00:00:00","06/12/06 00:00:00",,0,2.9,0,,,,
5351,"Green Out","Greenway WTP Outlet","srp","Green Out","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,2.6,,,,
5352,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5353,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","06/12/06 00:00:00","06/12/06 00:00:00",,2.6,0,0,,,,
5354,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","06/12/06 00:00:00","06/12/06 00:00:00",,9.800000000000001,0,0,,,,
5355,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","06/12/06 00:00:00","06/12/06 00:00:00",,0,0,0,,,,
5356,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","06/12/06 00:00:00","06/12/06 00:00:00",,0,82.5,3.6,,,,
5357,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","06/12/06 00:00:00","06/12/06 00:00:00",,0,96.40000000000001,3.4,,,,
5358,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","06/12/06 00:00:00","06/12/06 00:00:00",,0,5.3,0,,,,
5359,"R20","Verde River at Tangle","verde","verde abv horseshoe","06/12/06 00:00:00","06/12/06 00:00:00",,4.9,2.9,3.1,,,,
5360,"Havasu 1","Havasu lake Sample",,"Havasu 1","06/12/06 00:00:00","06/12/06 00:00:00",,0,2.5,0,,,,
5361,"Havasu 2","Havasu lake Sample",,"Havasu 2","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5362,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5363,"R1","CAP canal above Waddell Canal","cap","cap-siphon","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5364,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5365,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5366,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5367,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5368,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5369,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5370,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","06/12/06 00:00:00","06/12/06 00:00:00",,,,,,,,
5371,"R3","Waddell Canal","cap","waddell canal","07/11/06 00:00:00","07/11/06 00:00:00",,2.4,0,12.4,,,,
5372,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","07/11/06 00:00:00","07/11/06 00:00:00",,2.5,18.4,6.5,,,,
5373,"R11","CAP Canal at Cross-connect","cap","cap @ x con","07/11/06 00:00:00","07/11/06 00:00:00",,0,3.9,7.7,,,,
5374,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","07/11/06 00:00:00","07/11/06 00:00:00",,0,4.4,6.3,,,,
5375,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","07/11/06 00:00:00","07/11/06 00:00:00",,3.5,14.3,10.6,,,,
4846,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","09/13/05 00:00:00","09/13/05 00:00:00",,11.3,3.1,2.2,,,,
4847,"UH In","Union Hills Inlet","cap","Union Hills Inlet","09/13/05 00:00:00","09/13/05 00:00:00",,3.1,3.7,4.1,,,,
4848,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","09/13/05 00:00:00","09/13/05 00:00:00",,3.4,4,0,,,,
4849,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","09/13/05 00:00:00","09/13/05 00:00:00",,11.7,3.4,3,,,,
4850,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","09/13/05 00:00:00","09/13/05 00:00:00",,4.4,0,0,,,,
4851,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","09/13/05 00:00:00","09/13/05 00:00:00",,9.699999999999999,0,5,,,,
4852,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","09/13/05 00:00:00","09/13/05 00:00:00",,11.4,2,3.2,,,,
4853,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","09/13/05 00:00:00","09/13/05 00:00:00",,7,0,0,,,,
4854,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","09/13/05 00:00:00","09/13/05 00:00:00",,11.4,0,3.7,,,,
4855,"Green In","Greenway WTP Inlet","srp","Green In","09/13/05 00:00:00","09/13/05 00:00:00",,12,5.4,3,,,,
4856,"Green Out","Greenway WTP Outlet","srp","Green Out","09/13/05 00:00:00","09/13/05 00:00:00",,0,0,0,,,,
4857,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","09/13/05 00:00:00","09/13/05 00:00:00",,5.5,0,2.3,,,,
4858,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","09/13/05 00:00:00","09/13/05 00:00:00",,0,0,0,,,,
4859,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","09/13/05 00:00:00","09/13/05 00:00:00",,21.4,0,0,,,,
4860,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","09/13/05 00:00:00","09/13/05 00:00:00",,11.1,0,2.4,,,,
4861,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","09/13/05 00:00:00","09/13/05 00:00:00",,9.5,0,8.9,,,,
4862,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","09/13/05 00:00:00","09/13/05 00:00:00",,10.1,0,9.4,,,,
4863,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","09/13/05 00:00:00","09/13/05 00:00:00",,12.5,0,2.2,,,,
4864,"R20","Verde River at Tangle","verde","verde abv horseshoe","09/13/05 00:00:00","09/13/05 00:00:00",,5.6,0,5.9,,,,
4865,"Havasu 1","Havasu lake Sample",,"Havasu 1","09/13/05 00:00:00","09/13/05 00:00:00",,4,0,0,,,,
4866,"Havasu 2","Havasu lake Sample",,"Havasu 2","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4867,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4868,"R1","CAP canal above Waddell Canal","cap","cap-siphon","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4869,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4870,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4871,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4872,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4873,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4874,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4875,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","09/13/05 00:00:00","09/13/05 00:00:00",,,,,,,,
4876,"R3","Waddell Canal","cap","waddell canal","09/27/05 00:00:00","09/27/05 00:00:00",,4.4,3.4,0,,,,
4877,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","09/27/05 00:00:00","09/27/05 00:00:00",,14.2,2.1,3.1,,,,
4878,"R11","CAP Canal at Cross-connect","cap","cap @ x con","09/27/05 00:00:00","09/27/05 00:00:00",,2.5,0,0,,,,
4879,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","09/27/05 00:00:00","09/27/05 00:00:00",,12.3,2.4,3.5,,,,
4880,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","09/27/05 00:00:00","09/27/05 00:00:00",,9.9,2.2,0,,,,
4881,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","09/27/05 00:00:00","09/27/05 00:00:00",,16.2,7.6,0,,,,
4882,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","09/27/05 00:00:00","09/27/05 00:00:00",,6.8,0,0,,,,
4883,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","09/27/05 00:00:00","09/27/05 00:00:00",,17.7,7.2,2,,,,
4884,"R17","Deer Valley WTP treated water","srp","deer valley-treated","09/27/05 00:00:00","09/27/05 00:00:00",,13.8,4.9,0,,,,
4885,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","09/27/05 00:00:00","09/27/05 00:00:00",,13.3,3.3,3,,,,
4886,"R19","Val Vista WTP treated water","srp","val vista-treated","09/27/05 00:00:00","09/27/05 00:00:00",,10.5,3.3,0,,,,
4887,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","09/27/05 00:00:00","09/27/05 00:00:00",,16,7.2,0,,,,
4888,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","09/27/05 00:00:00","09/27/05 00:00:00",,15.8,5.9,2.5,,,,
4889,"R25","verde river at beeline highway","verde","verde @ beeline","09/27/05 00:00:00","09/27/05 00:00:00",,14.9,2.6,2.7,,,,
4890,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","09/27/05 00:00:00","09/27/05 00:00:00",,13,4.9,2.8,,,,
4891,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","09/27/05 00:00:00","09/27/05 00:00:00",,15.7,5.4,0,,,,
4892,"UH In","Union Hills Inlet","cap","Union Hills Inlet","09/27/05 00:00:00","09/27/05 00:00:00",,2.3,0,0,,,,
4893,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","09/27/05 00:00:00","09/27/05 00:00:00",,0,0,0,,,,
4894,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","09/27/05 00:00:00","09/27/05 00:00:00",,15.3,4.9,2.2,,,,
4895,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","09/27/05 00:00:00","09/27/05 00:00:00",,11,0,2,,,,
4896,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","09/27/05 00:00:00","09/27/05 00:00:00",,12.8,2.5,3.2,,,,
4897,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","09/27/05 00:00:00","09/27/05 00:00:00",,15.9,3,0,,,,
4898,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","09/27/05 00:00:00","09/27/05 00:00:00",,7.6,0,0,,,,
4899,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","09/27/05 00:00:00","09/27/05 00:00:00",,7.8,0,0,,,,
4900,"Green In","Greenway WTP Inlet","srp","Green In","09/27/05 00:00:00","09/27/05 00:00:00",,12.8,5.2,0,,,,
4901,"Green Out","Greenway WTP Outlet","srp","Green Out","09/27/05 00:00:00","09/27/05 00:00:00",,0,0,0,,,,
4902,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
4903,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
4904,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
4905,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
4906,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
4907,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
4908,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
4909,"R20","Verde River at Tangle","verde","verde abv horseshoe","09/27/05 00:00:00","09/27/05 00:00:00",,,,,,,,
