ID,Miles from Granite Reef Dam,mi from 24th st,site number,Location,Date,MIB (ng/L),Chlor-A, ug/cm2,Total Nitrogen,Dissolved Nitrogen,Total Phosphate,Dissolved Phosphate,Geosmin (ng/L)
61,,,"R16","AZ Canal - Inlet to Deer Valley WTP","07/03/01 00:00:00",82.3,,,,,,20.1
62,,,"R17","Deer Valley WTP treated water","07/03/01 00:00:00",,,,,,,
63,34.66,10.5,"51st Av.","51st Av.","07/03/01 00:00:00",87.3,,,,,,23.2
64,37,13.2,"67th Av.","67th Av.","07/03/01 00:00:00",32.6,,,,,,10.5
65,,,"Little Harq p.p.","Little Harq p.p.","07/03/01 00:00:00",,,,,,,
66,,,"Havasu p.p.","Havasu p.p.","07/03/01 00:00:00",,,,,,,
67,,,"R4","CAP at 7th ST","07/10/01 00:00:00",,,,,,,
68,,,"R18","South Canal at Val Vista WTP","07/10/01 00:00:00",,,,,,,
69,,,"R19","Val Vista WTP treated water","07/10/01 00:00:00",,,,,,,
70,,,"R10","Salt River below Saguaro Lake","07/10/01 00:00:00",,,,,,,
71,,,"R11","CAP Canal at cross-connect","07/10/01 00:00:00",,,,,,,
72,0,,"R12","AZ Canal above CAP cross-connect","07/10/01 00:00:00",,,,,,,
73,0.5,,"R13","AZ Canal below CAP cross-connect","07/10/01 00:00:00",,,,,,,
74,4,,"Hwy 87","AZ Canal at Highway 87","07/10/01 00:00:00",,,,,,,
75,1.2,,"B1","B1","07/10/01 00:00:00",,,,,,,
76,2.4,,"B2","B2","07/10/01 00:00:00",,,,,,,
77,5.2,,"B3","B3","07/10/01 00:00:00",,,,,,,
78,6.4,,"B4","B4","07/10/01 00:00:00",,,,,,,
79,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","07/10/01 00:00:00",,,,,,,
80,12.94,,"Pima","AZ Canal at Pima Rd.","07/10/01 00:00:00",,,,,,,
81,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","07/10/01 00:00:00",,,,,,,
82,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","07/10/01 00:00:00",,,,,,,
83,21.11,,"44th St.","AZ Canal at 44th Street","07/10/01 00:00:00",,,,,,,
84,,,"32nd St.","AZ Canal at 32nd Street","07/10/01 00:00:00",,,,,,,
85,24.06,0,"24th St.","24th St.","07/10/01 00:00:00",20.2,,,,,,
86,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","07/10/01 00:00:00",20.2,,,,,,
87,,,"R15","Squaw Peak WTP treated water","07/10/01 00:00:00",,,,,,,
88,25.76,1.7,"16th St.","AZ Canal at 16th Street","07/10/01 00:00:00",33,,,,,,
89,27.06,3,"Northern","AZ Canal at Northern Avenue","07/10/01 00:00:00",35.5,,,,,,
90,28.16,4.1,"R21","AZ Canal at Central Av.","07/10/01 00:00:00",41,,,,,,
91,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","07/10/01 00:00:00",39.9,,,,,,
92,,,"25th Av.","25th Av.","07/10/01 00:00:00",,,,,,,
93,31,7,"29th Av.","29th Av.","07/10/01 00:00:00",43.8,,,,,,
94,,,"R16","AZ Canal - Inlet to Deer Valley WTP","07/10/01 00:00:00",43.8,,,,,,
95,,,"R17","Deer Valley WTP treated water","07/10/01 00:00:00",,,,,,,
96,34.66,10.5,"51st Av.","51st Av.","07/10/01 00:00:00",42.3,,,,,,
97,37,13.2,"67th Av.","67th Av.","07/10/01 00:00:00",,,,,,,
98,,,"Little Harq p.p.","Little Harq p.p.","07/10/01 00:00:00",,,,,,,
99,,,"Havasu p.p.","Havasu p.p.","07/10/01 00:00:00",,,,,,,
100,,,"R4","CAP at 7th ST","07/11/01 00:00:00",,,,,,,
101,,,"R18","South Canal at Val Vista WTP","07/11/01 00:00:00",,,,,,,
102,,,"R19","Val Vista WTP treated water","07/11/01 00:00:00",,,,,,,
103,,,"R10","Salt River below Saguaro Lake","07/11/01 00:00:00",,,,,,,
104,,,"R11","CAP Canal at cross-connect","07/11/01 00:00:00",,,,,,,
105,0,,"R12","AZ Canal above CAP cross-connect","07/11/01 00:00:00",,,,,,,
106,0.5,,"R13","AZ Canal below CAP cross-connect","07/11/01 00:00:00",,,,,,,
107,4,,"Hwy 87","AZ Canal at Highway 87","07/11/01 00:00:00",,,,,,,
108,1.2,,"B1","B1","07/11/01 00:00:00",,,,,,,
109,2.4,,"B2","B2","07/11/01 00:00:00",,,,,,,
110,5.2,,"B3","B3","07/11/01 00:00:00",,,,,,,
111,6.4,,"B4","B4","07/11/01 00:00:00",,,,,,,
112,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","07/11/01 00:00:00",,,,,,,
113,12.94,,"Pima","AZ Canal at Pima Rd.","07/11/01 00:00:00",,,,,,,
114,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","07/11/01 00:00:00",,,,,,,
115,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","07/11/01 00:00:00",,,,,,,
116,21.11,,"44th St.","AZ Canal at 44th Street","07/11/01 00:00:00",,,,,,,
117,,,"32nd St.","AZ Canal at 32nd Street","07/11/01 00:00:00",,,,,,,
118,24.06,0,"24th St.","24th St.","07/11/01 00:00:00",20.8,,,,,,
119,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","07/11/01 00:00:00",20.8,,,,,,
120,,,"R15","Squaw Peak WTP treated water","07/11/01 00:00:00",,,,,,,
121,25.76,1.7,"16th St.","AZ Canal at 16th Street","07/11/01 00:00:00",33.7,,,,,,
122,27.06,3,"Northern","AZ Canal at Northern Avenue","07/11/01 00:00:00",35.4,,,,,,
123,28.16,4.1,"R21","AZ Canal at Central Av.","07/11/01 00:00:00",43.3,,,,,,
124,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","07/11/01 00:00:00",36.9,,,,,,
125,,,"25th Av.","25th Av.","07/11/01 00:00:00",,,,,,,
126,31,7,"29th Av.","29th Av.","07/11/01 00:00:00",41.2,,,,,,
127,,,"R16","AZ Canal - Inlet to Deer Valley WTP","07/11/01 00:00:00",41.2,,,,,,
128,,,"R17","Deer Valley WTP treated water","07/11/01 00:00:00",,,,,,,
129,34.66,10.5,"51st Av.","51st Av.","07/11/01 00:00:00",43.5,,,,,,
130,37,13.2,"67th Av.","67th Av.","07/11/01 00:00:00",,,,,,,
131,,,"Little Harq p.p.","Little Harq p.p.","07/11/01 00:00:00",,,,,,,
132,,,"Havasu p.p.","Havasu p.p.","07/11/01 00:00:00",,,,,,,
133,,,"R4","CAP at 7th ST","07/14/01 00:00:00",,,,,,,
134,,,"R18","South Canal at Val Vista WTP","07/14/01 00:00:00",,,,,,,
135,,,"R19","Val Vista WTP treated water","07/14/01 00:00:00",,,,,,,
136,,,"R10","Salt River below Saguaro Lake","07/14/01 00:00:00",,,,,,,
137,,,"R11","CAP Canal at cross-connect","07/14/01 00:00:00",,,,,,,
138,0,,"R12","AZ Canal above CAP cross-connect","07/14/01 00:00:00",,,,,,,
139,0.5,,"R13","AZ Canal below CAP cross-connect","07/14/01 00:00:00",,,,,,,
140,4,,"Hwy 87","AZ Canal at Highway 87","07/14/01 00:00:00",,,,,,,
141,1.2,,"B1","B1","07/14/01 00:00:00",,,,,,,
142,2.4,,"B2","B2","07/14/01 00:00:00",,,,,,,
143,5.2,,"B3","B3","07/14/01 00:00:00",,,,,,,
144,6.4,,"B4","B4","07/14/01 00:00:00",,,,,,,
145,8.460000000000001,,"Mesa","AZ Canal at Mesa Dr.","07/14/01 00:00:00",,,,,,,
146,12.94,,"Pima","AZ Canal at Pima Rd.","07/14/01 00:00:00",,,,,,,
147,16.88,,"Scotts","AZ Canal at Scottsdale Rd.","07/14/01 00:00:00",,,,,,,
148,18.7,,"R22","AZ Canal - 56th St. (Alma School Road)","07/14/01 00:00:00",,,,,,,
149,21.11,,"44th St.","AZ Canal at 44th Street","07/14/01 00:00:00",,,,,,,
150,,,"32nd St.","AZ Canal at 32nd Street","07/14/01 00:00:00",,,,,,,
151,24.06,0,"24th St.","24th St.","07/14/01 00:00:00",18.8,,,,,,
152,,,"R14","AZ Canal - Inlet to Squaw Peak WTP","07/14/01 00:00:00",18.8,,,,,,
153,,,"R15","Squaw Peak WTP treated water","07/14/01 00:00:00",,,,,,,
154,25.76,1.7,"16th St.","AZ Canal at 16th Street","07/14/01 00:00:00",24.2,,,,,,
155,27.06,3,"Northern","AZ Canal at Northern Avenue","07/14/01 00:00:00",25.6,,,,,,
156,28.16,4.1,"R21","AZ Canal at Central Av.","07/14/01 00:00:00",27,,,,,,
157,29.66,5.6,"19th Av.","AZ Canal at 19th Av.","07/14/01 00:00:00",29.1,,,,,,
158,,,"25th Av.","25th Av.","07/14/01 00:00:00",,,,,,,
159,31,7,"29th Av.","29th Av.","07/14/01 00:00:00",33.7,,,,,,
