ID,site number,site location,cluster name,site acronym,date,month,UVAf (Al sorp),DOCf (Al sorp),SUVAf,% UVA Rem,% DOC Rem,CHCl3 (ug/L),CHBrCl2 (ug/L),CHClBr2 (ug/L),CHBr3 (ug/L),TTHM (ug/L),MCAA monochloroacetic acid (ug/L),MBAA monobromoacetic acid (ug/L),DCAA dichloroacetic acid (ug/L),TCAA trichloroacetic acid (ug/L),BCAA bromochloroacetic acid (ug/L),DBAA dibromoacetic acid (ug/L),BDCAA Bromodichloroacetic acid,CDBAA Chlorodibromacetic acid,TBAA Tribromoacetic acid,DiHAA,% DBA dibromopropionic acid (% recovery),THAA9 (ug/L),MCAA COP,MBAA COP,DCAA COP,TCAA COP,BCAA COP,DBAA COP,BDCAA COP,CDBAA COP,TBAA COP,DiHAA COP,THAA9 COP,% DBA COP,sample type,docq comments
11,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","09/15/99 00:00:00","09/01/99 00:00:00",2.1999999999999999e-02,1.3000000000000000e+00,1.6899999999999998e-02,6.0710000000000001e+01,5.6590000000000003e+01,4.7000000000000000e+01,3.0000000000000000e+01,2.3699999999999999e+01,2.7000000000000002e+00,1.0420000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.4699999999999999e+01,1.3999999999999999e+00,1.3900000000000000e+01,6.9000000000000004e+00,,,,,3.5300000000000000e+02,,,,,,,,,,,,,,,
12,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","09/15/99 00:00:00","09/01/99 00:00:00",2.5000000000000001e-02,1.3129999999999999e+00,1.9000000000000000e-02,5.5359999999999999e+01,5.6219999999999999e+01,4.7200000000000003e+01,3.0100000000000001e+01,2.3000000000000000e+01,3.8999999999999999e+00,1.0420000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.5699999999999999e+01,1.1000000000000001e+00,1.2300000000000001e+01,5.5000000000000000e+00,,,,,2.0600000000000000e+02,,,,,,,,,,,,,,,
13,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","09/15/99 00:00:00","09/01/99 00:00:00",2.7000000000000000e-02,1.1990000000000001e+00,2.2499999999999999e-02,4.9060000000000002e+01,5.3869999999999997e+01,4.3299999999999997e+01,2.9000000000000000e+01,2.3800000000000001e+01,0.0000000000000000e+00,9.6099999999999994e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.3800000000000001e+01,0.0000000000000000e+00,1.2500000000000000e+01,6.2000000000000002e+00,,,,,2.8100000000000000e+02,,,,,,,,,,,,,,,
14,"R11","CAP Canal at Cross-connect","cap","cap @ x con","09/15/99 00:00:00","09/01/99 00:00:00",1.7999999999999999e-02,1.2110000000000001e+00,1.4900000000000000e-02,5.8140000000000001e+01,5.3740000000000002e+01,3.6899999999999999e+01,2.0699999999999999e+01,1.6600000000000001e+01,0.0000000000000000e+00,7.4200000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9399999999999999e+01,0.0000000000000000e+00,1.0900000000000000e+01,5.7000000000000002e+00,,,,,3.9300000000000000e+02,,,,,,,,,,,,,,,
15,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","09/15/99 00:00:00","09/01/99 00:00:00",2.1000000000000001e-02,1.1200000000000001e+00,1.8800000000000001e-02,5.9619999999999997e+01,5.5850000000000001e+01,4.1500000000000000e+01,2.4699999999999999e+01,2.0500000000000000e+01,0.0000000000000000e+00,8.6700000000000003e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.3199999999999999e+01,1.8999999999999999e+00,1.3600000000000000e+01,7.2000000000000002e+00,,,,,4.3200000000000000e+02,,,,,,,,,,,,,,,
16,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","09/15/99 00:00:00","09/01/99 00:00:00",1.9000000000000000e-02,1.1960000000000000e+00,1.5900000000000001e-02,6.3460000000000001e+01,5.3149999999999999e+01,4.3000000000000000e+01,2.5000000000000000e+01,2.0500000000000000e+01,0.0000000000000000e+00,8.8500000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4199999999999999e+01,1.8999999999999999e+00,1.3500000000000000e+01,6.5999999999999996e+00,,,,,4.0400000000000000e+02,,,,,,,,,,,,,,,
17,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","09/16/99 00:00:00","09/01/99 00:00:00",1.6000000000000000e-02,1.3310000000000000e+00,1.2000000000000000e-02,7.2879999999999995e+01,5.0130000000000003e+01,4.7500000000000000e+01,2.9500000000000000e+01,2.2199999999999999e+01,0.0000000000000000e+00,9.9200000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","09/16/99 00:00:00","09/01/99 00:00:00",1.7999999999999999e-02,1.2130000000000001e+00,1.4800000000000001e-02,5.3850000000000001e+01,4.5060000000000002e+01,3.3500000000000000e+01,2.5600000000000001e+01,2.3600000000000001e+01,3.3999999999999999e+00,8.6099999999999994e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6699999999999999e+01,0.0000000000000000e+00,1.1000000000000000e+01,6.0999999999999996e+00,,,,,2.8700000000000000e+02,,,,,,,,,,,,,,,
19,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","09/16/99 00:00:00","09/01/99 00:00:00",1.9000000000000000e-02,1.3660000000000001e+00,1.3899999999999999e-02,6.2750000000000000e+01,4.6850000000000001e+01,5.0100000000000001e+01,3.0800000000000001e+01,2.5699999999999999e+01,0.0000000000000000e+00,1.0659999999999999e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.2800000000000001e+01,1.3000000000000000e+00,1.4800000000000001e+01,7.4000000000000004e+00,,,,,3.9900000000000000e+02,,,,,,,,,,,,,,,
20,"R17","Deer Valley WTP treated water","srp","deer valley-treated","09/16/99 00:00:00","09/01/99 00:00:00",1.9000000000000000e-02,1.3180000000000001e+00,1.4400000000000000e-02,5.2500000000000000e+01,4.2990000000000002e+01,4.0299999999999997e+01,2.7300000000000001e+01,2.4899999999999999e+01,2.7999999999999998e+00,1.0009999999999999e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.7100000000000001e+01,0.0000000000000000e+00,1.1199999999999999e+01,6.4000000000000004e+00,,,,,3.2800000000000000e+02,,,,,,,,,,,,,,,
21,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","09/15/99 00:00:00","09/01/99 00:00:00",1.7000000000000001e-02,1.2909999999999999e+00,1.3200000000000000e-02,6.6000000000000000e+01,4.8570000000000000e+01,3.9799999999999997e+01,3.1000000000000000e+01,2.6100000000000001e+01,3.2000000000000002e+00,1.0009999999999999e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.2399999999999999e+01,0.0000000000000000e+00,1.2800000000000001e+01,6.5000000000000000e+00,,,,,3.4800000000000000e+02,,,,,,,,,,,,,,,
22,"R19","Val Vista WTP treated water","srp","val vista-treated","09/15/99 00:00:00","09/01/99 00:00:00",1.7999999999999999e-02,1.1930000000000001e+00,1.5100000000000001e-02,5.8140000000000001e+01,4.7700000000000003e+01,4.0600000000000001e+01,2.7000000000000000e+01,2.4399999999999999e+01,0.0000000000000000e+00,9.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8500000000000000e+01,0.0000000000000000e+00,1.1800000000000001e+01,7.2999999999999998e+00,,,,,3.5900000000000000e+02,,,,,,,,,,,,,,,
23,"R20","Verde River at Tangle","verde","verde abv horseshoe","09/30/99 00:00:00","09/01/99 00:00:00",2.8000000000000001e-02,1.2600000000000000e+00,2.2200000000000001e-02,7.6670000000000002e+01,6.6299999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"R1","CAP canal above Waddell Canal","cap","cap-siphon","01/12/00 00:00:00","01/01/00 00:00:00",2.0000000000000000e-02,2.3029999999999999e+00,8.6999999999999994e-03,5.2829999999999998e+01,1.2330000000000000e+01,3.1449999999999999e+01,1.8699999999999999e+01,8.1999999999999993e+00,,5.8350000000000001e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","01/12/00 00:00:00","01/01/00 00:00:00",2.0000000000000000e-02,2.1440000000000001e+00,9.2999999999999992e-03,5.4649999999999999e+01,2.6500000000000000e+01,3.0899999999999999e+01,2.1449999999999999e+01,1.2400000000000000e+01,,6.4750000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","01/12/00 00:00:00","01/01/00 00:00:00",1.7999999999999999e-02,2.0139999999999998e+00,8.8999999999999999e-03,5.7850000000000001e+01,2.7399999999999999e+01,3.0949999999999999e+01,2.0250000000000000e+01,1.0949999999999999e+01,,6.2149999999999999e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"R3","Waddell Canal","cap","waddell canal","01/12/00 00:00:00","01/01/00 00:00:00",1.7000000000000001e-02,1.7330000000000001e+00,9.7999999999999997e-03,6.0469999999999999e+01,3.5649999999999999e+01,3.0550000000000001e+01,1.8399999999999999e+01,8.0999999999999996e+00,,5.7049999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","01/12/00 00:00:00","01/01/00 00:00:00",1.7000000000000001e-02,1.7400000000000000e+00,9.7999999999999997e-03,5.9229999999999997e+01,3.3359999999999999e+01,3.4149999999999999e+01,1.9449999999999999e+01,8.6999999999999993e+00,,6.2299999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","01/12/00 00:00:00","01/01/00 00:00:00",5.0000000000000001e-03,6.5700000000000003e-01,7.6000000000000000e-03,7.5489999999999995e+01,3.6090000000000003e+01,1.7300000000000001e+01,1.4350000000000000e+01,1.2150000000000000e+01,,4.3799999999999997e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","01/12/00 00:00:00","01/01/00 00:00:00",1.7999999999999999e-02,1.2629999999999999e+00,1.4300000000000000e-02,6.6099999999999994e+01,4.2590000000000003e+01,6.0649999999999999e+01,2.7449999999999999e+01,8.8000000000000007e+00,,9.6900000000000006e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","01/12/00 00:00:00","01/01/00 00:00:00",1.4000000000000000e-02,1.0520000000000000e+00,1.3299999999999999e-02,6.4290000000000006e+01,3.5700000000000003e+01,4.6350000000000001e+01,2.5399999999999999e+01,1.2400000000000000e+01,2.6000000000000001e+00,8.6750000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","01/12/00 00:00:00","01/01/00 00:00:00",1.4000000000000000e-02,1.0620000000000001e+00,1.3200000000000000e-02,6.7209999999999994e+01,4.1710000000000001e+01,5.0950000000000003e+01,2.6500000000000000e+01,1.1000000000000000e+01,,8.8450000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","01/11/00 00:00:00","01/01/00 00:00:00",1.7999999999999999e-02,1.5700000000000001e+00,1.1500000000000000e-02,6.1369999999999997e+01,4.2000000000000000e+01,4.2500000000000000e+01,3.0850000000000001e+01,2.2149999999999999e+01,3.7000000000000002e+00,9.9200000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","01/11/00 00:00:00","01/01/00 00:00:00",2.1999999999999999e-02,1.6819999999999999e+00,1.3100000000000001e-02,5.5469999999999999e+01,4.3539999999999999e+01,5.1049999999999997e+01,3.5200000000000003e+01,2.2649999999999999e+01,9.0000000000000002e-01,1.0980000000000000e+02,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","01/11/00 00:00:00","01/01/00 00:00:00",2.1000000000000001e-02,1.7450000000000001e+00,1.2000000000000000e-02,5.7659999999999997e+01,4.0590000000000003e+01,5.0299999999999997e+01,3.5350000000000001e+01,2.3949999999999999e+01,2.6499999999999999e+00,1.1225000000000000e+02,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","01/11/00 00:00:00","01/01/00 00:00:00",1.2999999999999999e-02,1.1859999999999999e+00,1.0999999999999999e-02,5.6520000000000003e+01,4.0880000000000003e+01,2.9899999999999999e+01,2.6100000000000001e+01,2.5750000000000000e+01,4.0000000000000000e+00,8.5750000000000000e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"R11","CAP Canal at Cross-connect","cap","cap @ x con","01/11/00 00:00:00","01/01/00 00:00:00",1.7999999999999999e-02,1.6670000000000000e+00,1.0800000000000001e-02,5.5990000000000002e+01,3.6539999999999999e+01,4.6299999999999997e+01,2.4750000000000000e+01,1.2150000000000000e+01,,8.3200000000000003e+01,,,,,,,,,,,,,,,,,,,,,,,,,,
