ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
951,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2/5/2018",,,"N/A","Counted Mycobacterium samples after 2 week incubation ",,,,,,
952,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2/5/2018","59","456","14",,,,,,,
953,"R11","CAP Canal at Cross-connect","cap","cap @ x con","2/5/2018",,,"N/A",,,,,,,
954,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2/5/2018","509","296","N/A",,,,,,,
955,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2/5/2018","103","464","0",,,,,,,
956,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2/5/2018",,,"13",,,,,,,
957,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2/5/2018","140","488","N/A",,,,,,,
958,"R3","Waddell Canal","cap","waddell canal","2/5/2018","0","640","1",,,,,,,
959,"R25","verde river at beeline highway","verde","verde @ beeline","2/5/2018","46","41","5",,,,,,,
960,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2/5/2018","95","408","6",,,,,,,
961,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2/5/2018","45","384","7",,,,,,,
962,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2/5/2018","43","920","2",,,,,,,
963,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2/5/2018","41","416","N/A",,,,,,,
382,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","6/2/2014","16","534",,"CONT= Not Countable Due to Contamination",,,,,,
988,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","3/5/2018","20","576","18","Counted Mycobacterium samples after 2 week incubation ",,,,,,
989,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","3/5/2018","20","624","45",,,,,,,
990,"R11","CAP Canal at Cross-connect","cap","cap @ x con","3/5/2018","1","944",,,,,,,,
991,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","3/5/2018","3","560","19",,,,,,,
992,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","3/5/2018","6","728","21",,,,,,,
993,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","3/5/2018","4","520","2",,,,,,,
994,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","3/5/2018","4","840","1",,,,,,,
995,"R3","Waddell Canal","cap","waddell canal","3/5/2018","0","664","0",,,,,,,
996,"R25","verde river at beeline highway","verde","verde @ beeline","3/5/2018","35","696","23",,,,,,,
997,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","3/5/2018","14","840",,,,,,,,
998,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","3/5/2018","23","728","17",,,,,,,
999,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","3/5/2018","11","808","31",,,,,,,
1000,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","3/5/2018","15","584","0",,,,,,,
1001,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","4/2/2018","31","1032","3","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1002,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","4/2/2018","16","976","4",,,,,,,
1004,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","4/2/2018","10","744","2",,,,,,,
1005,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","4/2/2018","14","552","5",,,,,,,
1006,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","4/2/2018","2","760","3",,,,,,,
1007,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","4/2/2018","26","600","6",,,,,,,
1008,"R3","Waddell Canal","cap","waddell canal","4/2/2018","5","464","3",,,,,,,
1009,"R25","verde river at beeline highway","verde","verde @ beeline","4/2/2018","12","352","8",,,,,,,
1010,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","4/2/2018","24","984","2",,,,,,,
1011,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","4/2/2018","19","872","3",,,,,,,
1012,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","4/2/2018","16","992","0",,,,,,,
1013,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","4/2/2018","23","856","0",,,,,,,
1014,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","5/7/2018","14","1264","2","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1015,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","5/7/2018","13","1184","0",,,,,,,
1016,"R11","CAP Canal at Cross-connect","cap","cap @ x con","5/7/2018","43","448","1",,,,,,,
1003,"R11","CAP Canal at Cross-connect","cap","cap @ x con","4/2/2018","N/A","N/A","N/A",,,,,,,
1017,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","5/7/2018","42","512","11",,,,,,,
1018,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","5/7/2018","16","512","1",,,,,,,
1019,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","5/7/2018","10","824","7",,,,,,,
1020,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","5/7/2018","31","896","0",,,,,,,
1021,"R3","Waddell Canal","cap","waddell canal","5/7/2018","10","408","0",,,,,,,
1022,"R25","verde river at beeline highway","verde","verde @ beeline","5/7/2018","5","808","56",,,,,,,
1023,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","5/7/2018","20","1424","1",,,,,,,
1024,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","5/7/2018","21","640","3",,,,,,,
1025,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","5/7/2018","17","616","3",,,,,,,
1026,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","5/7/2018","48","648","0",,,,,,,
1027,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","6/4/2018","16","1808","3","Counted Mycobacterium samples after 2 week incubation ",,,,,,
1028,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","6/4/2018","7","1080","3",,,,,,,
1029,"R11","CAP Canal at Cross-connect","cap","cap @ x con","6/4/2018","24","336","3",,,,,,,
1030,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","6/4/2018","54","1016","3",,,,,,,
1031,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","6/4/2018","23","624","9",,,,,,,
1032,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","6/4/2018","14",,"3",,,,,,,
1033,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","6/4/2018","10","1792","2",,,,,,,
1034,"R3","Waddell Canal","cap","waddell canal","6/4/2018","0","392","4",,,,,,,
1035,"R25","verde river at beeline highway","verde","verde @ beeline","6/4/2018","23","1408","19",,,,,,,
1036,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","6/4/2018","17","1392",,,,,,,,
1037,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","6/4/2018","5","872","1",,,,,,,
1038,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","6/4/2018","4","832","2",,,,,,,
