ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
401,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","7/7/2014","36","474",,,,,,,,
402,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","7/7/2014","24","304",,,,,,,,
403,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","7/7/2014","48","240",,,,,,,,
404,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","7/7/2014","18","260",,,,,,,,
405,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","8/5/2014","14","542",,"All samples incubated at 32 Celsius for 24 hours, highlighted cells counted quarter of plates and multiplied by 4",,,,,,
406,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","8/5/2014","24","462",,,,,,,,
407,"R11","CAP Canal at Cross-connect","cap","cap @ x con","8/5/2014","2","548",,,,,,,,
408,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","8/5/2014","28","522",,,,,,,,
409,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","8/5/2014","174","750",,,,,,,,
410,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","8/5/2014","32","622",,,,,,,,
411,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","8/5/2014","10","606",,,,,,,,
412,"R3","Waddell Canal","cap","waddell canal","8/5/2014","10","436",,,,,,,,
413,"R25","verde river at beeline highway","verde","verde @ beeline","8/5/2014","436","628",,,,,,,,
414,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","8/5/2014","10","462",,,,,,,,
415,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","8/5/2014","20","390",,,,,,,,
416,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","8/5/2014","4","444",,,,,,,,
417,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","8/5/2014","18","444",,,,,,,,
418,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","9/8/2014","1080",,"NCDC",,,,,,,
419,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","9/8/2014","1360",,"NCDC",,,,,,,
420,"R11","CAP Canal at Cross-connect","cap","cap @ x con","9/8/2014","6",,"2",,,,,,,
421,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","9/8/2014","260",,"NCDC",,,,,,,
422,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","9/8/2014","432",,"12",,,,,,,
423,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","9/8/2014","2580",,"NCDC",,,,,,,
424,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","9/8/2014","1150",,"NCDC",,,,,,,
425,"R3","Waddell Canal","cap","waddell canal","9/8/2014","38",,"0",,,,,,,
426,"R25","verde river at beeline highway","verde","verde @ beeline","9/8/2014","2240",,"NCDC",,,,,,,
427,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","9/8/2014","990",,"NCDC",,,,,,,
428,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","9/8/2014","92",,"2",,,,,,,
429,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","9/8/2014","104",,"9",,,,,,,
430,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","9/8/2014","46",,"3",,,,,,,
431,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","10/6/2014","120",,"NCDC",,,,,,,
432,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","10/6/2014","86",,"NCDC",,,,,,,
433,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/6/2014","60","364","9",,,,,,,
434,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","10/6/2014","50",,"NCDC",,,,,,,
435,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","10/6/2014","82",,"NCDC",,,,,,,
436,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","10/6/2014","60",,"NCDC",,,,,,,
437,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/6/2014","16","510","11",,,,,,,
438,"R3","Waddell Canal","cap","waddell canal","10/6/2014","4","184","1",,,,,,,
439,"R25","verde river at beeline highway","verde","verde @ beeline","10/6/2014","114",,"NCDC",,,,,,,
440,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/6/2014","72",,"NCDC",,,,,,,
441,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","10/6/2014","30","444","NCDC",,,,,,,
442,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","10/6/2014","5",,"NCDC",,,,,,,
443,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/6/2014","21","470","NCDC",,,,,,,
444,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/3/2014","53",,"64","Counted samples after 2 week incubation ",,,,,,
445,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","11/3/2014","50",,"33",,,,,,,
446,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/3/2014","19","676","5",,,,,,,
447,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/3/2014","23",,"NCDC",,,,,,,
448,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/3/2014","40",,"76",,,,,,,
449,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/3/2014","45",,"NCDC",,,,,,,
450,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/3/2014","10",,"NCDC",,,,,,,
451,"R3","Waddell Canal","cap","waddell canal","11/3/2014","18",,"9",,,,,,,
452,"R25","verde river at beeline highway","verde","verde @ beeline","11/3/2014","118",,"NCDC",,,,,,,
453,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/3/2014","29",,"NCDC",,,,,,,
454,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","11/3/2014","29","672","68",,,,,,,
455,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","11/3/2014","46","776","37",,,,,,,
456,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/3/2014","20","1100","76",,,,,,,
457,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/1/2014","20","580","TNTC",,,,,,,
458,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","12/1/2014","3",,"42",,,,,,,
459,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/1/2014","18",,"16",,,,,,,
460,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/1/2014","5",,"96",,,,,,,
461,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/1/2014","17",,"88",,,,,,,
462,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/1/2014","7",,"120",,,,,,,
463,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/1/2014","18","822","36",,,,,,,
464,"R3","Waddell Canal","cap","waddell canal","12/1/2014","4","634","47",,,,,,,
465,"R25","verde river at beeline highway","verde","verde @ beeline","12/1/2014","13",,"TNTC",,,,,,,
466,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/1/2014","20",,"52",,,,,,,
467,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","12/1/2014","3","562","104",,,,,,,
468,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","12/1/2014","1","254","3",,,,,,,
469,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/1/2014",,,"104",,,,,,,
470,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","1/5/2015",,,,"Counted samples after 2 week incubation ",,,,,,
471,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","1/5/2015",,,,,,,,,,
472,"R11","CAP Canal at Cross-connect","cap","cap @ x con","1/5/2015","7",,"88",,,,,,,
473,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","1/5/2015","60","478","92",,,,,,,
474,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","1/5/2015","16","514","TNTC",,,,,,,
475,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","1/5/2015","23","546","168",,,,,,,
476,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1/5/2015",,,,,,,,,,
477,"R3","Waddell Canal","cap","waddell canal","1/5/2015","2","388","16",,,,,,,
478,"R25","verde river at beeline highway","verde","verde @ beeline","1/5/2015","16",,"220",,,,,,,
479,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1/5/2015",,,,,,,,,,
480,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","1/5/2015","1","418","36",,,,,,,
481,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","1/5/2015","3","418","14",,,,,,,
482,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","1/5/2015",,,"TNTC",,,,,,,
483,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2/2/2015","60",,"TNTC","Counted samples after 2 week incubation ",,,,,,
484,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2/2/2015","114","564","44",,,,,,,
485,"R11","CAP Canal at Cross-connect","cap","cap @ x con","2/2/2015","10",,"84",,,,,,,
486,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2/2/2015",,,,,,,,,,
487,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2/2/2015","82","612","64",,,,,,,
488,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2/2/2015","14","684","80",,,,,,,
489,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2/2/2015","3",,"68",,,,,,,
490,"R3","Waddell Canal","cap","waddell canal","2/2/2015","2","404","21",,,,,,,
491,"R25","verde river at beeline highway","verde","verde @ beeline","2/2/2015","72",,"TNTC",,,,,,,
492,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2/2/2015","28",,"27",,,,,,,
493,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2/2/2015","60","928","156",,,,,,,
494,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2/2/2015","206",,"TNTC",,,,,,,
495,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2/2/2015","44","792","228",,,,,,,
496,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","3/9/2015","28","628","19","Counted samples after 2 week incubation ",,,,,,
497,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","3/9/2015","132","608","TNTC",,,,,,,
498,"R11","CAP Canal at Cross-connect","cap","cap @ x con","3/9/2015","12","596","15",,,,,,,
499,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","3/9/2015",,,,,,,,,,
500,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","3/9/2015","36","700","21",,,,,,,
501,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","3/9/2015","6",,"102",,,,,,,
502,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","3/9/2015","24","500","35",,,,,,,
503,"R3","Waddell Canal","cap","waddell canal","3/9/2015","12","260","4",,,,,,,
504,"R25","verde river at beeline highway","verde","verde @ beeline","3/9/2015","32","808","TNTC",,,,,,,
505,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","3/9/2015","48","468","34",,,,,,,
506,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","3/9/2015","14","528","16",,,,,,,
507,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","3/9/2015","28","616","22",,,,,,,
508,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","3/9/2015","29","704","TNTC",,,,,,,
509,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","4/6/2015","32","820","116","Counted samples after 2 week incubation ",,,,,,
510,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","4/6/2015","52","728","3",,,,,,,
511,"R11","CAP Canal at Cross-connect","cap","cap @ x con","4/6/2015","24",,"TNTC",,,,,,,
512,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","4/6/2015","12","660",,,,,,,,
513,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","4/6/2015","96",,"4",,,,,,,
514,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","4/6/2015","32",,"94",,,,,,,
515,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","4/6/2015","16","712","46",,,,,,,
516,"R3","Waddell Canal","cap","waddell canal","4/6/2015","0","148",,,,,,,,
517,"R25","verde river at beeline highway","verde","verde @ beeline","4/6/2015","256",,"TNTC",,,,,,,
518,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","4/6/2015","28","844","192",,,,,,,
519,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","4/6/2015","16","636","46",,,,,,,
520,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","4/6/2015","48","784","34",,,,,,,
521,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","4/6/2015","24","776","182",,,,,,,
522,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","5/4/2015","40",,,"Counted samples after 2 week incubation ",,,,,,
523,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","5/4/2015","180",,,,,,,,,
524,"R11","CAP Canal at Cross-connect","cap","cap @ x con","5/4/2015","28","936",,,,,,,,
525,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","5/4/2015","76",,,,,,,,,
526,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","5/4/2015","88","768",,,,,,,,
527,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","5/4/2015","36",,,,,,,,,
528,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","5/4/2015","24","960",,,,,,,,
529,"R3","Waddell Canal","cap","waddell canal","5/4/2015","2","344",,,,,,,,
530,"R25","verde river at beeline highway","verde","verde @ beeline","5/4/2015","380",,,,,,,,,
531,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","5/4/2015","48",,,,,,,,,
532,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","5/4/2015","48",,,,,,,,,
533,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","5/4/2015","176","1016",,,,,,,,
534,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","5/4/2015","40",,,,,,,,,
535,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","6/1/2015","8","756","36","Counted samples after 2 week incubation ",,,,,,
536,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","6/1/2015","24","780","5",,,,,,,
537,"R11","CAP Canal at Cross-connect","cap","cap @ x con","6/1/2015","9","652","2",,,,,,,
538,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","6/1/2015","32","560","17",,,,,,,
539,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","6/1/2015","44","600","37",,,,,,,
540,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","6/1/2015","24","744","1",,,,,,,
541,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","6/1/2015","22","764","7",,,,,,,
542,"R3","Waddell Canal","cap","waddell canal","6/1/2015","4","640","3",,,,,,,
543,"R25","verde river at beeline highway","verde","verde @ beeline","6/1/2015","48","828",,,,,,,,
544,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","6/1/2015","11","708","24",,,,,,,
545,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","6/1/2015","32","820","12",,,,,,,
546,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","6/1/2015","76","792","19",,,,,,,
547,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","6/1/2015","24",,"4",,,,,,,
548,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","7/6/2015","13","744","12","Counted samples after 2 week incubation ",,,,,,
549,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","7/6/2015","16","712","25",,,,,,,
550,"R11","CAP Canal at Cross-connect","cap","cap @ x con","7/6/2015",,,,,,,,,,
551,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","7/6/2015","16",,"1",,,,,,,
552,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","7/6/2015","112","808","9",,,,,,,
553,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","7/6/2015","44",,"8",,,,,,,
554,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","7/6/2015","13","795","13",,,,,,,
555,"R3","Waddell Canal","cap","waddell canal","7/6/2015","1","404","18",,,,,,,
556,"R25","verde river at beeline highway","verde","verde @ beeline","7/6/2015",,,,,,,,,,
557,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","7/6/2015","11","756","28",,,,,,,
558,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","7/6/2015","32","768","19",,,,,,,
559,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","7/6/2015","56","872","4",,,,,,,
560,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","7/6/2015","28",,"2",,,,,,,
561,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","8/3/2015","28","904","ND","Counted samples after 2 week incubation ",,,,,,
562,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","8/3/2015","16","776","8",,,,,,,
563,"R11","CAP Canal at Cross-connect","cap","cap @ x con","8/3/2015","36","808","3",,,,,,,
564,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","8/3/2015","8","912","4",,,,,,,
565,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","8/3/2015","52","784","6",,,,,,,
566,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","8/3/2015","28","844","ND",,,,,,,
567,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","8/3/2015","20","840","ND",,,,,,,
568,"R3","Waddell Canal","cap","waddell canal","8/3/2015","16","880","9",,,,,,,
569,"R25","verde river at beeline highway","verde","verde @ beeline","8/3/2015","132",,"1",,,,,,,
570,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","8/3/2015","12",,"ND",,,,,,,
571,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","8/3/2015","36",,"2",,,,,,,
572,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","8/3/2015","7","692","7",,,,,,,
573,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","8/3/2015","20","504","3",,,,,,,
574,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","8/31/2015","9",,"0","Counted samples after 2 week incubation ",,,,,,
575,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","8/31/2015","24","964","NCDC",,,,,,,
576,"R11","CAP Canal at Cross-connect","cap","cap @ x con","8/31/2015","4","784","24",,,,,,,
577,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","8/31/2015","16","868","NCDC",,,,,,,
578,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","8/31/2015","28",,"NCDC",,,,,,,
579,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","8/31/2015",,,"N/A",,,,,,,
580,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","8/31/2015","24","744","11",,,,,,,
581,"R3","Waddell Canal","cap","waddell canal","8/31/2015","1","572","0",,,,,,,
582,"R25","verde river at beeline highway","verde","verde @ beeline","8/31/2015","53",,"5",,,,,,,
583,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","8/31/2015","16","848","3",,,,,,,
584,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","8/31/2015","12","988","1",,,,,,,
585,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","8/31/2015","12",,"0",,,,,,,
586,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","8/31/2015","11",,"0",,,,,,,
587,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","10/5/2015","8",,"4","Counted samples after 2 week incubation ",,,,,,
588,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","10/5/2015",,,"NCDC",,,,,,,
589,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/5/2015","4",,"2",,,,,,,
590,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","10/5/2015","14","784","NCDC",,,,,,,
591,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","10/5/2015","24","880","6",,,,,,,
592,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","10/5/2015","12","720","4",,,,,,,
593,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/5/2015","14",,"5",,,,,,,
594,"R3","Waddell Canal","cap","waddell canal","10/5/2015",,,"N/A",,,,,,,
595,"R25","verde river at beeline highway","verde","verde @ beeline","10/5/2015","22","1116","NCDC",,,,,,,
596,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/5/2015","20","1184","NCDC",,,,,,,
597,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","10/5/2015","16","1144","3",,,,,,,
598,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","10/5/2015","24","1120","4",,,,,,,
599,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/5/2015","28",,"7",,,,,,,
600,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/2/2015","9","960","22","Counted samples after 2 week incubation ",,,,,,
601,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","11/2/2015","76",,"1",,,,,,,
602,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/2/2015","4","1116","10",,,,,,,
603,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/2/2015","16","772","NCDC",,,,,,,
604,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/2/2015","36","720","NCDC",,,,,,,
605,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/2/2015",,,"N/A",,,,,,,
606,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/2/2015","2","984","0",,,,,,,
607,"R3","Waddell Canal","cap","waddell canal","11/2/2015",,,"NCDC",,,,,,,
608,"R25","verde river at beeline highway","verde","verde @ beeline","11/2/2015","116",,"NCDC",,,,,,,
609,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/2/2015","25",,"11",,,,,,,
610,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","11/2/2015","11","988","0",,,,,,,
611,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","11/2/2015","14","936","9",,,,,,,
612,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/2/2015","14","732","3",,,,,,,
613,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/7/2015",,,,"Counted samples after 2 week incubation ",,,,,,
614,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","12/7/2015",,,,,,,,,,
615,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/7/2015",,,,,,,,,,
616,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/7/2015","10","748","18",,,,,,,
617,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/7/2015","13","680","NCDC",,,,,,,
618,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/7/2015","5","540","NCDC",,,,,,,
619,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/7/2015",,,,,,,,,,
620,"R3","Waddell Canal","cap","waddell canal","12/7/2015","5","712","0",,,,,,,
621,"R25","verde river at beeline highway","verde","verde @ beeline","12/7/2015","32",,"NCDC",,,,,,,
622,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/7/2015",,,,,,,,,,
623,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","12/7/2015",,,,,,,,,,
624,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","12/7/2015","8","608","2",,,,,,,
625,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/7/2015",,,,,,,,,,
626,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","1/4/2016","5","252",,"Counted samples after 2 week incubation ",,,,,,
627,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","1/4/2016",,,,,,,,,,
628,"R11","CAP Canal at Cross-connect","cap","cap @ x con","1/4/2016","89","256",,,,,,,,
629,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","1/4/2016","6","380",,,,,,,,
630,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","1/4/2016","100","296",,,,,,,,
631,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","1/4/2016","52","428",,,,,,,,
632,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1/4/2016","3","580",,,,,,,,
633,"R3","Waddell Canal","cap","waddell canal","1/4/2016",,,,,,,,,,
634,"R25","verde river at beeline highway","verde","verde @ beeline","1/4/2016","37","232",,,,,,,,
635,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1/4/2016","24","172",,,,,,,,
636,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","1/4/2016","9","380",,,,,,,,
637,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","1/4/2016","16","300",,,,,,,,
638,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","1/4/2016","19","496",,,,,,,,
639,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2/1/2016","2","168","1","Counted samples after 2 week incubation ",,,,,,
640,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2/1/2016","22","140","NCDC",,,,,,,
641,"R11","CAP Canal at Cross-connect","cap","cap @ x con","2/1/2016",,,,,,,,,,
642,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2/1/2016","6","452","0",,,,,,,
643,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2/1/2016","24","184","5",,,,,,,
644,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2/1/2016","13","368","4",,,,,,,
645,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2/1/2016",,,,,,,,,,
646,"R3","Waddell Canal","cap","waddell canal","2/1/2016","1","180","0",,,,,,,
647,"R25","verde river at beeline highway","verde","verde @ beeline","2/1/2016","70","152","1",,,,,,,
648,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2/1/2016","24","304","NCDC",,,,,,,
649,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2/1/2016","9","256","3",,,,,,,
650,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2/1/2016","7","436","5",,,,,,,
651,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2/1/2016","8","296","3",,,,,,,
652,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","3/7/2016","9","388","17","Counted samples after 2 week incubation ",,,,,,
653,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","3/7/2016",,,,,,,,,,
654,"R11","CAP Canal at Cross-connect","cap","cap @ x con","3/7/2016","6","980","0",,,,,,,
655,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","3/7/2016","23","624","4",,,,,,,
