ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),Field1,peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
252,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,5/17/2000,5/1/2000,,2.728,2.558,0.05,0.019546521,,43.37,441.19,43.02,40.69,23.91,1.799247177,
253,R17,Deer Valley WTP treated water,srp,deer valley-treated,5/17/2000,5/1/2000,,2.518,2.26,0.035,0.015486726,,38.27,448.09,37.97,35.21,20.32,1.868602362,
254,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,5/17/2000,5/1/2000,,3.005,2.384,0.0437,0.018330537,,43.78,445.58,42.75,40.9,24.41,1.751331422,
255,R19,Val Vista WTP treated water,srp,val vista-treated,5/17/2000,5/1/2000,,2.42,2.273,0.0386,0.016981962,,42.27,447.37,42.02,39.17,23.07,1.821413091,
256,field_blank,field blank,,,5/17/2000,5/1/2000,field blank,,0.09,0.0018,0.02,,,,,,,,
257,lab_blank,laboratory blank,,,5/17/2000,5/1/2000,lab blank,,,,,,,,,,,,
258,R20,Verde River at Tangle,verde,verde abv horseshoe,5/30/2000,5/1/2000,,1.923,1.698,0.0238,0.01401649,,,,,,,,
259,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/14/2000,6/1/2000,,3.341,3.289,0.0427,0.01298267,,35.18,442.64,34.65,32.47,18.27,1.896551724,
260,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/14/2000,6/1/2000,,3.546,3.592,0.0403,0.011219376,,26.19,441.61,24.36,22.33,13.32,1.828828829,
261,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/14/2000,6/1/2000,,3.617,3.613,0.0408,0.011292555,,25.52,446.37,24.26,21.19,12.98,1.869029276,
262,R3,Waddell Canal,cap,waddell canal,6/14/2000,6/1/2000,,3.191,3.219,0.0417,0.012954334,,37.46,447.85,36.69,33.85,19.59,1.872894334,
263,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/15/2000,6/1/2000,,3.22,3.151,0.0421,0.013360838,,39.76,443.27,38.45,36.98,21.18,1.815391879,
264,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,6/15/2000,6/1/2000,field duplicate,3.194,3.314,0.0417,0.012582981,,39.09,438.47,38.02,35.26,20.8,1.827884615,
265,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/14/2000,6/1/2000,,1.814,1.734,0.0293,0.016897347,,35.7,449.38,35.66,33.07,21.08,1.691650854,
266,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/14/2000,6/1/2000,,2.313,2.308,0.0322,0.013951473,,26.36,442.55,24.87,23.45,13.96,1.781518625,
267,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/14/2000,6/1/2000,,2.026,2.005,0.0363,0.018104738,,41.38,438.26,40.11,37.38,23.72,1.690978078,
268,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/14/2000,6/1/2000,,1.826,1.852,0.0348,0.018790497,,48.28,438.81,46.47,39.61,22.19,2.094186571,
269,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/13/2000,6/1/2000,,3.419,3.07,0.0466,0.015179153,,42.8,443.69,42.69,39.28,23.22,1.838501292,
270,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/13/2000,6/1/2000,,4.017,4.1,0.0536,0.013073171,,40.2,445.59,37.85,35.78,21.52,1.758828996,
271,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,6/13/2000,6/1/2000,field duplicate,3.487,3.386,0.0502,0.014825753,,43.08,445.92,41.28,40.26,23.79,1.73518285,
272,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/13/2000,6/1/2000,,3.486,3.373,0.051,0.015120071,,43.36,447.05,42.72,40.34,22.81,1.872862779,
273,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/13/2000,6/1/2000,,3.147,3.109,0.0497,0.015985848,,44.65,446.37,43.21,40.77,24.05,1.796673597,
274,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/13/2000,6/1/2000,,3.197,3.202,0.0437,0.01364772,,35.14,438.65,32.9,32.12,18.49,1.779340184,
275,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/13/2000,6/1/2000,,3.057,3.299,0.05,0.015156108,,44.06,442.09,42.42,40.09,24.33,1.74352651,
276,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/13/2000,6/1/2000,,3.237,3.078,0.046,0.014944769,,39.18,449.45,39.06,36.46,21.21,1.841584158,
277,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/15/2000,6/1/2000,,3.1,3.007,0.0494,0.016428334,,47.4,451.6,46.82,44.55,25.77,1.816841288,
278,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/15/2000,6/1/2000,,2.987,2.972,0.0266,0.008950202,,20.86,436,19.98,18.72,10.67,1.872539831,
279,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/15/2000,6/1/2000,,3.468,3.164,0.0482,0.015233881,,48,444.01,46.95,45.07,26.26,1.787890327,
280,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/15/2000,6/1/2000,,3.008,2.848,0.0399,0.014009831,,43.73,447.02,42.53,39.37,22.83,1.862899693,
281,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/15/2000,6/1/2000,,2.994,3.075,0.0458,0.014894309,,46.2,443.08,44.89,41.69,24.56,1.82776873,
282,R19,Val Vista WTP treated water,srp,val vista-treated,6/15/2000,6/1/2000,,3.058,3.042,0.0408,0.013412229,,43.88,448.64,43.25,39.82,23.71,1.824124842,
