ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),Field1,peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
1357,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/14/2002,10/14/2002,,,3.043,0.0431,1.4,,,,,,,,
1358,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/14/2002,10/14/2002,,,3.074,0.0444,1.4,,,,,,,,
1359,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,10/14/2002,10/14/2002,,,3.111,0.0442,1.4,,,,,,,,
1360,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/14/2002,10/14/2002,,,3.143,0.0443,1.4,,,,,,,,
1361,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/14/2002,10/14/2002,,,3.013,0.0429,1.4,,,,,,,,
1362,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/14/2002,10/14/2002,,,3.038,0.0425,1.4,,,,,,,,
1363,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/14/2002,10/14/2002,,,3.005,0.0463,1.5,,,,,,,,
1364,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/14/2002,10/14/2002,,,2.511,0.0314,1.3,,,,,,,,
1365,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,10/14/2002,10/14/2002,,,3.047,0.0449,1.5,,,,,,,,
1366,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/14/2002,10/14/2002,,,3.055,0.0438,1.4,,,,,,,,
1367,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,10/14/2002,10/14/2002,,,2.952,0.0427,1.4,,,,,,,,
1368,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/14/2002,10/14/2002,,,2.903,0.044,1.5,,,,,,,,
1369,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/14/2002,10/14/2002,,,2.261,0.0266,1.2,,,,,,,,
1370,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/14/2002,10/14/2002,,,2.578,0.0417,1.6,,,,,,,,
1371,R19,Val Vista WTP treated water,srp,val vista-treated,10/14/2002,10/14/2002,,,2.029,0.0254,1.3,,,,,,,,
1372,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/14/2002,10/14/2002,,,2.88,0.0421,1.5,,,,,,,,
1373,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/14/2002,10/14/2002,,,2.904,0.0278,1,,,,,,,,
1374,Cons,Head of the Tempe Canal,tempe,head of tempe canal,10/14/2002,10/14/2002,,,1.844,0.0291,1.6,,,,,,,,
1375,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/14/2002,10/14/2002,,,1.1555,0.0176,1.5,,,,,,,,
1376,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/14/2002,10/14/2002,,,0.806,0.0077,1,,,,,,,,
1377,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/16/2002,10/16/2002,,4.267,4.443,0.0463,1,,,,,,,,
1378,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/16/2002,10/16/2002,,4.562,4.566,0.0509,1.1,,,,,,,,
1379,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/16/2002,10/16/2002,,2.73,2.457,0.0481,2,,,,,,,,
1380,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/16/2002,10/16/2002,,3.354,3.329,0.0406,1.2,,,,,,,,
1381,R9A,Saguaro Lake near inlet,srp,saguaro-epi,10/16/2002,10/16/2002,,3.955,4.273,0.0577,1.4,,,,,,,,
1382,R9A-Dup,Saguaro Lake near inlet,srp,saguaro-epi,10/16/2002,10/16/2002,,5.529,4.397,0.061,1.4,,,,,,,,
1383,R9B,Saguaro Lake near inlet,srp,saguaro-hypo,10/16/2002,10/16/2002,,5.569,5.062,0.0615,1.2,,,,,,,,
1384,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/21/2002,10/21/2002,,,3.09,0.043,1.4,,,,,,,,
1385,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/21/2002,10/21/2002,,,2.898,0.024,0.8,,,,,,,,
1386,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/21/2002,10/21/2002,,,3.151,0.0436,1.4,,,,,,,,
1387,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/21/2002,10/21/2002,,,2.322,0.046,2,,,,,,,,
1388,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/21/2002,10/21/2002,,,3.069,0.0455,1.5,,,,,,,,
1389,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/21/2002,10/21/2002,,,3.64,0.0448,1.2,,,,,,,,
1390,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,10/21/2002,10/21/2002,,,3.095,0.0457,1.5,,,,,,,,
1391,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/21/2002,10/21/2002,,,3.111,0.0463,1.5,,,,,,,,
1392,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/21/2002,10/21/2002,,,3.081,0.0455,1.5,,,,,,,,
1393,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/21/2002,10/21/2002,,,3.149,0.0468,1.5,,,,,,,,
1394,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/21/2002,10/21/2002,,,3.043,0.0453,1.5,,,,,,,,
1395,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/21/2002,10/21/2002,,,2.478,0.0314,1.3,,,,,,,,
1396,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,10/21/2002,10/21/2002,,,3.106,0.0444,1.4,,,,,,,,
1397,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/21/2002,10/21/2002,,,3.379,0.0458,1.4,,,,,,,,
1398,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,10/21/2002,10/21/2002,,,3.063,0.0448,1.5,,,,,,,,
1399,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/21/2002,10/21/2002,,,3.538,0.0437,1.2,,,,,,,,
1400,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/21/2002,10/21/2002,,,2.36,0.0283,1.2,,,,,,,,
1401,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/21/2002,10/21/2002,,,2.448,0.046,1.9,,,,,,,,
1402,R19,Val Vista WTP treated water,srp,val vista-treated,10/21/2002,10/21/2002,,,2.156,0.0333,1.5,,,,,,,,
1403,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/21/2002,10/21/2002,,,3.075,0.0443,1.4,,,,,,,,
1404,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/21/2002,10/21/2002,,,2.878,0.0254,0.9,,,,,,,,
1405,Cons,Head of the Tempe Canal,tempe,head of tempe canal,10/21/2002,10/21/2002,,,2.507,0.0455,1.8,,,,,,,,
1406,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/21/2002,10/21/2002,,,1.632,0.0273,1.7,,,,,,,,
1407,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/21/2002,10/21/2002,,,1.231,0.0115,0.9,,,,,,,,
1408,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/28/2002,10/28/2002,,,3.403,0.0455,1.3,,,,,,,,
1409,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/28/2002,10/28/2002,,,3.083,0.0256,0.8,,,,,,,,
1410,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/28/2002,10/28/2002,,,3.304,0.0459,1.4,,,,,,,,
1411,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/28/2002,10/28/2002,,,1.877,0.0459,2.4,,,,,,,,
1412,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/28/2002,10/28/2002,,,2.348,0.046,2,,,,,,,,
1413,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/28/2002,10/28/2002,,,2.231,0.0485,2.2,,,,,,,,
1414,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,10/28/2002,10/28/2002,,,2.215,0.0474,2.1,,,,,,,,
1415,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/28/2002,10/28/2002,,,2.271,0.0475,2.1,,,,,,,,
1416,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/28/2002,10/28/2002,,,2.17,0.0492,2.3,,,,,,,,
1417,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/28/2002,10/28/2002,,,2.237,0.0499,2.2,,,,,,,,
1418,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/28/2002,10/28/2002,,,2.439,0.0522,2.1,,,,,,,,
1419,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/28/2002,10/28/2002,,,1.92,0.0326,1.7,,,,,,,,
1420,16th St.,AZ Canal at 16th Street,srp,az canal @ 16th st.,10/28/2002,10/28/2002,,,2.447,0.0544,2.2,,,,,,,,
1421,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/28/2002,10/28/2002,,,2.835,0.0542,1.9,,,,,,,,
1422,19th Av.,AZ Canal at 19th Av.,srp,az canal @ 19th av.,10/28/2002,10/28/2002,,,2.495,0.0488,2,,,,,,,,
1423,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/28/2002,10/28/2002,,,2.422,0.0492,2,,,,,,,,
1424,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/28/2002,10/28/2002,,,1.938,0.0316,1.6,,,,,,,,
1425,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/28/2002,10/28/2002,,,2.254,0.0449,2,,,,,,,,
1426,R19,Val Vista WTP treated water,srp,val vista-treated,10/28/2002,10/28/2002,,,1.709,0.0244,1.4,,,,,,,,
1618,R17,Deer Valley WTP treated water,srp,deer valley-treated,1/14/2003,1/14/2003,,,,,,,,,,,,,
1619,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/14/2003,1/14/2003,,,1.823,0.0281,1.5,,,,,,,,
1620,R19,Val Vista WTP treated water,srp,val vista-treated,1/14/2003,1/14/2003,,,1.622,0.0204,1.3,,,,,,,,
1621,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/14/2003,1/14/2003,,,,,,,,,,,,,
1622,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/14/2003,1/14/2003,,,,,,,,,,,,,
1623,R25,verde river at beeline highway,verde,verde @ beeline,1/14/2003,1/14/2003,,,1.132,0.0258,2.3,,,,,,,,
1624,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/14/2003,1/14/2003,,,,,,,,,,,,,
1625,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,1/14/2003,1/14/2003,,,,,,,,,,,,,
1626,UH In,Union Hills Inlet,cap,Union Hills Inlet,1/14/2003,1/14/2003,,,2.781,0.0371,1.3,,,,,,,,
1627,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,1/14/2003,1/14/2003,,,2.578,0.021,0.8,,,,,,,,
1628,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,1/14/2003,1/14/2003,,,,,,,,,,,,,
1629,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,1/14/2003,1/14/2003,,,,,,,,,,,,,
1630,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,1/14/2003,1/14/2003,,,2.58,0.0365,1.4,,,,,,,,
1631,HTC,Head of the Tempe Canal,tempe,head of tempe canal,1/14/2003,1/14/2003,,,0.986,0.0164,1.7,,,,,,,,
1632,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/14/2003,1/14/2003,,,0.667,0.0103,1.5,,,,,,,,
1633,SPT Out,Tempe's South Plant treated water,tempe,STP Out,1/14/2003,1/14/2003,,,0.721,0.0071,1,,,,,,,,
1634,Green In,Greenway WTP Inlet,srp,Green In,1/14/2003,1/14/2003,,,,,,,,,,,,,
1635,Green Out,Greenway WTP Outlet,srp,Green Out,1/14/2003,1/14/2003,,,,,,,,,,,,,
1636,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/14/2003,1/14/2003,,3.374,3.198,0.0425,1.3,,,,,,,,
1637,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/14/2003,1/14/2003,,3.381,3.398,0.0449,1.3,,,,,,,,
1638,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/14/2003,1/14/2003,,1.979,1.844,0.0364,2,,,,,,,,
1639,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/14/2003,1/14/2003,,2.354,1.867,0.043,2.3,,,,,,,,
1640,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/14/2003,1/14/2003,,4.291,3.738,0.0582,1.6,,,,,,,,
1641,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,1/14/2003,1/14/2003,,4.266,3.808,0.0589,1.5,,,,,,,,
1642,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/14/2003,1/14/2003,,4.013,3.715,0.0569,1.5,,,,,,,,
1643,R20,Verde River at Tangle,verde,verde abv horseshoe,1/14/2003,1/14/2003,,0.478,0.86,0.0184,2.1,,,,,,,,
1644,Havasu 1,Havasu lake Sample,,Havasu 1,1/14/2003,1/14/2003,,,,,,,,,,,,,
1645,Havasu 2,Havasu lake Sample,,Havasu 2,1/14/2003,1/14/2003,,,,,,,,,,,,,
1646,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,1/14/2003,1/14/2003,,,,,,,,,,,,,
1647,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/14/2003,1/14/2003,,,,,,,,,,,,,
1648,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/14/2003,1/14/2003,,,,,,,,,,,,,
1649,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,1/14/2003,1/14/2003,,,,,,,,,,,,,
1650,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/14/2003,1/14/2003,,,,,,,,,,,,,
1651,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/14/2003,1/14/2003,,,,,,,,,,,,,
1652,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/14/2003,1/14/2003,,,,,,,,,,,,,
1653,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,1/14/2003,1/14/2003,,,,,,,,,,,,,
1654,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,1/14/2003,1/14/2003,,,,,,,,,,,,,
1655,R3,Waddell Canal,cap,waddell canal,2/11/2003,2/11/2003,,,,,,,,,,,,,
1656,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/11/2003,2/11/2003,,,2.92,0.0408,1.4,,,,,,,,
1657,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/11/2003,2/11/2003,,,,,,,,,,,,,
1658,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/11/2003,2/11/2003,,,1.63,0.0294,1.8,,,,,,,,
1659,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/11/2003,2/11/2003,,,2.37,0.0349,1.5,,,,,,,,
1660,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/11/2003,2/11/2003,,,2.14,0.04,1.9,,,,,,,,
1661,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/11/2003,2/11/2003,,,,,,,,,,,,,
1662,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/11/2003,2/11/2003,,,2.13,0.0417,2,,,,,,,,
1663,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/11/2003,2/11/2003,,,1.73,0.0255,1.5,,,,,,,,
1664,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/11/2003,2/11/2003,,,1.92,0.0287,1.5,,,,,,,,
1665,R19,Val Vista WTP treated water,srp,val vista-treated,2/11/2003,2/11/2003,,,,,,,,,,,,,
1666,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/11/2003,2/11/2003,,,,,,,,,,,,,
1667,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/11/2003,2/11/2003,,,2.38,0.0443,1.9,,,,,,,,
1668,R25,verde river at beeline highway,verde,verde @ beeline,2/11/2003,2/11/2003,,,1.57,0.0287,1.8,,,,,,,,
1669,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/11/2003,2/11/2003,,,,,,,,,,,,,
1670,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2/11/2003,2/11/2003,,,2.06,0.0364,1.8,,,,,,,,
1671,UH In,Union Hills Inlet,cap,Union Hills Inlet,2/11/2003,2/11/2003,,,2.67,0.0355,1.3,,,,,,,,
1672,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2/11/2003,2/11/2003,,,2.57,0.0201,0.8,,,,,,,,
1673,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2/11/2003,2/11/2003,,,,,,,,,,,,,
1674,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2/11/2003,2/11/2003,,,,,,,,,,,,,
1675,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,2/11/2003,2/11/2003,,,2.69,0.0377,1.4,,,,,,,,
1676,HTC,Head of the Tempe Canal,tempe,head of tempe canal,2/11/2003,2/11/2003,,,0.83,0.0114,1.4,,,,,,,,
1677,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2/11/2003,2/11/2003,,,0.61,0.0063,1,,,,,,,,
1678,SPT Out,Tempe's South Plant treated water,tempe,STP Out,2/11/2003,2/11/2003,,,0.68,0.0048,0.7,,,,,,,,
1679,Green In,Greenway WTP Inlet,srp,Green In,2/11/2003,2/11/2003,,,,,,,,,,,,,
1680,Green Out,Greenway WTP Outlet,srp,Green Out,2/11/2003,2/11/2003,,,,,,,,,,,,,
1681,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/11/2003,2/11/2003,,2.449,3.03,0.0386,1.3,,,,,,,,
1682,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/11/2003,2/11/2003,,3.24,3.25,0.0386,1.2,,,,,,,,
1683,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/11/2003,2/11/2003,,1.563,1.71,0.033,1.9,,,,,,,,
1684,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/11/2003,2/11/2003,,1.512,1.69,0.0341,2,,,,,,,,
1685,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/11/2003,2/11/2003,,3.819,3.88,0.0551,1.4,,,,,,,,
1686,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,2/11/2003,2/11/2003,,3.962,3.94,0.0809,2.1,,,,,,,,
1687,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/11/2003,2/11/2003,,3.99,3.92,0.0547,1.4,,,,,,,,
1688,R20,Verde River at Tangle,verde,verde abv horseshoe,2/11/2003,2/11/2003,,6.635,6.5,0.2756,4.2,,,,,,,,
1689,Havasu 1,Havasu lake Sample,,Havasu 1,2/11/2003,2/11/2003,,,,,,,,,,,,,
1690,Havasu 2,Havasu lake Sample,,Havasu 2,2/11/2003,2/11/2003,,,,,,,,,,,,,
1691,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,2/11/2003,2/11/2003,,,,,,,,,,,,,
1692,R1,CAP canal above Waddell Canal,cap,cap-siphon,2/11/2003,2/11/2003,,,,,,,,,,,,,
1693,R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/11/2003,2/11/2003,,,,,,,,,,,,,
1694,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,2/11/2003,2/11/2003,,,,,,,,,,,,,
1695,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/11/2003,2/11/2003,,,,,,,,,,,,,
1696,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/11/2003,2/11/2003,,,,,,,,,,,,,
1697,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/11/2003,2/11/2003,,,,,,,,,,,,,
1698,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,2/11/2003,2/11/2003,,,,,,,,,,,,,
1699,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,2/11/2003,2/11/2003,,,,,,,,,,,,,
1700,R3,Waddell Canal,cap,waddell canal,3/11/2003,3/11/2003,,,,,,,,,,,,,
1701,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/11/2003,3/11/2003,,,2.744,0.0449,1.6,,,,,,,,
1702,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/11/2003,3/11/2003,,,,,,,,,,,,,
1703,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/11/2003,3/11/2003,,,1.395,0.0333,2.4,,,,,,,,
1704,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/11/2003,3/11/2003,,,2.067,0.0344,1.7,,,,,,,,
1705,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/11/2003,3/11/2003,,,2.011,0.0385,1.9,,,,,,,,
1706,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/11/2003,3/11/2003,,,,,,,,,,,,,
1707,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/11/2003,3/11/2003,,,1.861,0.0351,1.9,,,,,,,,
1708,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/11/2003,3/11/2003,,,1.725,0.0153,0.9,,,,,,,,
1709,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/11/2003,3/11/2003,,,1.475,0.0269,1.8,,,,,,,,
1710,R19,Val Vista WTP treated water,srp,val vista-treated,3/11/2003,3/11/2003,,,1.269,0.0182,1.4,,,,,,,,
1711,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/11/2003,3/11/2003,,,,,,,,,,,,,
1712,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/11/2003,3/11/2003,,,1.936,0.0402,2.1,,,,,,,,
1713,R25,verde river at beeline highway,verde,verde @ beeline,3/11/2003,3/11/2003,,,1.295,0.0299,2.3,,,,,,,,
1714,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/11/2003,3/11/2003,,,,,,,,,,,,,
1715,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,3/11/2003,3/11/2003,,,2.287,0.0443,1.9,,,,,,,,
1716,UH In,Union Hills Inlet,cap,Union Hills Inlet,3/11/2003,3/11/2003,,,2.554,0.0354,1.4,,,,,,,,
1717,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,3/11/2003,3/11/2003,,,2.511,0.0208,0.8,,,,,,,,
1718,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,3/11/2003,3/11/2003,,,,,,,,,,,,,
1719,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,3/11/2003,3/11/2003,,,,,,,,,,,,,
1720,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,3/11/2003,3/11/2003,,,2.523,0.0357,1.4,,,,,,,,
1721,HTC,Head of the Tempe Canal,tempe,head of tempe canal,3/11/2003,3/11/2003,,,0.7594,0.0113,1.5,,,,,,,,
1722,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/11/2003,3/11/2003,,,0.4332,0.0064,1.5,,,,,,,,
1723,SPT Out,Tempe's South Plant treated water,tempe,STP Out,3/11/2003,3/11/2003,,,0.5523,0.0088,1.6,,,,,,,,
1724,Green In,Greenway WTP Inlet,srp,Green In,3/11/2003,3/11/2003,,,,,,,,,,,,,
1725,Green Out,Greenway WTP Outlet,srp,Green Out,3/11/2003,3/11/2003,,,,,,,,,,,,,
1726,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/11/2003,3/11/2003,,2.995,2.938,0.0329,1.1,,,,,,,,
1727,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/11/2003,3/11/2003,,3.061,2.974,0.0292,1,,,,,,,,
1728,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/11/2003,3/11/2003,,4.274,4.5,0.1365,3,,,,,,,,
1729,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/11/2003,3/11/2003,,1.666,1.597,0.0312,2,,,,,,,,
1730,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/11/2003,3/11/2003,,3.982,3.637,0.0454,1.2,,,,,,,,
1731,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,3/11/2003,3/11/2003,,3.801,3.738,0.0465,1.2,,,,,,,,
1732,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/11/2003,3/11/2003,,4.338,3.662,0.0445,1.2,,,,,,,,
1733,R20,Verde River at Tangle,verde,verde abv horseshoe,3/11/2003,3/11/2003,,5.31,5.28,0.1453,2.8,,,,,,,,
1734,Havasu 1,Havasu lake Sample,,Havasu 1,3/11/2003,3/11/2003,,,,,,,,,,,,,
1735,Havasu 2,Havasu lake Sample,,Havasu 2,3/11/2003,3/11/2003,,,,,,,,,,,,,
1736,Roosvelt,SRP above Roosevelt Lake,,Above Roosevelt,3/11/2003,3/11/2003,,,,,,,,,,,,,
1737,R1,CAP canal above Waddell Canal,cap,cap-siphon,3/11/2003,3/11/2003,,,,,,,,,,,,,
1738,R4,Cap Canal at 7th St.,cap,cap @ 7th st,3/11/2003,3/11/2003,,,,,,,,,,,,,
1739,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,3/11/2003,3/11/2003,,,,,,,,,,,,,
1740,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,3/11/2003,3/11/2003,,,,,,,,,,,,,
1741,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/11/2003,3/11/2003,,,,,,,,,,,,,
1742,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/11/2003,3/11/2003,,,,,,,,,,,,,
1743,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,3/11/2003,3/11/2003,,,,,,,,,,,,,
1744,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,3/11/2003,3/11/2003,,,,,,,,,,,,,
1745,R3,Waddell Canal,cap,waddell canal,4/15/2003,4/15/2003,,,3.08,0.0399,1.3,,,,,,,,
1746,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/15/2003,4/15/2003,,,3.11,0.0457,1.5,,,,,,,,
1747,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/15/2003,4/15/2003,,,3.04,0.0394,1.3,,,,,,,,
1748,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/15/2003,4/15/2003,,,2.4,0.0558,2.3,,,,,,,,
1749,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/15/2003,4/15/2003,,,2.75,0.0453,1.6,,,,,,,,
1750,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/15/2003,4/15/2003,,,2.99,0.054,1.8,,,,,,,,
1751,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/15/2003,4/15/2003,,,2.65,0.0338,1.3,,,,,,,,
