ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
1002,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/11/2006,4.2,
1003,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/11/2006,4.1,
1004,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,7/11/2006,4.1,
1005,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/11/2006,7.4,
1006,R20,Verde River at Tangle,verde,verde abv horseshoe,7/11/2006,19.4,
1007,Havasu 1,Havasu lake Sample,,Havasu 1,7/11/2006,2.0,
1008,Havasu 2,Havasu lake Sample,,Havasu 2,7/11/2006,,
1009,R3,Waddell Canal,cap,waddell canal,8/14/2006,3.4,
1010,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/14/2006,5.0,
1011,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/14/2006,,
1012,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/14/2006,3.4,
1013,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/14/2006,4.6,
1014,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/14/2006,4.4,
1015,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/14/2006,0.0,
1016,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/14/2006,5.3,
1017,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/14/2006,0,
1018,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/14/2006,4.3,
1019,R19,Val Vista WTP treated water,srp,val vista-treated,8/14/2006,0,
1020,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/14/2006,5.2,
1021,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/14/2006,4.7,
1022,R25,verde river at beeline highway,verde,verde @ beeline,8/14/2006,9.4,
1023,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/14/2006,4.8,
1024,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/14/2006,5.3,
1025,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/14/2006,3.5,
1026,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/14/2006,0.0,
1027,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/14/2006,5.0,
764,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/17/2006,4.6,
765,R17,Deer Valley WTP treated water,srp,deer valley-treated,1/17/2006,0.0,
766,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/17/2006,6.5,
767,R19,Val Vista WTP treated water,srp,val vista-treated,1/17/2006,0.0,
768,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/17/2006,3.7,
769,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/17/2006,4.5,
770,R25,verde river at beeline highway,verde,verde @ beeline,1/17/2006,6.9,
771,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,1/17/2006,4.6,
772,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,1/17/2006,3.9,
773,UH In,Union Hills Inlet,cap,Union Hills Inlet,1/17/2006,0.0,
774,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,1/17/2006,0.0,
775,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,1/17/2006,4.8,
776,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,1/17/2006,2.4,
777,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,1/17/2006,5.8,
778,HTC,Head of the Tempe Canal,tempe,head of tempe canal,1/17/2006,5.1,
779,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/17/2006,,
780,SPT Out,Tempe's South Plant treated water,tempe,STP Out,1/17/2006,,
781,Green In,Greenway WTP Inlet,srp,Green In,1/17/2006,,
782,Green Out,Greenway WTP Outlet,srp,Green Out,1/17/2006,,
783,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/17/2006,3.0,
784,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/17/2006,3.2,
785,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/17/2006,9.4,
786,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/17/2006,9.5,
787,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/17/2006,3.8,
788,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,1/17/2006,3.4,
789,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/17/2006,3.8,
790,R20,Verde River at Tangle,verde,verde abv horseshoe,1/17/2006,17.4,
791,Havasu 1,Havasu lake Sample,,Havasu 1,1/17/2006,0.0,
792,Havasu 2,Havasu lake Sample,,Havasu 2,1/17/2006,,
793,R3,Waddell Canal,cap,waddell canal,2/13/2006,0.0,
794,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/13/2006,3.8,
795,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/13/2006,,
796,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/13/2006,10.3,
797,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/13/2006,9.9,
798,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/13/2006,11.0,
799,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/13/2006,3.1,
800,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/13/2006,9.2,
801,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/13/2006,0.0,
802,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/13/2006,10.2,
803,R19,Val Vista WTP treated water,srp,val vista-treated,2/13/2006,4.5,
804,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/13/2006,10.6,
805,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/13/2006,10.7,
806,R25,verde river at beeline highway,verde,verde @ beeline,2/13/2006,10.6,
807,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/13/2006,10.3,
808,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2/13/2006,10.6,
809,UH In,Union Hills Inlet,cap,Union Hills Inlet,2/13/2006,0.0,
810,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2/13/2006,0.0,
811,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2/13/2006,,
812,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2/13/2006,,
813,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,2/13/2006,9.9,
814,HTC,Head of the Tempe Canal,tempe,head of tempe canal,2/13/2006,10.1,
815,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2/13/2006,10.3,
816,SPT Out,Tempe's South Plant treated water,tempe,STP Out,2/13/2006,5.5,
817,Green In,Greenway WTP Inlet,srp,Green In,2/13/2006,,
818,Green Out,Greenway WTP Outlet,srp,Green Out,2/13/2006,,
819,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/13/2006,3.0,
820,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/13/2006,3.2,
821,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/13/2006,10.2,
822,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/13/2006,10.7,
823,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/13/2006,3.8,
824,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,2/13/2006,3.8,
825,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/13/2006,4.1,
826,R20,Verde River at Tangle,verde,verde abv horseshoe,2/13/2006,17.1,
827,Havasu 1,Havasu lake Sample,,Havasu 1,2/13/2006,0.0,
828,Havasu 2,Havasu lake Sample,,Havasu 2,2/13/2006,,
829,R3,Waddell Canal,cap,waddell canal,3/13/2006,0.0,
830,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/13/2006,3.6,
831,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/13/2006,0.0,
832,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/13/2006,3.9,
833,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/13/2006,2.9,
834,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/13/2006,,
835,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/13/2006,,
