ID,Site Name,Site Location,Cluster Name,Site Acronym,Date,Mib(ng/L),Geosmin(ng/L),TP (ug/L),DOC (mg/L),UVA(cm-1),Suva(L/mg-m),Conductance(us/cm),TDN (mg/L)
915,APA1A,"Apache Lake, upper",SRP,"Apache, eppi, upper",11/6/2017,6.15690001607337,9.68923063833269,,4.045,0.091,,1742,0.5189
916,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",11/6/2017,7.47697434993568,2.00907214102809,,4.364,0.099,,1718,0.7649
917,APA2A,"Apache Lake, lower",SRP,"Apache, eppi, lower",11/6/2017,7.7652041326202,8.2585268268348,,4.59,0.091,,1737,0.5831
918,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",11/6/2017,5.59007822818177,2.89464810684495,,3.815,0.09,,1721,0.5105
919,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, eppi, upper",11/6/2017,4.9241680406003,0.280312816783746,,4.803,0.112,,1455,0.6157
920,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",11/6/2017,4.28626764381263,0.366405292583318,,4.675,0.113,,1456,0.5591
921,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, eppi, lower",11/6/2017,5.37864948477056,0.382279176407534,,4.556,0.104,,1295,0.5071
922,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",11/6/2017,0.840461015083731,0.840194036842571,,4.154,0.122,,1362,0.5226
935,Can1A,"Canyon Lake, upper",SRP,"Canyon, eppi, upper",2/5/2018,,,49,4.042,0.087,,1740,
936,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",2/5/2018,,,45,3.773,0.085,,1741,
937,Can2A,"Canyon Lake, lower",SRP,"Canyon, eppi, lower",2/5/2018,,,38,3.893,0.087,,1740,
938,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",2/5/2018,,,41,3.636,0.088,,1733,
939,APA1A,"Apache Lake, upper",SRP,"Apache, eppi, upper",2/5/2018,,,44,3.529,0.085,,1732,
940,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",2/5/2018,,,,,,,,
941,APA2A,"Apache Lake, lower",SRP,"Apache, eppi, lower",2/5/2018,,,,,,,,
942,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",2/5/2018,,,,,,,,
943,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, eppi, upper",2/5/2018,,,66,3.902,0.104,,1508,
944,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",2/5/2018,,,31,3.745,0.103,,1540,
945,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, eppi, lower",2/5/2018,,,31,4.237,0.104,,1473,
946,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",2/5/2018,,,31,4.184,0.104,,1497,
947,Can1A,"Canyon Lake, upper",SRP,"Canyon, eppi, upper",5/8/2018,1.00336800467381,1.46609824830883,33,4.611,0.083,1.80004337453915,1745,0.5189
948,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",5/8/2018,1.5485076978389,73.7930615845739,27,5.915,0.099,1.67371090448014,1764,1.381
949,Can2A,"Canyon Lake, lower",SRP,"Canyon, eppi, lower",5/8/2018,1.42124876016243,13.21204767183,28,4.76,0.084,1.76470588235294,1747,0.5851
950,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",5/8/2018,1.32158994378742,34.2418108850601,25,4.702,0.084,1.78647384091876,1750,0.6156
951,APA1A,"Apache Lake, upper",SRP,"Apache, eppi, upper",5/8/2018,1.86643125726277,27.7009652879767,33,5.279,0.082,1.55332449327524,1682,0.4398
952,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",5/8/2018,1.00336800467381,9.29069677870384,24,6.28,0.096,1.52866242038217,1646,1.287
953,APA2A,"Apache Lake, lower",SRP,"Apache, eppi, lower",5/8/2018,1.88791459492445,40.5848203886457,27,4.762,0.082,1.72196556068879,1718,0.3361
954,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",5/8/2018,1.00336800467381,4.42027109260364,31,4.596,0.083,1.8059181897302,1739,0.7047
955,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, eppi, upper",5/8/2018,2.20285435745087,17.7218007989256,20,5.016,0.091,1.81419457735247,1763,0.4027
956,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",5/8/2018,1.00336800467381,2.75291480953476,31,4.89,0.097,1.98364008179959,1691,0.5397
957,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, eppi, lower",5/8/2018,2.09484090976298,3.5810227184977,15,5.526,0.091,1.64676076728194,1606,0.6028
958,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",5/8/2018,1.00336800467381,1.12055815445681,21,4.848,0.093,1.91831683168317,1558,0.8126
959,Can1A,"Canyon Lake, upper",SRP,"Canyon, eppi, upper",8/6/2018,,,,,,,,
960,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",8/6/2018,,,,,,,,
961,Can2A,"Canyon Lake, lower",SRP,"Canyon, eppi, lower",8/6/2018,,,,,,,,
962,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",8/6/2018,,,,,,,,
963,APA1A,"Apache Lake, upper",SRP,"Apache, eppi, upper",8/6/2018,1.7655299420449,20.1668006492281,34,5.014,0.092,1.8348623853211,1679,0.3549
964,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",8/6/2018,0.952235041481054,4.11375843196728,25,4.746,0.086,1.81205225453013,1682,0.4779
965,APA2A,"Apache Lake, lower",SRP,"Apache, eppi, lower",8/6/2018,1.56054311624176,15.6891088250569,23,4.739,0.084,1.7725258493353,1685,0.3067
966,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",8/6/2018,1.06238645278055,4.10178866099601,27,4.597,0.087,1.89253861213835,1676,0.4957
967,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, eppi, upper",8/6/2018,4.11661280372814,0.855237655266218,28,5.367,0.096,1.78870877585243,2100,0.4308
968,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",8/6/2018,4.05055289835611,0.96861798585524,45,6.037,0.099,1.63988736127216,2100,0.6396
969,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, eppi, lower",8/6/2018,6.5359214693202,0.929633106789073,10,5.398,0.083,1.53760652093368,1903,0.4575
970,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",8/6/2018,2.18571425818175,1.84573620313923,10,5.515,0.099,1.79510426110607,1695,0.5897
971,Can1A,"Canyon Lake, upper",SRP,"Canyon, eppi, upper",2/25/2019,0,0,0.06,5.025,0.171,3.98,1748,0
972,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",2/25/2019,,,,,,,,
973,Can2A,"Canyon Lake, lower",SRP,"Canyon, eppi, lower",2/25/2019,,,,,,,,
974,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",2/25/2019,,,,,,,,
975,APA1A,"Apache Lake, upper",SRP,"Apache, eppi, upper",2/25/2019,,,,,,,,
976,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",2/25/2019,0,0,0.032,3.66,0.087,2.351,1688,0.305
977,APA2A,"Apache Lake, lower",SRP,"Apache, eppi, lower",2/25/2019,,,,,,,,
978,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",2/25/2019,,,,,,,,
979,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, eppi, upper",2/25/2019,0,0,0.031,3.622,0.124,3.44,1197,0.4712
980,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",2/25/2019,,,,,,,,
981,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, eppi, lower",2/25/2019,,,,,,,,
982,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",2/25/2019,,,,,,,,
983,Can1A,"Canyon Lake, upper",SRP,"Canyon, eppi, upper",5/7/2019,31.9058894736066,35.5679102214225,,5.75,0.114,1.98,,0.9117
984,Can1B,"Canyon Lake, upper",SRP,"Canyon, hypo, upper",5/7/2019,1.54617211796878,2.79568464282324,,5.468,0.109,1.645,,1.098
985,Can2A,"Canyon Lake, lower",SRP,"Canyon, eppi, lower",5/7/2019,17.3752599817183,11.518331959951,,5.593,0.119,2.127,,0.7634
986,Can2B,"Canyon Lake, lower",SRP,"Canyon, hypo, lower",5/7/2019,-0.852674704622395,1.12895409442894,,4.965,0.1,2.014,,0.7036
987,APA1A,"Apache Lake, upper",SRP,"Apache, eppi, upper",5/7/2019,54.8667171519201,19.0703643303716,,4.707,0.072,1.529,1640,0.6329
988,APA1B,"Apache Lake, upper",SRP,"Apache, hypo, upper",5/7/2019,2.4197582824649,0.34279469633011,,4.233,0.076,1.795,1664,0.6762
989,APA2A,"Apache Lake, lower",SRP,"Apache, eppi, lower",5/7/2019,34.0192466259251,20.5110513566797,,4.536,0.074,1.631,,0.5448
990,APA2B,"Apache Lake, lower",SRP,"Apache, hypo, lower",5/7/2019,1.71673232783191,2.92323128881965,,4.346,0.08,1.84,,0.5427
991,Roos1A,"Roosevelt Lake, upper",SRP,"Roosevelt, eppi, upper",5/7/2019,-0.852674704622395,13.7737742516099,,4.47,0.111,2.48322147651007,,0.5106
992,Roos1B,"Roosevelt Lake, upper",SRP,"Roosevelt, hypo, upper",5/7/2019,-0.852674704622395,-2.38016732976395,,4.965,0.136,2.73917421953676,,0.8061
993,Roos2A,"Roosevelt Lake, lower",SRP,"Roosevelt, eppi, lower",5/7/2019,-0.852674704622395,-0.920416391954566,,4.87,0.119,2.4435318275154,,0.5196
994,Roos2B,"Roosevelt Lake, lower",SRP,"Roosevelt, hypo, lower",5/7/2019,-0.852674704622395,-2.38016732976395,,4.421,0.099,2.25,1666,0.7635
