ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments,Field1
179,"R3","Waddell Canal","cap","waddell canal","03/16/00 00:00:00","03/01/00 00:00:00",,2.479,2.444,0.0413,0.0169,40.96,443.37,40.21,37.7,22.01,1.827,,
180,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","03/16/00 00:00:00","03/01/00 00:00:00",,2.499,2.506,0.0415,0.01656,40.13,445.04,39.19,37.08,21.36,1.835,,
181,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st","03/16/00 00:00:00","03/01/00 00:00:00","field duplicate",2.508,2.432,0.0406,0.01669,39.21,441.54,38.69,35.96,21.32,1.815,,
182,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","03/16/00 00:00:00","03/01/00 00:00:00",,1.748,1.833,0.0436,0.02379,51.41,450.31,51.4,48.82,30.02,1.712,,
183,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","03/16/00 00:00:00","03/01/00 00:00:00",,1.484,1.513,0.0377,0.02492,42.23,445.42,42.13,39.78,23.83,1.768,,
184,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","03/16/00 00:00:00","03/01/00 00:00:00",,1.739,1.725,0.0433,0.0251,52.27,444.47,52.19,49.24,30.1,1.734,,
185,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","03/16/00 00:00:00","03/01/00 00:00:00",,1.702,1.711,0.0433,0.02531,50.43,448.54,50.31,47.71,28.82,1.746,,
186,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","03/17/00 00:00:00","03/01/00 00:00:00",,2.657,2.638,0.0466,0.01766,51.48,445.49,50.92,48.07,28.97,1.758,,
187,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","03/17/00 00:00:00","03/01/00 00:00:00",,3.301,2.876,0.0497,0.01728,48.92,443.82,48.9,45.64,27.44,1.782,,
188,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","03/17/00 00:00:00","03/01/00 00:00:00",,3.268,2.733,0.0497,0.01819,56.23,445.54,55.38,52.81,31.32,1.768,,
189,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","03/17/00 00:00:00","03/01/00 00:00:00",,2.056,1.973,0.0356,0.01804,46.14,449.88,46.41,42.91,26.06,1.781,,
190,"R11","CAP Canal at Cross-connect","cap","cap @ x con","03/17/00 00:00:00","03/01/00 00:00:00",,2.551,2.55,0.0405,0.01588,39.79,445.07,39.4,37.01,21.49,1.833,,
191,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","03/17/00 00:00:00","03/01/00 00:00:00",,1.288,1.179,0.0273,0.02316,35.96,450.66,35.94,33.95,21.24,1.692,,
192,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","03/17/00 00:00:00","03/01/00 00:00:00",,1.917,1.908,0.0349,0.01829,38.46,443.17,38.29,35.97,21.68,1.766,,
193,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","03/15/00 00:00:00","03/01/00 00:00:00",,2.058,2.038,0.038,0.01865,37.92,440.98,37.2,35.14,21.27,1.749,,
194,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","03/15/00 00:00:00","03/01/00 00:00:00",,1.668,1.857,0.0183,0.009849999999999999,21.56,439.07,20.91,18.77,10.57,1.978,,
195,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","03/15/00 00:00:00","03/01/00 00:00:00",,1.991,2.02,0.0377,0.01866,39.81,442.19,39.66,37.65,22.03,1.8,,
196,"R17","Deer Valley WTP treated water","srp","deer valley-treated","03/15/00 00:00:00","03/01/00 00:00:00",,1.866,1.672,0.0248,0.01483,34.67,441.31,34.13,31.81,18.5,1.845,,
197,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","03/15/00 00:00:00","03/01/00 00:00:00",,2.063,2.089,0.0353,0.0169,35.9,445.48,35.4,33.38,19.6,1.806,,
198,"R19","Val Vista WTP treated water","srp","val vista-treated","03/15/00 00:00:00","03/01/00 00:00:00",,1.964,1.966,0.0291,0.0148,33.37,445.7,33,30.92,19.75,1.671,,
199,"field_blank","field blank",,,"03/15/00 00:00:00","03/01/00 00:00:00","field blank",,,,,,,,,,,,
200,"lab_blank","laboratory blank",,,"03/15/00 00:00:00","03/01/00 00:00:00","lab blank",,,,,,,,,,,,
201,"R20","Verde River at Tangle","verde","verde abv horseshoe","03/30/00 00:00:00","03/01/00 00:00:00",,1.092,0.953,0.0236,0.024763903,32.17,446.52,31.51,30.43,18.62,1.69226638,,
202,"R1","CAP canal above Waddell Canal","cap","cap-siphon","04/13/00 00:00:00","04/01/00 00:00:00",,2.544,2.686,0.0413,0.015376024,39.68,444.02,38.64,36.55,20.97,1.842632332,,
203,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","04/13/00 00:00:00","04/01/00 00:00:00",,2.959,2.739,0.0415,0.015151515,35.38,445.53,34.57,32.62,19.03,1.81660536,,
