ID,site number,site location,cluster name,site acronym,date,month,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments,Field1
2725,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2726,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2727,"R1","CAP canal above Waddell Canal","cap","cap-siphon","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2728,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2729,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2730,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2731,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2732,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2733,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2734,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","11/03/03 00:00:00","11/03/03 00:00:00",,,,,,,,,,,,,
2735,"R3","Waddell Canal","cap","waddell canal","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2736,"UH In","Union Hills Inlet","cap","Union Hills Inlet","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2737,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2738,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2739,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2740,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2741,"R19","Val Vista WTP treated water","srp","val vista-treated","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2742,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2743,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2744,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2745,"R25","verde river at beeline highway","verde","verde @ beeline","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2746,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2747,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2748,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2749,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2750,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2751,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2752,"R17","Deer Valley WTP treated water","srp","deer valley-treated","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2753,"Green In","Greenway WTP Inlet","srp","Green In","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2754,"Green Out","Greenway WTP Outlet","srp","Green Out","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2755,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2756,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2757,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2758,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2759,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2760,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2761,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2762,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2763,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2764,"R20","Verde River at Tangle","verde","verde abv horseshoe","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2765,"Havasu 1","Havasu lake Sample",,"Havasu 1","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2766,"Havasu 2","Havasu lake Sample",,"Havasu 2","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2767,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2768,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2769,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2770,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2771,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2772,"R1","CAP canal above Waddell Canal","cap","cap-siphon","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2773,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2774,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2775,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2776,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2777,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2778,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2779,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","11/10/03 00:00:00","11/10/03 00:00:00",,,,,,,,,,,,,
2780,"R3","Waddell Canal","cap","waddell canal","11/17/03 00:00:00","11/17/03 00:00:00",,,2.54,0.0378,1.5,,,,,,,,
2781,"UH In","Union Hills Inlet","cap","Union Hills Inlet","11/17/03 00:00:00","11/17/03 00:00:00",,,2.46,0.0392,1.6,,,,,,,,
2782,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","11/17/03 00:00:00","11/17/03 00:00:00",,,2.4,0.025,1,,,,,,,,
2783,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/17/03 00:00:00","11/17/03 00:00:00",,,2.55,0.0377,1.5,,,,,,,,
2784,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2785,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2786,"R19","Val Vista WTP treated water","srp","val vista-treated","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2787,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2788,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2789,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2790,"R25","verde river at beeline highway","verde","verde @ beeline","11/17/03 00:00:00","11/17/03 00:00:00",,,2.39,0.0546,2.3,,,,,,,,
2791,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/17/03 00:00:00","11/17/03 00:00:00",,,3.03,0.0567,1.9,,,,,,,,
2792,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/17/03 00:00:00","11/17/03 00:00:00",,,2.51,0.06,2.4,,,,,,,,
2793,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/17/03 00:00:00","11/17/03 00:00:00",,,2.61,0.0441,1.7,,,,,,,,
2794,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","11/17/03 00:00:00","11/17/03 00:00:00",,,2.5,0.0451,1.8,,,,,,,,
2795,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","11/17/03 00:00:00","11/17/03 00:00:00",,,1.86,0.0253,1.4,,,,,,,,
2796,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","11/17/03 00:00:00","11/17/03 00:00:00",,,2.5,0.0424,1.7,,,,,,,,
2797,"R17","Deer Valley WTP treated water","srp","deer valley-treated","11/17/03 00:00:00","11/17/03 00:00:00",,,2.03,0.0158,0.8,,,,,,,,
2798,"Green In","Greenway WTP Inlet","srp","Green In","11/17/03 00:00:00","11/17/03 00:00:00",,,2.08,0.0399,1.9,,,,,,,,
2799,"Green Out","Greenway WTP Outlet","srp","Green Out","11/17/03 00:00:00","11/17/03 00:00:00",,,1.96,0.0241,1.2,,,,,,,,
2800,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","11/17/03 00:00:00","11/17/03 00:00:00",,,2.51,0.0509,2,,,,,,,,
2801,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","11/17/03 00:00:00","11/17/03 00:00:00",,,2.29,0.0298,1.3,,,,,,,,
2802,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","11/17/03 00:00:00","11/17/03 00:00:00",,3.16,3.12,0.0418,1.3,,,,,,,,
2803,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","11/17/03 00:00:00","11/17/03 00:00:00",,3.28,3.54,0.0465,1.3,,,,,,,,
2804,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","11/17/03 00:00:00","11/17/03 00:00:00",,3.51,3.45,0.0793,2.3,,,,,,,,
2805,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","11/17/03 00:00:00","11/17/03 00:00:00",,3.54,3.55,0.0824,2.3,,,,,,,,
2806,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","11/17/03 00:00:00","11/17/03 00:00:00",,4.01,3.99,0.0707,1.8,,,,,,,,
2807,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","11/17/03 00:00:00","11/17/03 00:00:00",,3.95,3.79,0.0701,1.8,,,,,,,,
2808,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","11/17/03 00:00:00","11/17/03 00:00:00",,4.06,4.19,0.0709,1.7,,,,,,,,
2809,"R20","Verde River at Tangle","verde","verde abv horseshoe","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2810,"Havasu 1","Havasu lake Sample",,"Havasu 1","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2811,"Havasu 2","Havasu lake Sample",,"Havasu 2","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2812,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2813,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2814,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2815,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2816,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2817,"R1","CAP canal above Waddell Canal","cap","cap-siphon","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2818,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2819,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2820,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2821,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2822,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2823,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2824,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","11/17/03 00:00:00","11/17/03 00:00:00",,,,,,,,,,,,,
2825,"R3","Waddell Canal","cap","waddell canal","12/01/03 00:00:00","12/01/03 00:00:00",,,2.66,0.0354,1.3,,,,,,,,
2826,"UH In","Union Hills Inlet","cap","Union Hills Inlet","12/01/03 00:00:00","12/01/03 00:00:00",,,2.6,0.0366,1.4,,,,,,,,
2827,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","12/01/03 00:00:00","12/01/03 00:00:00",,,2.36,0.0202,0.9,,,,,,,,
2828,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/01/03 00:00:00","12/01/03 00:00:00",,,2.72,0.0388,1.4,,,,,,,,
2829,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2830,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2831,"R19","Val Vista WTP treated water","srp","val vista-treated","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2832,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2833,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2834,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2835,"R25","verde river at beeline highway","verde","verde @ beeline","12/01/03 00:00:00","12/01/03 00:00:00",,,2.84,0.0626,2.2,,,,,,,,
2836,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/01/03 00:00:00","12/01/03 00:00:00",,,2.7,0.0485,1.8,,,,,,,,
2837,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/01/03 00:00:00","12/01/03 00:00:00",,,2.72,0.0605,2.2,,,,,,,,
2838,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/01/03 00:00:00","12/01/03 00:00:00",,,2.67,0.0551,2.1,,,,,,,,
2839,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/01/03 00:00:00","12/01/03 00:00:00",,,2.58,0.0522,2,,,,,,,,
2840,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/01/03 00:00:00","12/01/03 00:00:00",,,1.63,0.0242,1.5,,,,,,,,
2841,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/01/03 00:00:00","12/01/03 00:00:00",,,2.48,0.0499,2,,,,,,,,
2842,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/01/03 00:00:00","12/01/03 00:00:00",,,2.12,0.0202,1,,,,,,,,
2843,"Green In","Greenway WTP Inlet","srp","Green In","12/01/03 00:00:00","12/01/03 00:00:00",,,1.5,0.0272,1.8,,,,,,,,
2844,"Green Out","Greenway WTP Outlet","srp","Green Out","12/01/03 00:00:00","12/01/03 00:00:00",,,1.44,0.0176,1.2,,,,,,,,
2845,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","12/01/03 00:00:00","12/01/03 00:00:00",,,2.46,0.0506,2.1,,,,,,,,
2846,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","12/01/03 00:00:00","12/01/03 00:00:00",,,2.23,0.0374,1.7,,,,,,,,
2847,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","12/01/03 00:00:00","12/01/03 00:00:00",,3.6,3.49,0.0454,1.3,,,,,,,,
2848,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","12/01/03 00:00:00","12/01/03 00:00:00",,3.99,3.85,0.051,1.3,,,,,,,,
2849,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","12/01/03 00:00:00","12/01/03 00:00:00",,3.69,3.52,0.0779,2.2,,,,,,,,
2850,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","12/01/03 00:00:00","12/01/03 00:00:00",,3.79,3.82,0.0805,2.1,,,,,,,,
2851,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","12/01/03 00:00:00","12/01/03 00:00:00",,4.26,4.13,0.07199999999999999,1.7,,,,,,,,
2852,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","12/01/03 00:00:00","12/01/03 00:00:00",,4.4,4.12,0.073,1.8,,,,,,,,
2853,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","12/01/03 00:00:00","12/01/03 00:00:00",,4.77,4.51,0.0741,1.6,,,,,,,,
2854,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/01/03 00:00:00","12/01/03 00:00:00",,0.93,0.95,0.0244,2.6,,,,,,,,
2855,"Havasu 1","Havasu lake Sample",,"Havasu 1","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2856,"Havasu 2","Havasu lake Sample",,"Havasu 2","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2857,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2858,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2859,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2860,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2861,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2862,"R1","CAP canal above Waddell Canal","cap","cap-siphon","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2863,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2864,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2865,"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2866,"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2867,"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2868,"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2869,"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","12/01/03 00:00:00","12/01/03 00:00:00",,,,,,,,,,,,,
2870,"R3","Waddell Canal","cap","waddell canal","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2871,"UH In","Union Hills Inlet","cap","Union Hills Inlet","12/15/03 00:00:00","12/15/03 00:00:00",,,2.82,0.0335,1.2,,,,,,,,
2872,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","12/15/03 00:00:00","12/15/03 00:00:00",,,2.47,0.0189,0.8,,,,,,,,
2873,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/15/03 00:00:00","12/15/03 00:00:00",,,2.61,0.0359,1.4,,,,,,,,
2874,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2875,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2876,"R19","Val Vista WTP treated water","srp","val vista-treated","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2877,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2878,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2879,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2880,"R25","verde river at beeline highway","verde","verde @ beeline","12/15/03 00:00:00","12/15/03 00:00:00",,,2.6,0.0565,2.2,,,,,,,,
2881,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/15/03 00:00:00","12/15/03 00:00:00",,,2.61,0.0463,1.8,,,,,,,,
2882,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/15/03 00:00:00","12/15/03 00:00:00",,,2.54,0.051,2,,,,,,,,
2883,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/15/03 00:00:00","12/15/03 00:00:00",,,2.46,0.0422,1.7,,,,,,,,
2884,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/15/03 00:00:00","12/15/03 00:00:00",,,2.36,0.0584,2.5,,,,,,,,
2885,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/15/03 00:00:00","12/15/03 00:00:00",,,1.8,0.023,1.3,,,,,,,,
2886,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/15/03 00:00:00","12/15/03 00:00:00",,,2.66,0.0446,1.7,,,,,,,,
2887,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/15/03 00:00:00","12/15/03 00:00:00",,,2.01,0.0153,0.8,,,,,,,,
2888,"Green In","Greenway WTP Inlet","srp","Green In","12/15/03 00:00:00","12/15/03 00:00:00",,,1.96,0.0311,1.6,,,,,,,,
2889,"Green Out","Greenway WTP Outlet","srp","Green Out","12/15/03 00:00:00","12/15/03 00:00:00",,,1.48,0.0143,1,,,,,,,,
2890,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","12/15/03 00:00:00","12/15/03 00:00:00",,,2.41,0.0441,1.8,,,,,,,,
2891,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","12/15/03 00:00:00","12/15/03 00:00:00",,,2.33,0.0334,1.4,,,,,,,,
2892,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2893,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2894,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2895,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2896,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2897,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2898,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2899,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/15/03 00:00:00","12/15/03 00:00:00",,0.51,0.61,0.0186,3.1,,,,,,,,
2900,"Havasu 1","Havasu lake Sample",,"Havasu 1","12/15/03 00:00:00","12/15/03 00:00:00",,,2.3,0.034,1.5,,,,,,,,
2901,"Havasu 2","Havasu lake Sample",,"Havasu 2","12/15/03 00:00:00","12/15/03 00:00:00",,,2.39,0.0343,1.4,,,,,,,,
2902,"Roosvelt","SRP above Roosevelt Lake",,"Above Roosevelt","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2903,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2904,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2905,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2906,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2907,"R1","CAP canal above Waddell Canal","cap","cap-siphon","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2908,"R4","Cap Canal at 7th St.","cap","cap @ 7th st","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
2909,"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","12/15/03 00:00:00","12/15/03 00:00:00",,,,,,,,,,,,,
