attributeName,code,definition
site number,R18sediment,South Canal at Val Vista WTP sediment sample
site number,R19,Val Vista WTP treated water
site number,R20,Verde River at Tangle
site number,R21,AZ Canal - Central Avenue
site number,R22,AZ Canal at 56th
site number,R23,metadata_not_provided
site number,R24,metadata_not_provided
site number,R25,Verde River at Beeline
site number,R25ex,verde river at beeline highway extra sample
site number,R25rain,verde river at beeline highway rain sample
site number,R26,Arizona Canal at 19th Ave.
site number,R2A,Lake Pleasant integrated sample
site number,R2B,Lake Pleasant integrated sample
site number,R3,Waddell Canal
site number,R4,Cap Canal at 7th St.
site number,R4-Dup,Cap Canal at 7th St. duplicate sample
site number,R4dup,Cap Canal at 7th St. duplicate sample
site number,R5,Verde River btwn Horseshoe and Bartlett
site number,R5ex,Verde River btwn Horseshoe and Bartlett
site number,R6A,Bartlett Reservoir near outlet
site number,R6B,Bartlett Reservoir near outlet
site number,R6C,Bartlett Lake near dock
site number,R7,Verde River below Bartlett Reservoir
site number,R8,Salt River inlet to Saguaro Lake
site number,R9@10m,Saguaro Lake at 10m
site number,R9A,Saguaro Lake near inlet
site number,R9A-Dup,Saguaro Lake near inlet duplicate sample
site number,R9Adup,Saguaro Lake near inlet duplicate sample
site number,R9B,Saguaro Lake near inlet
site number,R9Bturbid,Saguaro Lake hypolimnion turbidity sample
site number,R9C,Saguaro Lake near dock
site number,RA Dup,Saguaro Lake Epilimnion duplicate sample
site number,Roos,Roosevelt Lake
site number,Roos In,Salt River Inlet Near Roosevelt Lake
site number,Roosvelt,SRP above Roosevelt Lake
site number,Salt-Gila,Salt-Gila Pump Station
site number,Scotts,AZ Canal at Scottsdale Rd.
site number,SOCA,South Canal below CAP Cross-connect
site number,SPT In,Tempe South WTP Inlet
site number,SPT Out,Tempe South WP Treated
site number,UH In,Union Hills WTP Inlet
site number,UH Out,Union Hills WTP Treated
site number,union hills,union hills water treatment plant impoundment
site number,VV west,Val Vista West WTP treated water
cluster,cap,Central Arizona Project canal
cluster,salt,Salt River
cluster,srp,Salt River Project canal
