"site number","site location","cluster","site acronym","date","sample type","MIB (ng/L) ASU","geosmin (ng/L) ASU","beta-cyclocitral (ng/L)","IPMP recovery (%)","MIB (ng/L) Phoenix","geosmin (ng/L) Phoenix","comments"
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2005-01-18,NA,0,0,0,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2005-01-18,NA,0,0,0,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2005-01-18,NA,0,0,11.3,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2005-01-18,NA,0,2.2,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2005-01-18,NA,0,0,7.9,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2005-01-18,NA,0,0,8,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2005-01-18,NA,0,0,0,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2005-01-18,NA,0,0,0,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2005-01-18,NA,0,0,4.9,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2005-01-18,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2005-01-18,NA,0,2.2,20.1,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2005-01-18,NA,0,0,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2005-01-18,NA,0,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2005-01-18,NA,0,0,14.3,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2005-01-18,NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In",2005-02-15,NA,0,2.1,11.2,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2005-02-15,NA,2.2,0,0,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2005-02-15,NA,0,2.3,10.1,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2005-02-15,NA,0,2.4,10.1,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2005-02-15,NA,0,0,4.6,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2005-02-15,NA,0,0,10.6,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2005-02-15,NA,0,2.1,11.4,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2005-02-15,NA,0,0,9.5,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2005-02-15,NA,0,2.8,23.2,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2005-02-15,NA,0,0,6.5,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2005-02-15,NA,0,0,14.2,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2005-02-15,NA,0,0,8.4,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2005-02-15,NA,0,0,6.8,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2005-02-15,NA,0,2.6,10.7,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2005-02-15,NA,0,0,14.4,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2005-02-15,NA,0,0,11.3,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2005-02-15,NA,0,2.7,11.5,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2005-02-15,NA,0,0,13.5,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2005-02-15,NA,0,0,13.2,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2005-02-15,NA,0,0,8.3,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2005-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2005-02-15,NA,0,0,5.9,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2005-02-15,NA,0,0,12.7,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2005-02-15,NA,2,2.6,12.6,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2005-02-15,NA,0,0,16.2,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2005-02-15,NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In",2005-03-15,NA,2,0,0,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2005-03-15,NA,2.1,0,0,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2005-03-15,NA,2.1,0,0,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2005-03-15,NA,2.1,0,0,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2005-03-15,NA,0,0,4.4,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2005-03-15,NA,2.6,2,2.2,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2005-03-15,NA,0,0,2.8,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2005-03-15,NA,0,2.2,0,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2005-03-15,NA,2.6,0,0,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2005-03-15,NA,2.1,0,0,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2005-03-15,NA,0,0,4.1,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2005-03-15,NA,0,0,2.3,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2005-03-15,NA,0,0,3.6,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2005-03-15,NA,2.5,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2005-03-15,NA,0,0,7.8,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2005-03-15,NA,0,0,6.5,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2005-03-15,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2005-03-15,NA,2.3,0,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2005-03-15,NA,2,0,0,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2005-03-15,NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In",2005-04-12,NA,2.2,0,4.6,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2005-04-12,NA,2.9,0,7.9,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2005-04-12,NA,0,0,0,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2005-04-12,NA,2.1,0,5.5,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2005-04-12,NA,2.1,0,4.7,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2005-04-12,NA,2.9,2.2,7.5,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2005-04-12,NA,0,0,4.9,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2005-04-12,NA,2.2,0,6.1,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2005-04-12,NA,0,0,6.4,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2005-04-12,NA,0,0,5.1,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2005-04-12,NA,0,0,5.6,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2005-04-12,NA,3.2,0,6.2,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2005-04-12,NA,0,0,7.8,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2005-04-12,NA,0,0,5.5,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2005-04-12,NA,0,0,5.2,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2005-04-12,NA,2.2,0,3.3,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2005-04-12,NA,0,0,8.8,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2005-04-12,NA,0,0,5.6,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2005-04-12,NA,0,0,9.8,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2005-04-12,NA,2.2,0,6.5,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2005-04-12,NA,2.1,0,6.9,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2005-04-12,NA,0,0,4.5,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2005-04-12,NA,0,0,3.2,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2005-04-12,NA,0,0,5.5,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2005-04-12,NA,0,0,0,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2005-04-12,NA,0,0,4,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2005-04-12,NA,3.8,14.5,7,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2005-04-12,NA,2.7,15.2,6,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2005-04-12,NA,2.6,4.4,6.6,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2005-04-12,NA,2.2,0,3.7,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2005-04-12,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2005-04-12,NA,2.2,0,2.6,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2005-04-12,NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In",2005-05-17,NA,0,0,4.1,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2005-05-17,NA,0,0,3.6,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2005-05-17,NA,0,0,2.9,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2005-05-17,NA,0,0,5.6,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2005-05-17,NA,0,0,3.1,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2005-05-17,NA,0,0,3.6,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2005-05-17,NA,0,3.6,5.4,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2005-05-17,NA,0,0,6.2,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2005-05-17,NA,2.1,0,3.2,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2005-05-17,NA,0,0,5.2,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2005-05-17,NA,0,0,3.7,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2005-05-17,NA,0,0,3.4,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2005-05-17,NA,0,0,10.2,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2005-05-17,NA,0,0,9.5,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2005-05-17,NA,0,0,6.3,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2005-05-17,NA,0,0,4.7,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2005-05-17,NA,0,0,6.5,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2005-05-17,NA,0,0,10,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2005-05-17,NA,0,0,5.6,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2005-05-17,NA,0,0,12.1,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2005-05-17,NA,0,0,8.4,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2005-05-17,NA,0,0,3.7,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2005-05-17,NA,0,0,4.3,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2005-05-17,NA,0,0,0,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2005-05-17,NA,0,0,7.3,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",2005-05-17,NA,5.7,0,2.1,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",2005-05-17,NA,0,0,0,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2005-05-17,NA,9.8,2.1,3.9,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2005-05-17,NA,10.4,2.3,4.1,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2005-05-17,NA,2.3,0,0,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.",2005-05-17,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2005-05-17,NA,0,0,4.5,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",2005-05-17,NA,0,0,4.4,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2005-05-17,NA,0,0,4.7,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2005-05-17,NA,0,0,10.1,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",2005-05-17,NA,0,0,0,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In",2005-06-14,NA,0,0,4.1,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2005-06-14,NA,0,0,3.6,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2005-06-14,NA,0,0,0,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",2005-06-14,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2005-06-14,NA,0,0,0,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2005-06-14,NA,0,2.1,8.3,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa",2005-06-14,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",2005-06-14,NA,0,2,4.5,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2005-06-14,NA,0,3.3,2.8,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2005-06-14,NA,0,2,6.2,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon",2005-06-14,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2005-06-14,NA,2.4,0,6.9,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2005-06-14,NA,0,0,3.1,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2005-06-14,NA,0,0,7.5,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2005-06-14,NA,0,0,3.3,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",2005-06-14,NA,0,0,7.5,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",2005-06-14,NA,0,2,7.7,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",2005-06-14,NA,0,0,3.2,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",2005-06-14,NA,0,2.1,7.4,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2005-06-14,NA,0,0,7.6,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",2005-06-14,NA,0,0,2.4,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",2005-06-14,NA,NA,NA,NA,NA,NA,NA,NA
