attributeName,code,definition
site acronym,Havasu 2,Lake Havasu Site 2
site acronym,head of tempe canal,Head of Tempe Canal
site acronym,head of the consolidated canal,Head of the Consolidated canal
site acronym,lab,Laboratory blank
site acronym,Mesa Turnout,Mesa Canal Turnout
site acronym,middle of the consolidated canal,Middle of the Consolidated canal
site acronym,North plant inlet,Tempe North WTP Inlet
site acronym,north plant outlet,Tempe North WTP Treated
site acronym,pleasant-epi,Lake Pleasant integrated sample
site acronym,pleasant-hypo,Lake Pleasant integrated sample
site acronym,Roos In,Salt River Inlet Near Roosevelt Lake
site acronym,s canal @ val vista,South Canal at Val Vista WTP
site acronym,saguaro-epi,Saguaro Lake Epilimnion
site acronym,saguaro-epi dup,Saguaro Lake Epilimnion Duplicate Sample
site acronym,saguaro-hypo,Saguaro Lake Hypolimnion
site acronym,salt abv saguaro,Salt River inlet to Saguaro Lake
site acronym,salt blw saguaro,Salt River below Saguaro (Blue Point Bridge)
site acronym,Salt Gila,Salt-Gila Pump Station
site acronym,saugaro-dock,Saguaro Lake dock sample
site acronym,South canal below CAP,South Canal below CAP Cross-connect
site acronym,squaw peak-treated,Squaw Peak WTP treated water
site acronym,SRNR,Salt River Inlet Near Roosevelt Lake
site acronym,STP In,Tempe Canal - Inlet to Tempe's South Plant
site acronym,STP Out,Tempe's South Plant treated water
site acronym,Union Hills Inlet,Union Hills WTP Inlet
site acronym,Union Hills Outlet,Union Hills WTP Treated
site acronym,val vista-treated,Val Vista WTP treated water
site acronym,val vista west-treated,Val Vista WTP treated water - west
site acronym,verde @ beeline,verde river at beeline highway
site acronym,verde abv bartlett,Verde River btwn Horseshoe and Bartlett
site acronym,verde abv horseshoe,Verde River at Tangle
site acronym,verde blw barlett,Verde River below Bartlett Reservoir
site acronym,waddell canal,Waddell Canal
sample type,-,metadata_not_provided
sample type,extra sample,Extra sample collected
sample type,field blank,Field blank
sample type,field duplicate,Field duplicate sample
sample type,lab blank,Laboratory blank
sample type,no water,"Dry, no water"
sample type,not available,Not available
sample type,offline,Water treatment plant offline
sample type,Rain event,Rain event
