attributeName,code,definition
site acronym,Apache-50m,Apache Lake at 50m depth
site acronym,Apache-5m,Apache Lake at 5m depth
site acronym,az canal @ 16th st.,AZ Canal at 16th Street
site acronym,az canal @ 19 ave.,AZ Canal at 19th Avenue
site acronym,az canal @ 19th av.,AZ Canal at 19th Avenue
site acronym,az canal @ 56th st.,AZ Canal at 56th Street
site acronym,az canal @ central ave.,AZ Canal at Central Avenue
site acronym,az canal @ deer valley,AZ Canal - Inlet to Deer Valley WTP
site acronym,az canal @ hwy 87,AZ Canal at Highway 87
site acronym,az canal @ Mesa,AZ Canal at Mesa Dr.
site acronym,az canal @ pima,AZ Canal at Pima Rd
site acronym,az canal @ scotts.,AZ Canal at Scottsdale Rd.
site acronym,az canal @ squaw peak,AZ Canal - Inlet to Squaw Peak WTP
site acronym,az canal blw cap,AZ Canal below CAP Cross-connect
site acronym,az canal inflow,AZ Canal above CAP Cross-connect
site acronym,bartlett-0m,Bartlett Lake at surface
site acronym,bartlett-10m,Bartlett Lake at 10m depth
site acronym,bartlett-15m,Bartlett Lake at 15m depth
site acronym,bartlett-20m,Bartlett Lake at 20m depth
site acronym,bartlett-25m,Bartlett Lake at 25m depth
site acronym,bartlett-30m,Bartlett Lake at 30m depth
site acronym,bartlett-35m,Bartlett Lake at 35m depth
site acronym,bartlett-40m,Bartlett Lake at 40m depth
site acronym,bartlett-45m,Bartlett Lake at 45m depth
site acronym,bartlett-50m,Bartlett Lake at 50m depth
site acronym,bartlett-55m,Bartlett Lake at 55m depth
site acronym,bartlett-5m,Bartlett Lake at 5m depth
site acronym,Can-0m,Canyon Lake at surface
site acronym,Can-10m,Canyon Lake at 10m depth
site acronym,Can-15m,Canyon Lake at 15m depth
site acronym,Can-20m,Canyon Lake at 20m depth
site acronym,Can-25m,Canyon Lake at 25m depth
site acronym,Can-30m,Canyon Lake at 30m depth
site acronym,Can-35m,Canyon Lake at 35m depth
site acronym,Can-40m,Canyon Lake at 40m depth
site acronym,Can-45m,Canyon Lake at 45m depth
site acronym,Can-50m,Canyon Lake at 50m depth
site acronym,Can-5m,Canyon Lake at 5m depth
site acronym,Canyon-0m,Canyon Lake at surface
site acronym,Canyon-10m,Canyon Lake at 10m depth
site acronym,Canyon-15m,Canyon Lake at 15m depth
site acronym,Canyon-20m,Canyon Lake at 20m depth
site acronym,Canyon-25m,Canyon Lake at 25m depth
site acronym,Canyon-30m,Canyon Lake at 30m depth
site acronym,Canyon-35m,Canyon Lake at 35m depth
site acronym,Canyon-40m,Canyon Lake at 40m depth
site acronym,Canyon-45m,Canyon Lake at 45m depth
site acronym,Canyon-50m,Canyon Lake at 50m depth
site acronym,Canyon-5m,Canyon Lake at 5m depth
site acronym,cap-siphon,metadata_not_provided
site acronym,cap @ 7th st,Cap Canal at 7th St.
site acronym,cap @ 7th st dup,Cap Canal at 7th St. duplicate sample
site acronym,cap @ x con,CAP Canal at Cross-connect
site acronym,deer valley-treated,Deer Valley WTP treated water
site acronym,Glen In,Glendale WTP Inlet
site acronym,Glen Out,Glendale WTP Treated
site acronym,Green In,Greenway WTP Inlet
site acronym,Green Out,Greenway WTP Treated
site acronym,Havasu 1,Lake Havasu Site 1
site acronym,Havasu 2,Lake Havasu Site 2
site acronym,head of tempe canal,Head of Tempe Canal
site acronym,North plant inlet,Tempe North WTP Inlet
site acronym,north plant outlet,Tempe North WTP Treated
site acronym,pleasant,Lake Pleasant
site acronym,pleasant-0m,Lake Pleasant at surface
site acronym,pleasant-10m,Lake Pleasant at 10m depth
site acronym,pleasant-15m,Lake Pleasant at 15m depth
site acronym,pleasant-20m,Lake Pleasant at 20m depth
site acronym,pleasant-25m,Lake Pleasant at 25m depth
site acronym,pleasant-30m,Lake Pleasant at 30m depth
site acronym,pleasant-35m,Lake Pleasant at 35m depth
site acronym,pleasant-40m,Lake Pleasant at 40m depth
site acronym,pleasant-45m,Lake Pleasant at 45m depth
site acronym,pleasant-50m,Lake Pleasant at 50m depth
site acronym,pleasant-55m,Lake Pleasant at 55m depth
site acronym,pleasant-5m,Lake Pleasant at 5m depth
site acronym,Roos-0m,Roosevelt Lake at surface
site acronym,Roos-10m,Roosevelt Lake at 10m depth
site acronym,Roos-15m,Roosevelt Lake at 15m depth
site acronym,Roos-20m,Roosevelt Lake at 20m depth
site acronym,Roos-25m,Roosevelt Lake at 25m depth
site acronym,Roos-30m,Roosevelt Lake at 30m depth
site acronym,Roos-35m,Roosevelt Lake at 35m depth
site acronym,Roos-40m,Roosevelt Lake at 40m depth
site acronym,Roos-45m,Roosevelt Lake at 45m depth
site acronym,Roos-50m,Roosevelt Lake at 50m depth
site acronym,Roos-5m,Roosevelt Lake at 5m depth
site acronym,Roosevelt-0m,Roosevelt Lake at surface
site acronym,Roosevelt-10m,Roosevelt Lake at 10m depth
site acronym,Roosevelt-15m,Roosevelt Lake at 15m depth
site acronym,Roosevelt-20m,Roosevelt Lake at 20m depth
site acronym,Roosevelt-25m,Roosevelt Lake at 25m depth
site acronym,Roosevelt-30m,Roosevelt Lake at 30m depth
site acronym,Roosevelt-35m,Roosevelt Lake at 35m depth
site acronym,Roosevelt-40m,Roosevelt Lake at 40m depth
site acronym,Roosevelt-45m,Roosevelt Lake at 45m depth
site acronym,Roosevelt-50m,Roosevelt Lake at 50m depth
site acronym,Roosevelt-5m,Roosevelt Lake at 5m depth
site acronym,s canal @ val vista,South Canal at Val Vista WTP
site acronym,saguaro-0m,Saguaro Lake at surface
site acronym,saguaro-10m,Saguaro Lake at 10m depth
site acronym,saguaro-15m,Saguaro Lake at 15m depth
site acronym,saguaro-20m,Saguaro Lake at 20m depth
site acronym,saguaro-25m,Saguaro Lake at 25m depth
site acronym,saguaro-30m,Saguaro Lake at 30m depth
site acronym,saguaro-35m,Saguaro Lake at 35m depth
site acronym,saguaro-40m,Saguaro Lake at 40m depth
site acronym,saguaro-45m,Saguaro Lake at 45m depth
site acronym,saguaro-50m,Saguaro Lake at 50m depth
site acronym,saguaro-55m,Saguaro Lake at 55m depth
site acronym,saguaro-5m,Saguaro Lake at 5m depth
site acronym,salt abv saguaro,Salt River inlet to Saguaro Lake
site acronym,salt blw saguaro,Salt River below Saguaro (Blue Point Bridge)
site acronym,South canal below CAP,South Canal below CAP Cross-connect
site acronym,squaw peak-treated,Squaw Peak WTP treated water
site acronym,STP In,Tempe Canal - Inlet to Tempe's South Plant
site acronym,STP Out,Tempe's South Plant treated water
site acronym,Union Hills Inlet,Union Hills WTP Inlet
site acronym,Union Hills Outlet,Union Hills WTP Treated
site acronym,val vista-treated,Val Vista WTP treated water
site acronym,verde @ beeline,verde river at beeline highway
site acronym,verde abv bartlett,Verde River btwn Horseshoe and Bartlett
site acronym,verde abv horseshoe,Verde River at Tangle
site acronym,verde blw barlett,Verde River below Bartlett Reservoir
site acronym,waddell canal,Waddell Canal
