ID,site number,site location,cluster name,site acronym,date,month,depth (m),T (C),DO (mg/l),pH,Secchi Disk (m),samples collected,sample type,comments
6.6650000000000000e+03,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","10/25/05 00:00:00","10/25/05 00:00:00",,,,,,,,
6.6660000000000000e+03,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","10/25/05 00:00:00","10/25/05 00:00:00",,,,,,,,
6.6670000000000000e+03,"Green In","Greenway WTP Inlet","srp","Green In","10/25/05 00:00:00","10/25/05 00:00:00",,2.3100000000000001e+01,,8.5000000000000000e+00,,,,
6.6680000000000000e+03,"Green Out","Greenway WTP Outlet","srp","Green Out","10/25/05 00:00:00","10/25/05 00:00:00",,,,,,,,
6.6690000000000000e+03,"R3","Waddell Canal","cap","waddell canal","11/15/05 00:00:00","11/15/05 00:00:00",,1.8699999999999999e+01,,8.3000000000000007e+00,,,,
6.6700000000000000e+03,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/15/05 00:00:00","11/15/05 00:00:00",,2.0100000000000001e+01,,8.5999999999999996e+00,,,,
6.6710000000000000e+03,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/15/05 00:00:00","11/15/05 00:00:00",,1.9300000000000001e+01,,8.4000000000000004e+00,,,,
6.6720000000000000e+03,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/15/05 00:00:00","11/15/05 00:00:00",,1.7800000000000001e+01,,8.3000000000000007e+00,,,,
6.6730000000000000e+03,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6740000000000000e+03,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","11/15/05 00:00:00","11/15/05 00:00:00",,1.8100000000000001e+01,,8.4000000000000004e+00,,,,
6.6750000000000000e+03,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6760000000000000e+03,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","11/15/05 00:00:00","11/15/05 00:00:00",,1.8199999999999999e+01,,8.4000000000000004e+00,,,,
6.6770000000000000e+03,"R17","Deer Valley WTP treated water","srp","deer valley-treated","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6780000000000000e+03,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","11/15/05 00:00:00","11/15/05 00:00:00",,1.9800000000000001e+01,,8.0999999999999996e+00,,,,
6.6790000000000000e+03,"R19","Val Vista WTP treated water","srp","val vista-treated","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6800000000000000e+03,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/15/05 00:00:00","11/15/05 00:00:00",,1.8199999999999999e+01,,8.5999999999999996e+00,,,,
6.6810000000000000e+03,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/15/05 00:00:00","11/15/05 00:00:00",,1.7399999999999999e+01,,8.1999999999999993e+00,,,,
6.6820000000000000e+03,"R25","verde river at beeline highway","verde","verde @ beeline","11/15/05 00:00:00","11/15/05 00:00:00",,1.9699999999999999e+01,,8.6999999999999993e+00,,,,
6.6830000000000000e+03,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/15/05 00:00:00","11/15/05 00:00:00",,1.8600000000000001e+01,,8.4000000000000004e+00,,,,
6.6840000000000000e+03,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/15/05 00:00:00","11/15/05 00:00:00",,1.7300000000000001e+01,,8.1999999999999993e+00,,,,
6.6850000000000000e+03,"UH In","Union Hills Inlet","cap","Union Hills Inlet","11/15/05 00:00:00","11/15/05 00:00:00",,1.9100000000000001e+01,,8.4000000000000004e+00,,,,
6.6860000000000000e+03,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6870000000000000e+03,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","11/15/05 00:00:00","11/15/05 00:00:00",,1.8699999999999999e+01,,8.4000000000000004e+00,,,,
6.6880000000000000e+03,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6890000000000000e+03,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","11/15/05 00:00:00","11/15/05 00:00:00",,1.7699999999999999e+01,,8.3000000000000007e+00,,,,
6.6900000000000000e+03,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/15/05 00:00:00","11/15/05 00:00:00",,1.8800000000000001e+01,,8.6999999999999993e+00,,,,
6.6910000000000000e+03,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6920000000000000e+03,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6930000000000000e+03,"Green In","Greenway WTP Inlet","srp","Green In","11/15/05 00:00:00","11/15/05 00:00:00",,1.8100000000000001e+01,,8.5000000000000000e+00,,,,
6.6940000000000000e+03,"Green Out","Greenway WTP Outlet","srp","Green Out","11/15/05 00:00:00","11/15/05 00:00:00",,,,,,,,
6.6950000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",2.0000000000000001e-01,2.0100000000000001e+01,8.9000000000000004e+00,,,,,
6.6960000000000000e+03,"R2","Lake Pleasant integrated sample","cap","pleasant","11/15/05 00:00:00","11/15/05 00:00:00",2.5000000000000000e+00,2.0100000000000001e+01,8.9000000000000004e+00,,,,,
