ID,Site Number,Site location,Cluster,Site Acronym,month/date,Arsenic (ug/L),Perchlorate (ug/L)
609,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","08/16/05 00:00:00","4.1",
610,"R20","Verde River at Tangle","verde","verde abv horseshoe","08/16/05 00:00:00","16.2",
611,"Havasu 1","Havasu lake Sample",,"Havasu 1","08/16/05 00:00:00","2.0",
612,"Havasu 2","Havasu lake Sample",,"Havasu 2","08/16/05 00:00:00",,
645,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","09/13/05 00:00:00","3.9",
646,"R20","Verde River at Tangle","verde","verde abv horseshoe","09/13/05 00:00:00","20.8",
647,"Havasu 1","Havasu lake Sample",,"Havasu 1","09/13/05 00:00:00","2.3",
648,"Havasu 2","Havasu lake Sample",,"Havasu 2","09/13/05 00:00:00",,
649,"R3","Waddell Canal","cap","waddell canal","10/11/05 00:00:00","0.0",
650,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","10/11/05 00:00:00","4.0",
651,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/11/05 00:00:00","0.0",
652,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/11/05 00:00:00","4.7",
653,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/11/05 00:00:00","3.9",
654,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","10/11/05 00:00:00","4.7",
655,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","10/11/05 00:00:00","0.0",
656,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","10/11/05 00:00:00","4.4",
657,"R17","Deer Valley WTP treated water","srp","deer valley-treated","10/11/05 00:00:00","0.0",
658,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","10/11/05 00:00:00","5.1",
659,"R19","Val Vista WTP treated water","srp","val vista-treated","10/11/05 00:00:00","0.0",
660,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","10/11/05 00:00:00","4.4",
661,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","10/11/05 00:00:00","5.2",
662,"R25","verde river at beeline highway","verde","verde @ beeline","10/11/05 00:00:00","8.6",
663,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","10/11/05 00:00:00","4.5",
664,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","10/11/05 00:00:00","4.8",
665,"UH In","Union Hills Inlet","cap","Union Hills Inlet","10/11/05 00:00:00","2.0",
666,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","10/11/05 00:00:00","0.0",
667,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","10/11/05 00:00:00","5.0",
668,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","10/11/05 00:00:00","3.4",
669,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","10/11/05 00:00:00","5.2",
670,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/11/05 00:00:00","5.0",
671,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","10/11/05 00:00:00","4.6",
672,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","10/11/05 00:00:00","3.7",
673,"Green In","Greenway WTP Inlet","srp","Green In","10/11/05 00:00:00","4.7",
674,"Green Out","Greenway WTP Outlet","srp","Green Out","10/11/05 00:00:00","0.0",
675,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","10/11/05 00:00:00","3.5",
676,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","10/11/05 00:00:00","2.9",
677,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","10/11/05 00:00:00","9.6",
678,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","10/11/05 00:00:00","9.2",
679,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","10/11/05 00:00:00","3.9",
680,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","10/11/05 00:00:00","3.8",
681,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","10/11/05 00:00:00","4.0",
682,"R20","Verde River at Tangle","verde","verde abv horseshoe","10/11/05 00:00:00","15.0",
683,"Havasu 1","Havasu lake Sample",,"Havasu 1","10/11/05 00:00:00","0.0",
684,"Havasu 2","Havasu lake Sample",,"Havasu 2","10/11/05 00:00:00",,
685,"R3","Waddell Canal","cap","waddell canal","11/15/05 00:00:00","2.4",
686,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/15/05 00:00:00","4.7",
687,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/15/05 00:00:00","2.5",
688,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/15/05 00:00:00","7.0",
689,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/15/05 00:00:00","4.1",
690,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","11/15/05 00:00:00","4.2",
691,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","11/15/05 00:00:00","0.0",
692,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","11/15/05 00:00:00","3.8",
693,"R17","Deer Valley WTP treated water","srp","deer valley-treated","11/15/05 00:00:00","0.0",
694,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","11/15/05 00:00:00","7.2",
695,"R19","Val Vista WTP treated water","srp","val vista-treated","11/15/05 00:00:00",,
696,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/15/05 00:00:00","4.6",
697,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/15/05 00:00:00","4.2",
698,"R25","verde river at beeline highway","verde","verde @ beeline","11/15/05 00:00:00","10.7",
699,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/15/05 00:00:00","4.3",
700,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/15/05 00:00:00","4.8",
701,"UH In","Union Hills Inlet","cap","Union Hills Inlet","11/15/05 00:00:00","2.4",
702,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","11/15/05 00:00:00","0.0",
703,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","11/15/05 00:00:00","3.8",
704,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","11/15/05 00:00:00","3.4",
705,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","11/15/05 00:00:00","7.4",
706,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/15/05 00:00:00","7.4",
707,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","11/15/05 00:00:00",,
708,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","11/15/05 00:00:00",,
709,"Green In","Greenway WTP Inlet","srp","Green In","11/15/05 00:00:00","4.2",
710,"Green Out","Greenway WTP Outlet","srp","Green Out","11/15/05 00:00:00","2.0",
711,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","11/15/05 00:00:00","4.2",
712,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","11/15/05 00:00:00","3.9",
713,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","11/15/05 00:00:00","10.3",
714,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","11/15/05 00:00:00","10.4",
715,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","11/15/05 00:00:00","4.7",
716,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","11/15/05 00:00:00","4.6",
717,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","11/15/05 00:00:00","5.0",
718,"R20","Verde River at Tangle","verde","verde abv horseshoe","11/15/05 00:00:00","16.8",
719,"Havasu 1","Havasu lake Sample",,"Havasu 1","11/15/05 00:00:00","2.7",
720,"Havasu 2","Havasu lake Sample",,"Havasu 2","11/15/05 00:00:00",,
721,"R3","Waddell Canal","cap","waddell canal","12/06/05 00:00:00","0.0",
722,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/06/05 00:00:00","3.6",
723,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/06/05 00:00:00","0.0",
724,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/06/05 00:00:00","6.3",
725,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/06/05 00:00:00","4.2",
726,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/06/05 00:00:00","5.2",
727,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/06/05 00:00:00","0.0",
728,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/06/05 00:00:00","5.7",
729,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/06/05 00:00:00",,
730,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/06/05 00:00:00",,
7,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","04/13/04 00:00:00","6.0",
8,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","04/13/04 00:00:00","11.1","1.250"
9,"R17","Deer Valley WTP treated water","srp","deer valley-treated","04/13/04 00:00:00","10.6","2.161"
10,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","04/13/04 00:00:00",,"3.770"
11,"R19","Val Vista WTP treated water","srp","val vista-treated","04/13/04 00:00:00",,"2.647"
12,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","04/13/04 00:00:00","9.4",
13,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","04/13/04 00:00:00","12.5",
14,"R25","verde river at beeline highway","verde","verde @ beeline","04/13/04 00:00:00","5.6",
15,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","04/13/04 00:00:00","11.1",
16,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","04/13/04 00:00:00","10.0",
17,"UH In","Union Hills Inlet","cap","Union Hills Inlet","04/13/04 00:00:00","0.0","2.563"
18,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","04/13/04 00:00:00","0.0","2.428"
19,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","04/13/04 00:00:00","9.5","1.185"
20,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","04/13/04 00:00:00","7.5","2.140"
21,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","04/13/04 00:00:00","9.1","0.000"
22,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","04/13/04 00:00:00",,
23,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","04/13/04 00:00:00","0.0",
24,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","04/13/04 00:00:00",,
25,"Green In","Greenway WTP Inlet","srp","Green In","04/13/04 00:00:00","8.1","1.272"
26,"Green Out","Greenway WTP Outlet","srp","Green Out","04/13/04 00:00:00","8.4","0.990"
27,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","04/13/04 00:00:00","3.3","0.721"
28,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","04/13/04 00:00:00","3.3","0.722"
29,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","04/13/04 00:00:00","14.6","0.000"
30,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","04/13/04 00:00:00","16.0","0.000"
31,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","04/13/04 00:00:00","6.8","0.000"
32,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","04/13/04 00:00:00","6.7","0.000"
33,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","04/13/04 00:00:00","7.3","0.000"
34,"R20","Verde River at Tangle","verde","verde abv horseshoe","04/13/04 00:00:00",,
35,"Havasu 1","Havasu lake Sample",,"Havasu 1","04/13/04 00:00:00","3.3",
36,"Havasu 2","Havasu lake Sample",,"Havasu 2","04/13/04 00:00:00","2.9",
37,"R3","Waddell Canal","cap","waddell canal","05/18/04 00:00:00","2.9","0.724"
38,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","05/18/04 00:00:00","5.8","0.000"
236,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","10/12/04 00:00:00","2.1",
237,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","10/12/04 00:00:00","5.7",
238,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/12/04 00:00:00","4.8",
239,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","10/12/04 00:00:00","5.2",
240,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","10/12/04 00:00:00","4.3",
241,"Green In","Greenway WTP Inlet","srp","Green In","10/12/04 00:00:00","5.4",
242,"Green Out","Greenway WTP Outlet","srp","Green Out","10/12/04 00:00:00","3.8",
243,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","10/12/04 00:00:00","3.1",
244,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","10/12/04 00:00:00","3.4",
245,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","10/12/04 00:00:00","17.1",
246,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","10/12/04 00:00:00","16.6",
247,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","10/12/04 00:00:00","6.1",
248,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","10/12/04 00:00:00","5.1",
249,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","10/12/04 00:00:00","0.0",
250,"R20","Verde River at Tangle","verde","verde abv horseshoe","10/12/04 00:00:00","19.8",
251,"Havasu 1","Havasu lake Sample",,"Havasu 1","10/12/04 00:00:00","2.1",
252,"Havasu 2","Havasu lake Sample",,"Havasu 2","10/12/04 00:00:00","0.0",
253,"R3","Waddell Canal","cap","waddell canal","11/09/04 00:00:00",,
254,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","11/09/04 00:00:00",,
255,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/09/04 00:00:00",,
256,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/09/04 00:00:00",,
257,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/09/04 00:00:00",,
258,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","11/09/04 00:00:00",,
259,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","11/09/04 00:00:00",,
260,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","11/09/04 00:00:00",,
261,"R17","Deer Valley WTP treated water","srp","deer valley-treated","11/09/04 00:00:00",,
262,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","11/09/04 00:00:00",,
263,"R19","Val Vista WTP treated water","srp","val vista-treated","11/09/04 00:00:00",,
264,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/09/04 00:00:00",,
265,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/09/04 00:00:00",,
266,"R25","verde river at beeline highway","verde","verde @ beeline","11/09/04 00:00:00",,
267,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/09/04 00:00:00",,
268,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/09/04 00:00:00",,
269,"UH In","Union Hills Inlet","cap","Union Hills Inlet","11/09/04 00:00:00",,
270,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","11/09/04 00:00:00",,
271,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","11/09/04 00:00:00",,
272,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","11/09/04 00:00:00",,
273,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","11/09/04 00:00:00",,
274,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/09/04 00:00:00",,
275,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","11/09/04 00:00:00",,
276,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","11/09/04 00:00:00",,
277,"Green In","Greenway WTP Inlet","srp","Green In","11/09/04 00:00:00",,
278,"Green Out","Greenway WTP Outlet","srp","Green Out","11/09/04 00:00:00",,
279,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","11/09/04 00:00:00","2.5",
280,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","11/09/04 00:00:00","2.8",
281,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","11/09/04 00:00:00",,
282,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","11/09/04 00:00:00",,
283,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","11/09/04 00:00:00",,
284,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","11/09/04 00:00:00",,
285,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","11/09/04 00:00:00",,
286,"R20","Verde River at Tangle","verde","verde abv horseshoe","11/09/04 00:00:00","16.8",
287,"Havasu 1","Havasu lake Sample",,"Havasu 1","11/09/04 00:00:00","2.4",
288,"Havasu 2","Havasu lake Sample",,"Havasu 2","11/09/04 00:00:00","0.0",
289,"R3","Waddell Canal","cap","waddell canal","12/07/04 00:00:00","2.7",
290,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","12/07/04 00:00:00","3.3",
291,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/07/04 00:00:00",,
292,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/07/04 00:00:00","10.5",
293,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/07/04 00:00:00","10.9",
294,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","12/07/04 00:00:00","10.2",
295,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","12/07/04 00:00:00","6.2",
296,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","12/07/04 00:00:00","9.9",
297,"R17","Deer Valley WTP treated water","srp","deer valley-treated","12/07/04 00:00:00","0.0",
298,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","12/07/04 00:00:00",,
299,"R19","Val Vista WTP treated water","srp","val vista-treated","12/07/04 00:00:00",,
300,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/07/04 00:00:00","9.3",
301,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/07/04 00:00:00","9.6",
302,"R25","verde river at beeline highway","verde","verde @ beeline","12/07/04 00:00:00","12.3",
303,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/07/04 00:00:00","9.7",
304,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/07/04 00:00:00","10.5",
305,"UH In","Union Hills Inlet","cap","Union Hills Inlet","12/07/04 00:00:00","3.0",
306,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","12/07/04 00:00:00","0.0",
307,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","12/07/04 00:00:00","10.1",
308,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","12/07/04 00:00:00","3.3",
309,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","12/07/04 00:00:00","10.5",
310,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/07/04 00:00:00",,
311,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","12/07/04 00:00:00","5.3",
312,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","12/07/04 00:00:00",,
313,"Green In","Greenway WTP Inlet","srp","Green In","12/07/04 00:00:00","4.7",
314,"Green Out","Greenway WTP Outlet","srp","Green Out","12/07/04 00:00:00","3.8",
315,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","12/07/04 00:00:00",,
316,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","12/07/04 00:00:00",,
317,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","12/07/04 00:00:00",,
318,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","12/07/04 00:00:00",,
319,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","12/07/04 00:00:00","5.2",
320,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","12/07/04 00:00:00","5.4",
321,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","12/07/04 00:00:00","5.3",
322,"R20","Verde River at Tangle","verde","verde abv horseshoe","12/07/04 00:00:00",,
323,"Havasu 1","Havasu lake Sample",,"Havasu 1","12/07/04 00:00:00",,
324,"Havasu 2","Havasu lake Sample",,"Havasu 2","12/07/04 00:00:00",,
325,"R3","Waddell Canal","cap","waddell canal","01/18/05 00:00:00","4.5",
326,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","01/18/05 00:00:00","4.9",
327,"R11","CAP Canal at Cross-connect","cap","cap @ x con","01/18/05 00:00:00",,
328,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","01/18/05 00:00:00",,
329,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","01/18/05 00:00:00",,
330,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","01/18/05 00:00:00",,
331,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","01/18/05 00:00:00",,
332,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","01/18/05 00:00:00",,
333,"R17","Deer Valley WTP treated water","srp","deer valley-treated","01/18/05 00:00:00",,
334,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","01/18/05 00:00:00","7.5",
335,"R19","Val Vista WTP treated water","srp","val vista-treated","01/18/05 00:00:00","0.0",
336,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","01/18/05 00:00:00",,
1,"R3","Waddell Canal","cap","waddell canal","04/13/04 00:00:00","0.0","0.000"
2,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","04/13/04 00:00:00","0.0","0.000"
3,"R11","CAP Canal at Cross-connect","cap","cap @ x con","04/13/04 00:00:00",,"3.348"
4,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","04/13/04 00:00:00","8.2","0.000"
5,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","04/13/04 00:00:00","9.5","2.658"
6,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","04/13/04 00:00:00","13.1","1.258"
39,"R11","CAP Canal at Cross-connect","cap","cap @ x con","05/18/04 00:00:00","2.5","1.487"
40,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","05/18/04 00:00:00","6.2","0.000"
41,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","05/18/04 00:00:00","4.4","0.065"
42,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","05/18/04 00:00:00","5.2","0.000"
43,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","05/18/04 00:00:00","0.0","0.000"
44,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","05/18/04 00:00:00","6.0","0.043"
45,"R17","Deer Valley WTP treated water","srp","deer valley-treated","05/18/04 00:00:00","0.0","0.000"
46,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","05/18/04 00:00:00","5.5","1.746"
47,"R19","Val Vista WTP treated water","srp","val vista-treated","05/18/04 00:00:00","0.0","0.202"
48,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","05/18/04 00:00:00",,
49,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","05/18/04 00:00:00",,
50,"R25","verde river at beeline highway","verde","verde @ beeline","05/18/04 00:00:00","13.7","0.000"
51,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","05/18/04 00:00:00",,
52,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","05/18/04 00:00:00",,
53,"UH In","Union Hills Inlet","cap","Union Hills Inlet","05/18/04 00:00:00","3.7","0.000"
54,"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","05/18/04 00:00:00","0.0","0.000"
55,"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","05/18/04 00:00:00","5.4","0.000"
56,"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","05/18/04 00:00:00","3.1","0.000"
57,"SOCA","South Canal below CAP Cross-conect","SRP","South canal below CAP","05/18/04 00:00:00","4.5",
58,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","05/18/04 00:00:00","6.3","0.818"
59,"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","05/18/04 00:00:00","6.4","0.000"
60,"SPT Out","Tempe's South Plant treated water","tempe","STP Out","05/18/04 00:00:00","5.5","0.000"
61,"Green In","Greenway WTP Inlet","srp","Green In","05/18/04 00:00:00","5.8","0.000"
62,"Green Out","Greenway WTP Outlet","srp","Green Out","05/18/04 00:00:00","4.6","0.000"
63,"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","05/18/04 00:00:00",,"0.685"
64,"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","05/18/04 00:00:00",,"0.365"
65,"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","05/18/04 00:00:00",,"0.000"
66,"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","05/18/04 00:00:00",,"0.000"
67,"R9A","Saguaro Lake near inlet","salt","saguaro-epi","05/18/04 00:00:00",,"0.000"
68,"R9A-Dup","Saguaro Lake near inlet",,"saguaro-epi dup","05/18/04 00:00:00",,"0.000"
69,"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","05/18/04 00:00:00",,"0.000"
70,"R20","Verde River at Tangle","verde","verde abv horseshoe","05/18/04 00:00:00",,"0.000"
71,"Havasu 1","Havasu lake Sample",,"Havasu 1","05/18/04 00:00:00","0.0","2.635"
72,"Havasu 2","Havasu lake Sample",,"Havasu 2","05/18/04 00:00:00","0.0","2.653"
73,"R3","Waddell Canal","cap","waddell canal","06/21/04 00:00:00",,
74,"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","06/21/04 00:00:00","7.7",
75,"R11","CAP Canal at Cross-connect","cap","cap @ x con","06/21/04 00:00:00","3.1",
76,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","06/21/04 00:00:00","7.7",
77,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","06/21/04 00:00:00","6.0",
78,"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","06/21/04 00:00:00","5.2",
79,"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","06/21/04 00:00:00","2.6",
80,"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","06/21/04 00:00:00","5.6",
81,"R17","Deer Valley WTP treated water","srp","deer valley-treated","06/21/04 00:00:00","0.0",
82,"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","06/21/04 00:00:00","5.1",
83,"R19","Val Vista WTP treated water","srp","val vista-treated","06/21/04 00:00:00","0.0",
84,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","06/21/04 00:00:00",,
85,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","06/21/04 00:00:00",,
86,"R25","verde river at beeline highway","verde","verde @ beeline","06/21/04 00:00:00","13.1","0.000"
87,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","06/21/04 00:00:00",,
88,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","06/21/04 00:00:00",,
89,"UH In","Union Hills Inlet","cap","Union Hills Inlet","06/21/04 00:00:00","2.2",
